vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,1,1,813,60,36,30,6,292,521,897.23,775.95,121.28,443,3695548
1,2,2,816,60,33,30,3,302,514,943.12,838.58,104.54,430,3744206
2,3,3,801,48,31,28,3,261,540,816.56,775.54,41.02,470,3281531
3,4,4,796,48,35,28,7,302,494,937.55,815.82,121.73,428,3781014
4,5,5,816,62,32,30,2,294,522,921.6,874.28,47.32,436,3642706
5,6,6,811,48,32,25,7,284,527,910.61,730.11,180.5,451,3538836
6,7,7,807,48,39,31,8,325,482,971.46,841.36,130.1,412,4093531
7,8,8,821,52,25,22,3,212,609,666.46,581.47,84.99,535,2662144
8,9,9,825,54,37,32,5,278,547,817.63,694.38,123.25,465,3568534
9,10,10,820,47,34,27,7,299,521,882.68,728.26,154.42,447,3731449
10,1,1,805,56,31,27,4,267,538,850.37,813.84,36.53,456,3343853
11,2,2,821,48,34,28,6,278,543,840.92,719.56,121.36,467,3513322
12,3,3,799,58,30,27,3,276,523,870.55,828.41,42.14,439,3418932
13,4,4,802,45,34,30,4,260,542,725.07,655.43,69.64,470,3326356
14,5,5,800,47,27,25,2,219,581,629.1,594.28,34.82,505,2771661
15,6,6,798,42,29,28,1,275,523,902.04,888.43,13.61,449,3390141
16,7,7,816,46,34,29,5,283,533,843.9,730.06,113.84,455,3565257
17,8,8,811,48,36,28,8,285,526,805.12,680.79,124.33,454,3622839
18,9,9,819,45,30,24,6,267,552,783.73,681.65,102.08,486,3325449
19,10,10,823,46,33,26,7,318,505,1001.08,888.72,112.36,429,3910398
20,1,1,819,53,33,29,4,270,549,768.75,710.69,58.06,465,3411822
21,2,2,812,48,28,25,3,232,580,699.81,633.92,65.89,508,2925096
22,3,3,802,33,33,28,5,277,525,850.2,746.68,103.52,463,3484531
23,4,4,820,37,30,25,5,239,581,654.64,572.68,81.96,521,3034613
24,5,5,808,31,27,20,7,210,598,582.13,493.96,88.17,546,2678178
25,6,6,807,48,31,28,3,274,533,840.37,783.47,56.9,453,3416562
26,7,7,828,45,39,31,8,321,507,958.07,799.87,158.2,431,4051983
27,8,8,819,38,28,23,5,272,547,898.83,776.25,122.58,479,3340576
28,9,9,814,42,28,23,5,247,567,776.66,635.61,141.05,505,3080901
29,10,10,808,48,39,30,9,331,477,1033.63,828.18,205.45,399,4155853
30,1,1,824,42,30,24,6,237,587,676.34,578.54,97.8,519,3013839
31,2,2,806,32,29,24,5,250,556,761.56,649.21,112.35,502,3130466
32,3,3,799,33,24,21,3,206,593,599.05,553.53,45.52,539,2581418
33,4,4,815,35,26,20,6,192,623,537.83,426.9,110.93,567,2472808
34,5,5,723,28,17,15,2,151,572,461.14,400.05,61.09,526,1881305
35,6,6,816,39,29,24,5,221,595,605.72,518.76,86.96,533,2829243
36,7,7,830,42,30,24,6,273,557,831.39,723.05,108.34,485,3387771
37,8,8,821,43,34,24,10,264,557,753.75,565.11,188.64,489,3367904
38,9,9,813,36,26,21,5,261,552,816.66,686.47,130.19,494,3189511
39,10,10,819,42,32,23,9,248,571,712.37,528.56,183.81,499,3164904
40,1,1,812,35,33,24,9,264,548,820.88,664.56,156.32,486,3349500
41,2,2,815,31,24,18,6,213,602,659.26,520.26,139.0,550,2654127
42,3,3,804,28,27,23,4,255,549,811.25,711.64,99.61,501,3145593
43,4,4,815,32,25,20,5,194,621,600.19,512.99,87.2,569,2475178
44,5,5,831,33,25,21,4,221,610,690.05,591.29,98.76,552,2755627
45,6,6,822,39,32,27,5,245,577,676.52,579.5,97.02,511,3133743
46,7,7,818,31,27,20,7,225,593,665.84,538.78,127.06,543,2833983
47,8,8,809,32,27,21,6,247,562,763.95,646.95,117.0,508,3062497
48,9,9,795,19,17,12,5,137,658,410.45,286.04,124.41,626,1735887
49,10,10,827,22,20,15,5,188,639,565.93,454.04,111.89,601,2320836
50,1,1,803,30,28,24,4,284,519,916.7,840.0,76.7,463,3465220
51,2,2,788,18,19,13,6,143,645,416.83,308.09,108.74,613,1835017
52,3,3,801,27,22,19,3,156,645,422.32,373.33,48.99,599,2025260
53,4,4,803,29,27,20,7,251,552,778.86,646.52,132.34,506,3104045
54,5,5,833,22,14,12,2,148,685,480.6,395.17,85.43,647,1794932
55,6,6,818,27,23,17,6,231,587,738.52,612.84,125.68,535,2822689
56,7,7,830,23,20,15,5,189,641,595.18,438.84,156.34,601,2331223
57,8,8,806,25,25,18,7,197,609,591.26,469.97,121.29,563,2506339
58,9,9,831,14,17,10,7,166,665,521.75,346.91,174.84,641,2037110
59,10,10,822,33,30,22,8,278,544,890.56,702.2,188.36,486,3439706
60,1,1,793,20,22,16,6,213,580,646.73,522.84,123.89,542,2617319
61,2,2,815,29,20,18,2,184,631,586.88,547.36,39.52,581,2279288
62,3,3,823,31,30,21,9,270,553,823.51,647.12,176.39,499,3356610
63,4,4,802,29,26,24,2,266,536,871.59,816.01,55.58,484,3241446
64,5,5,790,23,21,17,4,169,621,495.59,423.57,72.02,579,2141887
65,6,6,823,25,19,16,3,161,662,481.15,433.55,47.6,622,2021983
66,7,7,813,16,13,11,2,151,662,507.65,443.36,64.29,634,1807689
67,8,8,809,29,25,21,4,188,621,515.2,433.59,81.61,567,2412856
68,9,9,817,16,17,13,4,154,663,488.94,386.77,102.17,633,1912466
69,10,10,830,18,13,10,3,159,671,536.61,433.83,102.78,643,1890785
70,1,1,807,26,20,16,4,181,626,573.16,491.54,81.62,578,2248127
71,2,2,820,16,12,9,3,111,709,350.05,270.01,80.04,681,1373805
72,3,3,813,30,20,16,4,192,621,602.63,537.92,64.71,571,2362384
73,4,4,828,24,19,16,3,161,667,518.52,438.88,79.64,625,2021983
74,5,5,695,20,19,16,3,153,542,455.53,370.51,85.02,506,1938887
75,6,6,701,8,6,5,1,73,628,253.53,217.79,35.74,612,868675
76,7,7,806,10,9,7,2,90,716,257.8,231.87,25.93,696,1100466
77,8,8,758,23,19,15,4,187,571,597.18,473.78,123.4,529,2292045
78,9,9,777,10,8,5,3,105,672,373.88,264.52,109.36,654,1237867
79,10,10,828,28,23,17,6,183,645,521.47,386.22,135.25,595,2324113
80,1,1,819,16,15,11,4,112,707,306.11,214.99,91.12,679,1439404
81,2,2,823,17,17,11,6,135,688,421.05,286.72,134.33,658,1715113
82,3,3,698,14,14,10,4,141,557,441.78,331.69,110.09,529,1722223
83,4,4,811,25,23,17,6,177,634,475.58,366.65,108.93,594,2261791
84,5,5,841,27,26,21,5,221,620,667.04,554.78,112.26,572,2774031
85,6,6,813,13,11,10,1,116,697,366.76,329.76,37.0,673,1407336
86,7,7,807,18,19,12,7,167,640,493.57,382.34,111.23,610,2084305
87,8,8,824,21,18,14,4,149,675,455.04,395.76,59.28,633,1878935
88,9,9,826,19,18,14,4,181,645,594.58,474.11,120.47,607,2211319
89,10,10,769,16,11,9,2,122,647,408.08,372.7,35.38,619,1469658
90,1,1,789,11,11,6,5,102,687,319.24,212.25,106.99,669,1261918
91,2,2,825,25,20,17,3,198,627,644.74,574.31,70.43,583,2424706
92,3,3,812,17,17,13,4,154,658,462.72,409.12,53.6,624,1912466
93,4,4,813,19,23,16,7,177,636,520.83,428.59,92.24,598,2261791
94,5,5,815,18,20,13,7,169,646,481.78,343.59,138.19,612,2123483
95,6,6,811,16,15,11,4,118,693,328.13,252.1,76.03,663,1501726
96,7,7,696,8,9,6,3,108,588,370.69,241.33,129.36,572,1287432
97,8,8,765,12,14,9,5,150,615,500.34,330.14,170.2,593,1815706
98,9,9,787,7,8,5,3,96,691,332.3,225.84,106.46,679,1144384
99,10,10,769,11,14,10,4,137,632,452.86,383.42,69.44,610,1680675
100,1,1,796,4,6,3,3,55,741,172.31,126.8,45.51,733,681709
101,2,2,812,16,15,11,4,113,699,290.1,194.34,95.76,669,1449791
102,3,3,713,8,7,5,2,97,616,350.08,252.3,97.78,600,1136367
103,4,4,715,4,7,4,3,71,644,223.54,165.15,58.39,636,866305
104,5,5,797,14,14,10,4,121,676,361.57,297.26,64.31,650,1514483
105,6,6,819,6,9,6,3,81,738,258.4,168.31,90.09,726,1006983
106,7,7,784,12,12,9,3,124,660,400.6,329.47,71.13,638,1508836
107,8,8,818,6,6,4,2,62,756,206.22,168.86,37.36,744,754418
108,9,9,830,11,10,7,3,98,732,331.81,245.49,86.32,710,1201966
109,10,10,831,9,8,6,2,95,736,321.38,218.09,103.29,722,1133997
110,1,1,789,10,11,7,4,95,694,282.89,182.77,100.12,674,1189209
111,2,2,800,17,14,10,4,140,660,453.2,330.42,122.78,634,1711836
112,3,3,804,11,10,7,3,97,707,297.88,249.17,48.71,685,1191579
113,4,4,782,8,9,6,3,92,690,301.96,205.06,96.9,678,1121240
114,5,5,821,13,15,11,4,125,696,358.95,250.73,108.22,670,1574435
115,6,6,818,16,14,10,4,113,705,309.8,242.47,67.33,677,1431387
116,7,7,815,15,13,11,2,127,688,394.05,341.58,52.47,660,1558401
117,8,8,804,18,14,11,3,114,690,339.45,310.88,28.57,658,1441774
118,9,9,776,16,17,12,5,155,621,467.05,397.64,69.41,591,1922853
119,10,10,792,7,10,6,4,99,693,313.98,202.96,111.02,679,1212353
120,1,1,756,4,5,3,2,65,691,228.14,130.46,97.68,683,767175
121,2,2,826,14,16,11,5,125,701,342.03,241.18,100.85,673,1592839
122,3,3,708,4,4,2,2,57,651,206.03,95.64,110.39,643,665675
123,4,4,715,7,6,4,2,87,628,317.17,224.07,93.1,614,1014093
124,5,5,825,7,11,7,4,101,724,312.52,226.47,86.05,710,1251531
125,6,6,805,15,12,11,1,112,693,345.39,301.91,43.48,663,1384192
126,7,7,801,8,9,6,3,95,706,324.38,201.75,122.63,690,1152401
127,8,8,724,6,9,6,3,95,629,313.05,196.82,116.23,617,1152401
128,9,9,809,4,5,3,2,42,767,124.95,54.13,70.82,759,528274
129,10,10,771,3,2,2,0,38,733,139.78,139.78,0.0,727,431514
130,1,1,790,7,8,5,3,86,704,280.18,226.15,54.03,690,1040514
131,2,2,822,15,16,10,6,134,688,389.64,264.36,125.28,660,1686322
132,3,3,826,9,7,5,2,96,730,331.37,260.55,70.82,714,1125980
133,4,4,688,2,3,2,1,23,665,65.12,53.67,11.45,661,294113
134,5,5,669,10,10,8,2,100,569,324.7,291.7,33.0,549,1222740
135,6,6,775,5,6,4,2,63,712,205.35,166.28,39.07,702,764805
136,7,7,827,7,10,7,3,78,749,235.98,165.03,70.95,735,994226
137,8,8,794,12,10,9,1,98,696,300.84,240.43,60.41,672,1201966
138,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
139,10,10,384,4,5,3,2,66,318,227.61,146.27,81.34,310,777562
