horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,0,0,0,3320,0,956297,20.003
20,50,23,0,0,0,3320,0,2308832,20.004
40,70,42,1,1,1,3308,11,4445718,20.006
60,90,49,5,5,6,3289,25,5154172,20.006
80,110,54,7,4,10,3272,38,5541126,20.009
100,130,65,19,14,24,3244,52,6566041,20.007
120,150,93,0,0,24,3229,67,10272492,20.011
140,170,160,0,0,24,3203,93,18805373,20.018
160,190,199,0,0,24,3126,170,24724085,20.023
180,210,184,0,0,24,3048,248,23495365,20.022
200,230,158,0,0,24,2976,320,19942279,20.024
220,250,129,0,0,24,2923,373,15251530,20.013
240,270,162,0,0,24,2880,416,18168396,20.013
260,290,232,0,0,24,2829,467,25381728,20.022
280,310,293,0,0,24,2725,571,32531057,20.027
300,330,288,0,0,24,2626,670,33291675,20.047
320,350,273,0,0,24,2510,786,31964666,20.036
340,370,227,0,0,24,2415,881,25917653,20.028
360,390,183,0,0,24,2335,961,20898826,20.012
380,410,159,0,0,24,2267,1029,17951159,20.019
400,430,139,0,0,24,2222,1074,15049112,20.017
420,450,134,0,0,24,2165,1131,14951303,20.012
440,470,115,17,14,38,2109,1173,12779006,20.007
460,490,105,0,0,38,2078,1204,11489568,20.014
480,510,134,0,0,38,2041,1241,15092769,20.013
500,530,189,0,0,38,1997,1285,21910699,20.016
520,550,227,0,0,38,1919,1363,27231780,20.014
540,570,234,0,0,38,1829,1453,27368847,20.019
560,590,217,0,0,38,1749,1533,25301703,20.038
580,610,231,0,0,38,1666,1616,27243618,20.026
600,630,257,0,0,38,1586,1696,29306825,20.025
620,650,307,0,0,38,1492,1790,36063933,20.037
640,670,367,0,0,38,1361,1921,43627614,20.032
660,690,419,0,0,38,1244,2038,53162098,20.071
680,710,525,137,86,124,1015,2181,64379511,20.041
700,730,515,149,81,205,797,2318,59757062,20.042
720,750,465,162,91,296,574,2450,53634976,20.053
740,770,370,176,96,392,359,2569,44112628,20.023
760,790,278,170,90,482,209,2629,32842788,20.046
780,810,209,124,93,575,76,2669,22842215,20.033
800,816,76,3,3,578,55,2687,8434010,20.016
