vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,1,1,818,58,43,33,10,415,403,1343.26,1045.53,297.73,313,5101977
1,2,2,822,56,40,29,11,371,451,1201.88,951.35,250.53,377,4589737
2,3,3,823,44,42,30,12,324,499,959.34,732.79,226.55,427,4138356
3,4,4,815,40,39,25,14,334,481,1018.72,769.17,249.55,423,4187014
4,5,5,806,47,41,32,9,344,462,1031.66,906.02,125.64,382,4327692
5,6,6,822,48,38,32,6,325,497,976.97,864.6,112.37,423,4075127
6,7,7,819,48,41,34,7,372,447,1150.24,1067.0,83.24,363,4618528
7,8,8,823,53,42,30,12,330,493,970.28,702.91,267.37,411,4200678
8,9,9,831,55,45,35,10,339,492,956.76,728.24,228.52,416,4349373
9,10,10,830,50,47,34,13,355,475,1020.96,700.14,320.82,393,4552373
10,1,1,825,46,45,35,10,349,476,990.26,788.58,201.68,404,4453243
11,2,2,814,52,34,26,8,303,511,937.51,782.37,155.14,433,3772997
12,3,3,826,52,47,35,12,398,428,1223.25,1008.64,214.61,344,4999014
13,4,4,812,51,45,33,12,404,408,1243.74,1029.43,214.31,320,5024528
14,5,5,796,40,34,25,9,291,505,916.55,708.06,208.49,443,3648353
15,6,6,798,42,38,26,12,319,479,965.61,780.31,185.3,413,4012805
16,7,7,819,48,40,31,9,333,486,961.2,814.43,146.77,402,4195031
17,8,8,819,40,35,25,10,341,478,1066.82,826.22,240.6,416,4186107
18,9,9,826,43,40,30,10,335,491,977.58,758.35,219.23,413,4215805
19,10,10,830,54,41,30,11,331,499,975.12,745.14,229.98,415,4192661
20,1,1,823,59,46,32,14,329,494,867.53,638.36,229.17,398,4263907
21,2,2,813,45,34,27,7,295,518,877.29,737.45,139.84,444,3689901
22,3,3,818,46,33,26,7,266,552,778.5,627.58,150.92,486,3370274
23,4,4,823,41,38,28,10,323,500,998.86,825.86,173.0,426,4054353
24,5,5,815,53,38,28,10,321,494,940.76,775.05,165.71,404,4033579
25,6,6,818,49,47,33,14,380,438,1120.94,913.62,207.32,358,4812048
26,7,7,819,43,43,34,9,321,498,844.09,712.41,131.68,420,4125599
27,8,8,774,44,37,27,10,336,438,1045.45,793.1,252.35,366,4170980
28,9,9,814,36,38,28,10,359,455,1104.44,891.13,213.31,391,4428285
29,10,10,825,36,33,24,9,304,521,932.35,673.38,258.97,461,3764980
30,1,1,822,40,41,29,12,344,478,1036.12,796.84,239.28,406,4327692
31,2,2,825,38,41,28,13,340,485,979.6,713.75,265.85,413,4286144
32,3,3,819,33,35,25,10,317,502,924.94,771.23,153.71,440,3936819
33,4,4,815,48,39,29,10,351,464,1038.11,898.16,139.95,388,4363593
34,5,5,799,37,33,25,8,284,515,864.32,733.56,130.76,453,3557240
35,6,6,796,47,42,32,10,357,439,1068.68,890.23,178.45,357,4481127
36,7,7,831,53,42,32,10,333,498,981.36,791.92,189.44,412,4231839
37,8,8,806,37,31,22,9,265,541,814.41,604.07,210.34,489,3323079
38,9,9,825,38,35,27,8,345,480,1105.67,935.79,169.88,412,4227655
39,10,10,832,37,32,25,7,263,569,787.19,616.61,170.58,511,3320709
40,1,1,813,36,34,24,10,280,533,842.91,674.1,168.81,467,3534096
41,2,2,825,35,38,26,12,329,496,1030.42,839.56,190.86,430,4116675
42,3,3,818,36,31,21,10,232,586,598.78,481.09,117.69,530,2980308
43,4,4,819,34,33,23,10,270,549,762.07,601.02,161.05,489,3411822
44,5,5,825,49,39,31,8,300,525,854.57,686.05,168.52,445,3833856
45,6,6,821,27,34,23,11,295,526,935.78,715.41,220.37,476,3689901
46,7,7,826,37,32,22,10,245,581,659.85,507.78,152.07,525,3133743
47,8,8,815,37,36,27,9,306,509,878.44,759.93,118.51,441,3840966
48,9,9,825,36,35,24,11,304,521,931.84,697.74,234.1,457,3801788
49,10,10,747,27,24,21,3,218,529,644.85,608.91,35.94,477,2706062
50,1,1,816,34,35,25,10,304,512,909.63,699.32,210.31,454,3801788
51,2,2,821,37,35,24,11,298,523,875.1,690.46,184.64,459,3739466
52,3,3,820,38,33,24,9,274,546,861.54,682.66,178.88,484,3453370
53,4,4,825,27,24,17,7,214,611,630.47,509.34,121.13,561,2664514
54,5,5,817,37,31,25,6,242,575,663.96,600.81,63.15,519,3084178
55,6,6,810,32,31,21,10,244,566,689.35,457.73,231.62,510,3104952
56,7,7,830,26,27,19,8,235,595,705.63,531.57,174.06,549,2937853
57,8,8,816,45,38,30,8,281,535,783.54,624.08,159.46,463,3618099
58,9,9,830,30,25,18,7,249,581,807.5,647.71,159.79,531,3046463
59,10,10,814,26,29,20,9,229,585,664.31,493.38,170.93,539,2912339
60,1,1,825,31,34,24,10,285,540,826.0,661.82,164.18,482,3586031
61,2,2,810,25,24,16,8,175,635,462.89,361.79,101.1,591,2259421
62,3,3,818,25,21,14,7,194,624,605.57,475.22,130.35,580,2401562
63,4,4,813,30,30,20,10,242,571,742.87,526.04,216.83,519,3065774
64,5,5,816,34,30,23,7,212,604,603.76,535.74,68.02,548,2754164
65,6,6,833,34,33,21,12,288,545,893.93,588.28,305.65,489,3598788
66,7,7,823,24,22,15,7,183,640,517.3,435.85,81.45,594,2305709
67,8,8,812,27,29,20,9,235,577,704.68,533.99,170.69,525,2974661
68,9,9,795,38,22,19,3,220,575,713.15,586.79,126.36,521,2690028
69,10,10,812,35,29,20,9,249,563,744.67,541.97,202.7,509,3120079
70,1,1,791,19,16,13,3,162,629,523.43,429.21,94.22,597,1977158
71,2,2,813,26,25,17,8,201,612,573.17,449.7,123.47,562,2547887
72,3,3,822,28,25,18,7,227,595,713.85,578.8,135.05,547,2817949
73,4,4,798,24,21,16,5,193,605,608.06,513.5,94.56,567,2391175
74,5,5,820,16,17,10,7,151,669,448.67,322.58,126.09,643,1881305
75,6,6,738,10,12,8,4,124,614,407.13,317.36,89.77,596,1508836
76,7,7,796,22,20,16,4,173,623,523.64,392.62,131.02,585,2165031
77,8,8,829,18,22,17,5,179,650,559.56,431.46,128.1,616,2264161
78,9,9,814,23,25,17,8,199,615,579.92,346.78,233.14,577,2527113
79,10,10,831,22,27,18,9,227,604,652.32,406.86,245.46,564,2854757
80,1,1,815,22,21,16,5,176,639,514.81,390.28,124.53,603,2214596
81,2,2,816,25,27,19,8,221,595,640.82,499.35,141.47,551,2792435
82,3,3,819,32,28,20,8,255,564,769.98,583.85,186.13,506,3163997
83,4,4,819,27,24,18,6,196,623,564.39,471.77,92.62,579,2477548
84,5,5,814,23,23,16,7,219,595,693.95,520.08,173.87,557,2698045
85,6,6,777,21,22,16,6,197,580,594.41,391.93,202.48,544,2451127
86,7,7,829,26,22,15,7,194,635,569.25,414.6,154.65,591,2419966
87,8,8,804,14,17,12,5,183,621,610.58,441.91,168.67,595,2213689
88,9,9,813,18,23,15,8,174,639,493.36,320.85,172.51,603,2230630
89,10,10,827,19,20,13,7,193,634,622.53,366.72,255.81,598,2372771
90,1,1,826,22,22,13,9,173,653,485.12,343.64,141.48,617,2201839
91,2,2,820,26,27,18,9,250,570,767.1,560.63,206.47,524,3093658
92,3,3,818,14,15,11,4,128,690,357.2,269.91,87.29,662,1605596
93,4,4,816,21,24,14,10,179,637,492.4,300.87,191.53,603,2300969
94,5,5,805,29,22,18,4,200,605,623.3,526.26,97.04,555,2482288
95,6,6,842,26,28,19,9,261,581,828.54,636.86,191.68,537,3226319
96,7,7,815,24,23,14,9,197,618,599.91,347.69,252.22,582,2469531
97,8,8,826,26,26,19,7,234,592,711.02,592.03,118.99,544,2909062
98,9,9,811,15,20,14,6,175,636,511.07,353.54,157.53,606,2185805
99,10,10,745,23,21,16,5,173,572,528.17,454.37,73.8,530,2183435
