vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,1,1,814,45,37,30,7,328,486,1026.47,917.61,108.86,426,4087884
1,2,2,819,45,29,27,2,270,549,863.79,832.12,31.67,495,3338206
2,3,3,736,37,30,27,3,274,462,907.06,806.69,100.37,408,3398158
3,4,4,818,36,31,26,5,268,550,875.91,782.84,93.07,498,3354240
4,5,5,823,33,35,25,10,296,527,925.31,748.09,177.22,477,3718692
5,6,6,817,38,36,29,7,299,518,962.6,822.75,139.85,460,3768257
6,7,7,829,43,37,33,4,321,508,1036.69,936.31,100.38,442,4015175
7,8,8,686,37,27,22,5,215,471,652.02,510.4,141.62,427,2730113
8,9,9,811,30,30,23,7,286,525,879.67,764.52,115.15,479,3522802
9,10,10,823,27,28,23,5,236,587,704.48,596.92,107.56,541,2966644
10,1,1,815,36,34,27,7,308,507,989.12,884.6,104.52,453,3824932
11,2,2,814,35,32,26,6,257,557,770.31,694.85,75.46,505,3258387
12,3,3,811,35,30,25,5,266,545,817.72,755.84,61.88,495,3315062
13,4,4,826,30,33,26,7,287,539,881.7,764.33,117.37,487,3588401
14,5,5,814,37,29,24,5,242,572,751.18,654.68,96.5,524,3047370
15,6,6,752,29,27,22,5,240,512,741.86,643.7,98.16,468,2989788
16,7,7,809,29,26,23,3,258,551,826.14,768.55,57.59,505,3158350
17,8,8,689,31,31,26,5,291,398,868.11,750.38,117.73,346,3593141
18,9,9,818,32,29,25,4,269,549,852.61,768.04,84.57,499,3327819
19,10,10,741,25,25,22,3,226,515,672.81,636.87,35.94,471,2807562
20,1,1,826,29,29,24,5,227,599,645.4,568.31,77.09,551,2891565
21,2,2,810,29,31,26,5,279,531,881.56,784.35,97.21,479,3468497
22,3,3,782,27,26,23,3,239,543,756.36,688.01,68.35,497,2960997
23,4,4,826,30,29,23,6,277,549,862.41,785.72,76.69,503,3410915
24,5,5,797,28,27,23,4,235,562,716.95,668.85,48.1,516,2937853
25,6,6,819,27,32,25,7,289,530,876.31,780.61,95.7,480,3590771
26,7,7,811,26,25,21,4,276,535,911.8,823.51,88.29,493,3326912
27,8,8,778,28,28,23,5,299,479,1025.31,871.24,154.07,433,3621025
28,9,9,824,25,28,22,6,233,591,708.55,563.37,145.18,547,2935483
29,10,10,679,26,28,23,5,265,414,845.94,746.36,99.58,368,3267867
30,1,1,807,25,29,23,6,264,543,824.7,728.73,95.97,497,3275884
31,2,2,811,17,22,16,6,184,627,590.8,457.32,133.48,595,2316096
32,3,3,812,24,26,21,5,194,618,560.8,485.61,75.19,576,2493582
33,4,4,824,26,30,23,7,237,587,682.41,568.19,114.22,541,3013839
