vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,1,1,814,48,36,30,6,319,495,1004.21,906.8,97.41,435,3975997
1,2,2,819,42,27,25,2,250,569,797.83,766.16,31.67,519,3093658
2,3,3,736,42,34,31,3,306,430,1009.33,908.96,100.37,368,3804158
3,4,4,818,32,27,23,4,225,593,738.02,656.4,81.62,547,2833983
4,5,5,817,37,29,24,5,258,559,786.42,709.09,77.33,511,3213562
5,6,6,680,38,34,27,7,266,414,838.83,674.69,164.14,360,3388678
6,7,7,819,39,34,30,4,276,543,852.99,786.48,66.51,483,3492548
7,8,8,834,36,35,26,9,316,518,1040.89,838.82,202.07,466,3926432
8,9,9,837,29,29,24,5,268,569,831.1,698.25,132.85,521,3317432
9,10,10,828,28,30,25,5,255,573,805.89,702.24,103.65,523,3200805
10,1,1,812,32,29,24,5,273,539,895.79,811.85,83.94,491,3369367
11,2,2,811,35,27,23,4,248,563,764.19,680.07,84.12,517,3072884
12,3,3,819,32,26,23,3,223,596,700.29,656.58,43.71,550,2794805
13,4,4,816,32,31,24,7,268,548,813.5,712.74,100.76,500,3354240
14,5,5,816,32,30,24,6,270,546,815.08,688.46,126.62,498,3356610
15,6,6,826,30,26,22,4,245,581,792.98,743.88,49.1,537,3023319
16,7,7,757,26,23,20,3,199,558,601.96,516.39,85.57,518,2490305
17,8,8,808,33,31,27,4,309,499,992.77,901.86,90.91,445,3780107
18,9,9,826,24,23,19,4,199,627,606.31,507.24,99.07,589,2490305
19,10,10,694,30,26,22,4,248,446,775.72,720.79,54.93,402,3054480
20,1,1,782,27,26,23,3,244,538,741.31,695.63,45.68,492,3012932
21,2,2,777,30,31,27,4,281,496,887.37,775.98,111.39,442,3489271
22,3,3,813,26,21,19,2,210,603,656.91,629.44,27.47,565,2567754
23,4,4,815,28,31,23,8,273,542,855.26,743.73,111.53,496,3406175
24,5,5,812,29,29,24,5,293,519,956.15,869.03,87.12,471,3577107
25,6,6,819,31,30,27,3,252,567,792.25,735.35,56.9,513,3169644
26,7,7,811,25,23,20,3,210,601,661.35,597.02,64.33,561,2604562
27,8,8,820,25,26,21,5,230,590,714.15,601.48,112.67,548,2867514
28,9,9,818,23,25,20,5,229,589,730.33,614.45,115.88,549,2838723
29,10,10,815,28,29,26,3,246,569,755.87,699.45,56.42,517,3088918
30,1,1,815,27,29,24,5,246,569,735.79,677.08,58.71,521,3088918
31,2,2,687,27,28,24,4,247,440,760.42,686.01,74.41,392,3080901
32,3,3,818,30,30,25,5,238,580,693.94,612.75,81.19,530,3024226
33,4,4,819,25,30,24,6,287,532,893.19,793.68,99.51,484,3533189
34,5,5,774,28,33,25,8,286,488,861.41,747.72,113.69,438,3578014
35,6,6,819,21,23,18,5,207,612,642.31,561.04,81.27,576,2573401
36,7,7,824,28,29,25,4,276,548,899.22,804.88,94.34,498,3400528
37,8,8,815,21,28,20,8,249,566,753.81,597.32,156.49,526,3101675
38,9,9,811,21,25,19,6,243,568,794.6,642.47,152.13,530,2984141
39,10,10,784,21,23,18,5,220,564,710.47,625.27,85.2,528,2708432
40,1,1,804,21,24,20,4,206,598,624.0,564.04,59.96,558,2581418
41,2,2,825,21,20,18,2,163,662,498.07,462.4,35.67,626,2061161
42,3,3,818,26,25,21,4,210,608,623.39,548.96,74.43,566,2641370
43,4,4,826,21,23,18,5,219,607,705.71,622.56,83.15,571,2698045
44,5,5,814,20,22,18,4,183,631,559.06,508.32,50.74,595,2305709
45,6,6,816,24,26,22,4,240,576,745.51,674.8,70.71,532,2971384
46,7,7,817,23,26,22,4,222,595,677.26,628.73,48.53,551,2784418
47,8,8,807,16,21,15,6,188,619,567.49,448.18,119.31,589,2339240
48,9,9,813,16,17,13,4,145,668,424.32,365.3,59.02,642,1818983
49,10,10,784,18,20,16,4,199,585,645.33,543.43,101.9,553,2435093
50,1,1,815,26,27,22,5,260,555,813.21,754.82,58.39,511,3197528
51,2,2,803,23,28,21,7,249,554,755.85,670.06,85.79,512,3101675
52,3,3,818,16,20,15,5,164,654,464.14,398.63,65.51,624,2071548
53,4,4,815,13,16,13,3,136,679,392.64,370.98,21.66,653,1707096
54,5,5,814,16,17,14,3,152,662,436.22,407.93,28.29,634,1891692
55,6,6,817,15,17,15,2,142,675,445.09,412.09,33.0,645,1787822
56,7,7,826,25,23,19,4,218,608,687.62,638.84,48.78,570,2687658
57,8,8,814,17,17,16,1,151,663,482.78,461.75,21.03,631,1881305
58,9,9,677,15,18,14,4,177,500,571.73,467.16,104.57,472,2169771
59,10,10,808,12,14,12,2,132,676,407.65,339.97,67.68,652,1628740
60,1,1,812,24,27,22,5,268,544,863.32,798.68,64.64,500,3280624
61,2,2,824,15,19,15,4,179,645,549.1,471.2,77.9,615,2208949
62,3,3,818,12,15,12,3,136,682,408.61,365.21,43.4,658,1688692
63,4,4,815,20,23,19,4,225,590,715.21,632.82,82.39,552,2760367
64,5,5,814,19,21,15,6,186,628,562.2,497.24,64.96,598,2318466
65,6,6,815,20,22,18,4,204,611,653.81,593.88,59.93,575,2523836
66,7,7,812,15,19,14,5,166,646,504.35,444.66,59.69,618,2073918
67,8,8,803,12,15,12,3,131,672,374.07,340.25,33.82,648,1636757
68,9,9,812,10,14,10,4,134,678,433.66,340.66,93.0,658,1649514
69,10,10,702,13,16,12,4,152,550,457.44,384.1,73.34,526,1873288
70,1,1,812,17,22,16,6,212,600,664.62,548.57,116.05,568,2606932
71,2,2,818,12,14,11,3,113,705,324.63,292.06,32.57,683,1431387
72,3,3,823,16,20,15,5,193,630,613.87,493.25,120.62,600,2372771
73,4,4,817,14,17,14,3,180,637,572.74,507.55,65.19,609,2182528
74,5,5,813,17,18,15,3,170,643,547.58,482.86,64.72,613,2097062
75,6,6,814,19,24,19,5,244,570,809.75,743.18,66.57,532,2976124
76,7,7,819,15,19,14,5,171,648,515.45,435.57,79.88,620,2125853
77,8,8,820,19,23,17,6,193,627,592.29,493.51,98.78,593,2427983
78,9,9,824,12,19,12,7,174,650,526.18,404.39,121.79,626,2157014
79,10,10,816,12,18,12,6,188,628,636.3,481.73,154.57,604,2284028
80,1,1,813,15,22,14,8,229,584,743.44,575.19,168.25,556,2783511
81,2,2,828,15,19,15,4,163,665,486.56,423.11,63.45,635,2042757
82,3,3,825,16,20,15,5,158,667,460.99,377.4,83.59,637,2009226
83,4,4,815,12,17,12,5,161,654,510.54,397.46,113.08,630,1985175
84,5,5,815,14,19,13,6,181,634,566.17,431.95,134.22,608,2229723
85,6,6,819,10,14,10,4,131,688,406.64,367.31,39.33,668,1618353
86,7,7,813,13,15,12,3,148,665,476.47,421.3,55.17,641,1813336
87,8,8,811,13,17,12,5,150,661,462.73,385.72,77.01,637,1870918
88,9,9,827,12,16,11,5,154,673,488.12,370.37,117.75,651,1894062
89,10,10,809,15,21,15,6,202,607,641.5,517.8,123.7,577,2484658
90,1,1,818,19,24,17,7,228,590,718.54,588.94,129.6,556,2809932
91,2,2,810,11,16,11,5,154,656,482.08,410.68,71.4,634,1894062
92,3,3,819,14,17,14,3,130,689,341.3,274.78,66.52,661,1663178
93,4,4,824,20,23,18,5,237,587,766.57,677.15,89.42,551,2885011
