vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,1,1,819,60,40,29,11,313,506,907.9,743.59,164.31,436,3987291
1,2,2,820,57,40,30,10,282,538,809.08,621.55,187.53,466,3665294
2,3,3,812,49,35,27,8,291,521,868.71,709.51,159.2,457,3666757
3,4,4,815,56,40,31,9,292,523,856.67,725.43,131.24,449,3769164
4,5,5,803,56,38,32,6,279,524,783.32,687.92,95.4,446,3597325
5,6,6,800,50,39,28,11,336,464,1096.68,852.41,244.27,392,4207788
6,7,7,792,53,44,30,14,353,439,1119.96,878.68,241.28,361,4476387
7,8,8,828,50,39,29,10,291,537,842.54,612.66,229.88,465,3740373
8,9,9,834,53,38,30,8,324,510,993.64,835.22,158.42,438,4064740
9,10,10,800,48,40,29,11,331,469,977.89,760.2,217.69,399,4174257
10,1,1,826,56,42,33,9,310,516,908.1,787.81,120.29,434,3992938
11,2,2,822,49,48,33,15,372,450,1136.4,830.03,306.37,376,4747356
12,3,3,809,52,36,30,6,264,545,754.46,641.92,112.54,465,3404712
13,4,4,817,45,38,29,9,301,516,889.17,732.11,157.06,448,3825839
14,5,5,802,46,33,27,6,272,530,859.08,725.38,133.7,466,3432596
15,6,6,819,46,38,30,8,312,507,926.52,796.99,129.53,433,3940096
16,7,7,815,40,40,27,13,288,527,776.82,566.86,209.96,465,3727616
17,8,8,811,43,38,29,9,284,527,803.43,659.29,144.14,459,3649260
18,9,9,794,44,33,25,8,279,515,791.73,667.08,124.65,449,3505305
19,10,10,824,44,36,27,9,281,543,819.7,635.06,184.64,475,3581291
20,1,1,822,42,39,29,10,287,535,747.51,663.11,84.4,473,3698825
21,2,2,809,43,43,29,14,315,494,854.92,664.09,190.83,424,4063277
22,3,3,811,56,41,31,10,334,477,971.74,817.23,154.51,399,4223822
23,4,4,819,47,37,30,7,294,525,878.09,792.1,85.99,447,3734726
24,5,5,810,43,43,29,14,323,487,887.04,691.73,195.31,421,4146373
25,6,6,801,34,31,23,8,258,543,767.93,609.68,158.25,487,3250370
26,7,7,819,40,34,25,9,286,533,855.43,629.16,226.27,473,3596418
27,8,8,819,35,27,20,7,217,602,655.65,515.97,139.68,550,2750887
28,9,9,833,42,34,27,7,250,583,673.25,545.32,127.93,521,3222486
29,10,10,811,40,35,26,9,297,514,909.98,715.39,194.59,448,3729079
30,1,1,819,53,39,29,10,334,485,1003.82,793.1,210.72,407,4187014
31,2,2,821,45,36,26,10,278,543,778.86,613.16,165.7,479,3550130
32,3,3,813,39,36,25,11,278,535,800.76,586.16,214.6,471,3550130
33,4,4,819,44,40,28,12,321,498,949.76,748.01,201.75,432,4070387
34,5,5,816,43,40,29,11,285,531,807.13,659.06,148.07,465,3696455
35,6,6,819,42,36,29,7,307,512,892.25,768.63,123.62,448,3851353
36,7,7,806,35,30,23,7,218,588,597.47,513.18,84.29,534,2816486
37,8,8,830,36,29,24,5,220,610,601.75,499.89,101.86,548,2818856
38,9,9,791,32,31,23,8,255,536,755.4,635.25,120.15,480,3219209
39,10,10,824,36,33,23,10,292,532,843.62,615.3,228.32,476,3640336
40,1,1,824,40,38,27,11,301,523,843.78,689.15,154.63,459,3825839
41,2,2,818,44,42,31,11,341,477,974.82,746.99,227.83,409,4314935
42,3,3,818,42,40,27,13,332,486,993.15,708.34,284.81,420,4184644
43,4,4,826,36,33,24,9,264,562,793.84,648.8,145.04,502,3349500
44,5,5,802,38,29,24,5,300,502,970.5,914.16,56.34,444,3649816
45,6,6,785,28,30,23,7,260,525,794.24,651.55,142.69,471,3252740
46,7,7,815,37,36,25,11,278,537,776.58,539.44,237.14,477,3550130
47,8,8,799,39,37,30,7,308,491,950.16,859.44,90.72,423,3880144
48,9,9,802,32,35,24,11,280,522,763.08,627.96,135.12,470,3552500
49,10,10,810,29,29,22,7,233,577,699.13,549.48,149.65,525,2953887
