horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,60,32,32,0,0,3320,0,4802919,20.083
20,80,48,48,16,16,3304,0,7625052,20.015
40,100,57,56,13,29,3290,1,9231839,20.109
60,120,67,67,18,47,3272,1,10007098,20.005
80,140,77,75,21,68,3251,1,11981772,20.21
100,160,145,128,25,93,3225,2,23852796,20.01
120,180,192,151,19,112,3205,3,35640504,20.012
140,200,243,180,62,174,3138,8,48301722,20.02
160,220,220,147,46,220,3061,39,51744266,20.017
180,240,188,137,48,268,2989,63,40357700,20.012
200,260,167,131,40,308,2929,83,33081466,20.013
220,280,226,161,38,346,2881,93,46741854,20.013
240,300,284,172,37,383,2839,98,63997080,20.027
260,320,352,188,54,437,2768,115,87492078,20.035
280,340,370,188,60,497,2647,176,99675674,20.042
300,360,330,175,49,546,2555,219,86270371,20.027
320,380,306,171,54,600,2444,276,81306746,20.035
340,400,238,145,49,649,2357,314,59209429,20.024
360,420,205,140,51,700,2275,345,48254630,20.022
380,440,168,125,33,733,2223,364,36232835,20.019
400,460,153,120,40,773,2172,375,31053266,20.024
420,480,140,117,43,816,2114,390,27355737,20.009
440,500,132,119,32,848,2076,396,23204891,20.191
460,520,178,144,36,884,2037,399,32631562,20.018
480,540,227,159,36,920,1997,403,46598168,20.023
500,560,270,176,53,973,1932,415,58328256,20.017
520,580,283,161,49,1022,1857,441,69954942,20.016
540,600,293,164,47,1069,1768,483,75637430,20.031
560,620,292,171,49,1118,1683,519,71791684,20.016
580,640,348,191,54,1172,1604,544,84839796,20.023
600,660,393,198,44,1216,1526,578,100226111,20.035
620,680,476,183,62,1278,1417,625,137507666,20.022
640,700,587,152,34,1312,1304,704,195386281,20.043
660,720,693,140,26,1338,1179,803,247334948,20.04
680,740,779,127,54,1392,986,942,305030962,20.036
700,760,717,134,46,1438,782,1100,272938719,20.041
720,780,637,139,62,1500,550,1270,239427096,20.031
740,800,519,153,49,1549,358,1413,180002312,20.033
760,816,358,158,69,1618,209,1493,113746532,20.02
780,816,209,83,58,1676,77,1567,72718593,20.697
800,816,77,20,20,1696,20,1604,33641013,20.012
