batch_id,selected_request_id,origin,destination,max_wait,time_window_start,time_window_start_hhmm,time_window_end,time_window_end_hhmm,Transportation_min,Joby_min,Transportation_Joby_time_saving,pending_count,final_cost(원),assigned_vehicle,pickup_time,pickup_time_hhmm,delivery_time,delivery_time_hhmm,final_status
B102,,6,9,7,145,08:05,152,08:12,128,22,106,3,272117,,,,,,Overdue
B128,,6,3,5,153,08:13,158,08:18,85,12,73,2,272691,,,,,,Overdue
B211,,6,3,5,172,08:32,177,08:37,85,12,73,3,281287,,,,,,Overdue
B212,,6,7,6,174,08:34,180,08:40,90,14,76,4,286694,,,,,,Overdue
B219,,8,5,6,176,08:36,182,08:42,78,15,63,3,277704,,,,,,Overdue
B285,,6,4,5,188,08:48,193,08:53,58,9,49,3,292155,,,,,,Overdue
B287,,6,4,5,189,08:49,194,08:54,58,9,49,3,292155,,,,,,Overdue
B343,,6,4,5,206,09:06,211,09:11,58,9,49,3,292155,,,,,,Overdue
B357,,6,3,5,212,09:12,217,09:17,85,12,73,3,281287,,,,,,Overdue
B358,,8,1,6,214,09:14,220,09:20,73,14,59,4,299247,,,,,,Overdue
B361,,6,9,7,225,09:25,232,09:32,128,22,106,3,272117,,,,,,Overdue
B463,,10,9,6,267,10:07,273,10:13,106,21,85,3,256470,,,,,,Overdue
B503,,5,1,6,270,10:10,276,10:16,31,9,22,2,313418,,,,,,Overdue
B623,,5,7,5,293,10:33,298,10:38,56,12,44,2,285126,,,,,,Overdue
B612,,10,3,9,296,10:36,305,10:45,101,17,84,4,287547,,,,,,Overdue
B619,,3,9,5,298,10:38,303,10:43,108,17,91,3,276652,,,,,,Overdue
B643,,9,10,6,305,10:45,311,10:51,107,21,86,3,261828,,,,,,Overdue
B728,,10,3,9,318,10:58,327,11:07,101,17,84,3,279973,,,,,,Overdue
B823,,10,9,7,339,11:19,346,11:26,106,21,85,4,262794,,,,,,Overdue
B836,,8,6,5,340,11:20,345,11:25,101,19,82,3,276268,,,,,,Overdue
B856,,10,9,6,345,11:25,351,11:31,106,21,85,3,256470,,,,,,Overdue
B865,,5,9,7,345,11:25,352,11:32,103,19,84,3,279855,,,,,,Overdue
B926,,6,2,6,354,11:34,360,11:40,80,13,67,3,283474,,,,,,Overdue
B915,,10,9,6,359,11:39,365,11:45,106,21,85,4,262794,,,,,,Overdue
B928,,6,8,5,360,11:40,365,11:45,97,19,78,3,274269,,,,,,Overdue
B1010,,5,9,7,381,12:01,388,12:08,103,19,84,3,279855,,,,,,Overdue
B1146,,6,8,5,430,12:50,435,12:55,97,19,78,3,274269,,,,,,Overdue
B1295,,8,6,5,503,14:03,508,14:08,101,19,82,3,276268,,,,,,Overdue
B1306,,8,6,5,507,14:07,512,14:12,101,19,82,3,276268,,,,,,Overdue
B1431,,6,9,5,544,14:44,549,14:49,128,22,106,3,272117,,,,,,Overdue
B1632,,6,9,5,592,15:32,597,15:37,128,22,106,3,272117,,,,,,Overdue
B1753,,1,9,7,618,15:58,625,16:05,104,18,86,4,286843,,,,,,Overdue
