horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,60,32,31,0,0,3320,0,4667453,60.005
20,80,48,47,16,16,3304,0,7131913,60.159
40,100,57,56,13,29,3291,0,8622015,60.17
60,120,68,67,18,47,3273,0,10227280,60.261
80,140,78,74,22,69,3250,1,11733648,60.007
100,160,144,133,23,92,3227,1,20079153,60.012
120,180,194,168,20,112,3204,4,27450349,60.225
140,200,242,195,66,178,3134,8,36901914,60.011
160,220,216,160,54,232,3058,30,36945535,60.012
180,240,185,141,55,287,2983,50,31399183,60.607
200,260,161,136,43,330,2926,64,25182378,60.868
220,280,223,175,38,368,2880,72,34536941,60.016
240,300,283,196,41,409,2835,76,47165411,60.019
260,320,348,217,68,477,2758,85,60478475,60.033
280,340,360,215,69,546,2642,132,67273011,60.037
300,360,325,201,61,607,2544,169,58998707,60.031
320,380,295,186,55,662,2441,217,56866975,60.026
340,400,235,168,61,723,2348,249,41714977,60.021
360,420,196,150,54,777,2270,273,33445076,60.021
380,440,163,138,40,817,2216,287,26889843,60.155
400,460,146,126,46,863,2164,293,22643293,60.257
420,480,132,122,43,906,2113,301,20308149,60.073
440,500,131,125,36,942,2075,303,20281274,60.014
460,520,177,158,41,983,2033,304,25931241,60.016
480,540,223,180,39,1022,1994,304,33823582,60.025
500,560,267,200,63,1085,1923,312,41895400,60.031
520,580,274,193,57,1142,1850,328,48251402,60.028
540,600,286,190,53,1195,1763,362,52862469,60.025
560,620,287,185,55,1250,1682,388,51073183,60.026
580,640,347,219,59,1309,1597,414,61375557,60.03
600,660,386,224,49,1358,1522,440,69346351,60.04
620,680,472,247,80,1438,1401,481,89318119,60.039
640,700,571,242,57,1495,1285,540,118304949,60.058
660,720,674,251,63,1558,1153,609,145633849,60.071
680,740,753,236,78,1636,970,714,172443438,60.056
700,760,701,240,71,1707,763,850,164524638,60.062
720,780,618,249,84,1791,531,998,141943021,60.056
740,800,500,240,67,1858,340,1122,107427456,60.047
760,816,340,177,70,1928,204,1188,74292721,60.068
780,816,204,100,69,1997,75,1248,47423677,60.901
800,816,75,21,21,2018,23,1279,21956192,60.019
