horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,446140.0,5.002
20,50,23,23,16,16,4217,15,1073280.0,5.003
40,70,26,26,14,30,4203,15,1237930.0,5.003
60,90,31,31,18,48,4185,15,1341070.0,5.005
80,110,37,37,22,70,4163,15,1614180.0,5.005
100,130,43,43,26,96,4137,15,1724910.0,5.004
120,150,73,70,21,117,4113,18,5966790.0,5.022
140,170,131,120,75,192,4032,24,19931880.0,5.006
160,190,116,96,64,256,3954,38,32280480.0,5.007
180,210,101,86,60,316,3883,49,25109390.0,5.005
200,230,82,69,40,356,3832,60,21916050.0,5.054
220,250,74,67,38,394,3787,67,11770510.0,5.009
240,270,116,107,42,436,3740,72,18436330.0,5.006
260,290,182,162,100,536,3629,83,38580550.0,5.009
280,310,183,158,93,629,3515,104,44240210.0,5.009
300,330,169,154,97,726,3410,112,27247610.0,5.01
320,350,148,129,80,806,3317,125,32703220.0,5.009
340,370,125,112,76,882,3230,136,24142440.0,5.008
360,390,89,85,63,945,3163,140,9042060.0,5.078
380,410,78,78,46,991,3117,140,3182380.0,5.167
400,430,80,74,46,1037,3068,143,12221830.0,5.048
420,450,71,67,47,1084,3018,146,8837590.0,5.008
440,470,59,56,34,1118,2981,149,6685670.0,5.157
460,490,68,67,38,1156,2942,150,4262980.0,5.218
480,510,89,87,48,1204,2894,150,5733680.0,5.083
500,530,133,130,78,1282,2813,153,8462430.0,5.007
520,550,134,131,86,1368,2725,155,8735070.0,5.007
540,570,131,120,71,1439,2645,164,20350800.0,5.006
560,590,124,108,67,1506,2567,175,27068320.0,5.006
580,610,140,131,80,1586,2479,183,18560900.0,5.008
600,630,162,158,84,1670,2393,185,11550150.0,5.009
620,650,206,181,118,1788,2263,197,41127100.0,5.01
640,670,230,197,102,1890,2141,217,51031490.0,5.011
660,690,294,206,114,2004,1998,246,123986580.0,5.016
680,710,374,139,90,2094,1850,304,333484210.0,5.016
700,730,449,106,67,2161,1647,440,493165340.0,5.018
720,750,417,118,90,2251,1410,587,431057210.0,5.019
740,770,308,151,91,2342,1199,707,226737650.0,5.015
760,790,220,186,115,2457,1052,739,52679670.0,5.01
780,810,175,158,96,2553,942,753,27005630.0,5.011
800,830,174,157,90,2643,835,770,27449570.0,5.01
820,850,190,170,97,2740,723,785,32022280.0,5.01
840,870,171,142,93,2833,605,810,43718680.0,5.01
860,890,139,126,81,2914,513,821,22935440.0,5.007
880,910,110,97,59,2973,443,832,22743760.0,5.007
900,930,117,100,57,3030,373,845,29419220.0,5.008
920,950,116,99,65,3095,299,854,29187840.0,5.008
940,970,111,97,60,3155,230,863,26226040.0,5.006
960,990,97,91,63,3218,162,868,13956350.0,5.006
980,1010,82,76,43,3261,117,870,12474350.0,5.068
1000,1030,73,67,51,3312,61,875,11985940.0,5.047
1020,1050,40,36,28,3340,32,876,7502610.0,5.102
1040,1070,24,21,15,3355,14,879,5383690.0,5.032
1060,1090,14,14,12,3367,2,879,669870.0,5.003
1080,1110,2,2,2,3369,0,879,98330.0,5.002
1100,1130,0,0,0,3369,0,879,,0.0
1120,1150,0,0,0,3369,0,879,,0.0
