num_vehicles,total_penalty,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds,output_directory,is_best_penalty
101,2094733000,2792,1456,4248,278.034,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_101,False
102,2035923500,2832,1416,4248,278.165,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_102,False
103,2023957300,2842,1406,4248,278.231,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_103,False
104,1980007200,2872,1376,4248,278.139,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_104,False
105,1958306500,2888,1360,4248,278.232,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_105,False
106,1957464500,2889,1359,4248,278.536,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_106,False
107,1916922400,2917,1331,4248,278.32,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_107,False
108,1872514400,2947,1301,4248,278.449,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_108,False
109,1841083800,2966,1282,4248,278.388,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_109,False
110,1831961400,2973,1275,4248,278.331,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_110,False
111,1810154600,2988,1260,4248,278.05,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_111,False
112,1798215900,3000,1248,4248,278.39,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_112,False
113,1789510800,3004,1244,4248,277.658,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_113,False
114,1763437100,3025,1223,4248,278.089,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_114,False
115,1746530100,3037,1211,4248,278.643,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_115,False
116,1722132200,3055,1193,4248,278.487,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\S1\Penalty_per_vehicles\vehicles_116,False
