horizon_start,horizon_end,request_id,batch_id,planned_visit,drop_penalty
0,30,R1,B1,True,1796500
0,30,R2,B2,True,2070400
0,30,R3,B3,True,2070400
0,30,R4,B4,True,1630300
0,30,R5,B5,True,1904100
0,30,R6,B6,True,1659800
0,30,R7,B7,True,2080400
0,30,R8,B8,True,1659800
0,30,R9,B9,True,1630300
0,30,R10,B10,True,1521900
20,50,R1,B1,True,1806500
20,50,R2,B2,True,2080400
20,50,R3,B3,True,2080400
20,50,R4,B4,True,1640300
20,50,R5,B5,True,1914100
20,50,R6,B6,True,1669800
20,50,R7,B7,True,2090400
20,50,R8,B8,True,1669800
20,50,R9,B9,True,1640300
20,50,R10,B10,True,1531900
20,50,R11,B11,True,1630300
20,50,R12,B12,True,1670700
20,50,R13,B13,True,1954700
20,50,R14,B14,True,1460400
20,50,R15,B15,True,2194000
20,50,R16,B16,True,1630300
20,50,R17,B17,True,1913400
20,50,R18,B18,True,1660800
20,50,R19,B19,True,1630300
20,50,R20,B20,True,1460400
20,50,R21,B21,True,1913400
20,50,R22,B22,True,1460400
20,50,R23,B23,True,1630300
40,70,R17,B17,True,1923400
40,70,R18,B18,True,1670800
40,70,R19,B19,True,1640300
40,70,R20,B20,True,1470400
40,70,R21,B21,True,1923400
40,70,R22,B22,True,1470400
40,70,R23,B23,True,1640300
40,70,R24,B24,True,1460400
40,70,R25,B25,True,2242100
40,70,R26,B26,True,1521900
40,70,R27,B27,True,1630300
40,70,R28,B28,True,2070400
40,70,R29,B29,True,1659800
40,70,R30,B30,True,1521900
40,70,R31,B31,True,1660800
40,70,R32,B32,True,1659800
40,70,R33,B33,True,1460400
40,70,R34,B34,True,1630300
40,70,R35,B35,True,1659800
40,70,R36,B36,True,2070400
40,70,R37,B37,True,2563300
40,70,R38,B38,True,1659800
40,70,R39,B39,True,1460400
40,70,R40,B40,True,1659800
40,70,R41,B41,True,2070400
40,70,R42,B42,True,1659800
60,90,R31,B31,True,1670800
60,90,R32,B32,True,1669800
60,90,R33,B33,True,1470400
60,90,R34,B34,False,1640300
60,90,R35,B35,True,1669800
60,90,R36,B36,True,2080400
60,90,R37,B37,True,2573300
60,90,R38,B38,True,1669800
60,90,R39,B39,True,1470400
60,90,R40,B40,True,1669800
60,90,R41,B41,True,2080400
60,90,R42,B42,True,1669800
60,90,R43,B43,True,1659800
60,90,R44,B44,True,1521900
60,90,R45,B45,True,2070400
60,90,R46,B46,True,1521900
60,90,R47,B47,True,1630300
60,90,R48,B48,True,1630200
60,90,R49,B49,True,1518500
60,90,R50,B50,True,1179900
60,90,R51,B51,True,1168100
60,90,R52,B52,True,1696600
60,90,R53,B53,True,1629300
60,90,R54,B54,True,2503300
60,90,R55,B55,True,2503300
60,90,R56,B56,True,1660800
60,90,R57,B57,True,1696600
60,90,R58,B58,True,1469700
60,90,R59,B59,True,1476500
60,90,R60,B60,True,1168100
60,90,R61,B61,True,2503300
80,110,R34,B34,False,1650300
80,110,R49,B49,True,1528500
80,110,R50,B50,True,1189900
80,110,R51,B51,True,1178100
80,110,R52,B52,False,1706600
80,110,R53,B53,False,1639300
80,110,R54,B54,True,2513300
80,110,R55,B55,True,2513300
80,110,R56,B56,True,1670800
80,110,R57,B57,True,1706600
80,110,R58,B58,True,1479700
80,110,R59,B59,True,1486500
80,110,R60,B60,True,1178100
80,110,R61,B61,True,2513300
80,110,R62,B62,True,1469700
80,110,R63,B63,True,1696600
80,110,R64,B64,True,1629300
80,110,R65,B65,True,1797500
80,110,R66,B66,True,1951700
80,110,R67,B67,True,2503300
80,110,R68,B68,True,1140600
80,110,R69,B69,True,1629300
80,110,R70,B70,True,1168100
80,110,R71,B71,True,2240100
80,110,R72,B72,True,1640300
80,110,R73,B73,True,1168100
80,110,R74,B74,True,1469700
80,110,R75,B75,True,2503300
80,110,R76,B76,True,2503300
80,110,R77,B77,True,1168100
80,110,R78,B78,True,2058100
80,110,R79,B79,True,1469700
80,110,R80,B80,True,1140600
80,110,R81,B81,True,2503300
80,110,R82,B82,True,1140600
80,110,R83,B83,True,1629300
80,110,R84,B84,True,1168100
80,110,R85,B85,True,1951700
100,130,R52,B52,False,1716600
100,130,R53,B53,False,1649300
100,130,R71,B71,True,2250100
100,130,R72,B72,True,1650300
100,130,R73,B73,True,1178100
100,130,R74,B74,True,1479700
100,130,R75,B75,True,2513300
100,130,R76,B76,True,2513300
100,130,R77,B77,True,1178100
100,130,R78,B78,True,2068100
100,130,R79,B79,True,1479700
100,130,R80,B80,True,1150600
100,130,R81,B81,True,2513300
100,130,R82,B82,True,1150600
100,130,R83,B83,True,1639300
100,130,R84,B84,True,1178100
100,130,R85,B85,True,1961700
100,130,R86,B86,True,1518500
100,130,R87,B87,True,1486500
100,130,R88,B88,True,1168100
100,130,R89,B89,True,2503300
100,130,R90,B90,True,1140600
100,130,R91,B91,True,1168100
100,130,R92,B92,True,1452100
100,130,R93,B93,True,1452100
100,130,R94,B94,True,2252100
100,130,R95,B95,True,1486500
100,130,R96,B96,True,2252100
100,130,R97,B97,True,1140600
100,130,R98,B98,True,1140600
100,130,R99,B99,True,1452100
100,130,R100,B100,True,2252100
100,130,R101,B101,True,1140600
100,130,R102,B102,True,2240100
100,130,R103,B103,True,1486500
100,130,R104,B104,True,1486500
100,130,R105,B105,True,1486500
100,130,R106,B106,True,1168100
100,130,R107,B107,True,1660800
100,130,R108,B108,True,1629300
100,130,R109,B109,True,2252100
100,130,R110,B110,True,1469700
100,130,R111,B111,True,1629300
100,130,R112,B112,True,1476500
100,130,R113,B113,True,1168100
120,150,R97,B97,False,1150600
120,150,R98,B98,False,1150600
120,150,R99,B99,True,1462100
120,150,R100,B100,True,2262100
120,150,R101,B101,False,1150600
120,150,R102,B102,True,2250100
120,150,R103,B103,True,1496500
120,150,R104,B104,True,1496500
