vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1115,45.052,31,30,587,1932.69,1874.97,57.72,464,32,32
1,2,2,1040,31.68,28,27,506,1640.08,1589.84,50.24,478,28,28
2,3,3,1096,51.319,34,31,568,1804.28,1711.4,92.88,462,33,33
3,4,4,1083,46.814,31,30,536,1726.44,1670.97,55.47,485,31,31
4,5,5,1106,30.475,32,28,534,1695.93,1637.53,58.4,510,31,31
5,6,6,1058,26.243,32,30,511,1612.63,1515.78,96.85,483,32,32
6,7,7,1096,72.944,30,28,509,1625.44,1563.26,62.18,529,29,29
7,8,8,1091,95.024,32,30,522,1661.75,1621.65,40.1,507,31,31
8,9,9,1092,113.064,31,31,529,1695.84,1695.84,0.0,499,32,32
9,10,10,1099,68.176,36,33,556,1715.85,1644.03,71.82,471,36,36
10,1,1,1096,85.354,35,31,541,1669.99,1572.86,97.13,487,34,34
11,2,2,1115,50.787,35,31,510,1542.24,1492.74,49.5,539,33,33
12,3,3,1094,111.724,31,27,443,1302.31,1215.52,86.79,595,28,28
13,4,4,1050,47.461,24,22,397,1265.57,1192.06,73.51,605,24,24
14,5,5,980,51.024,33,27,476,1426.36,1259.94,166.42,448,28,28
15,6,6,1019,26.453,33,27,498,1519.47,1351.44,168.03,463,29,29
16,7,7,953,27.212,30,28,438,1317.5,1255.32,62.18,457,29,29
17,8,8,970,43.823,30,26,436,1329.49,1254.57,74.92,478,28,28
18,9,9,964,57.596,29,27,433,1329.3,1285.04,44.26,473,29,29
19,10,10,1100,94.467,38,33,538,1589.37,1496.57,92.8,494,34,34
20,1,1,984,55.344,33,26,460,1342.57,1146.57,196.0,472,26,26
21,2,2,1008,52.175,36,28,487,1435.54,1243.11,192.43,461,30,30
22,3,3,968,47.977,28,25,410,1216.75,1140.75,76.0,506,26,26
23,4,4,993,45.57,32,27,454,1348.19,1226.48,121.71,473,33,33
24,5,5,1101,44.452,33,25,460,1358.03,1190.33,167.7,589,26,26
25,6,6,1014,28.893,31,25,429,1239.05,1092.18,146.87,533,26,26
26,7,7,1106,112.364,33,28,430,1233.33,1114.55,118.78,616,30,30
27,8,8,1052,44.859,34,30,461,1364.71,1267.38,97.33,527,32,32
28,9,9,989,63.638,32,25,416,1155.69,989.47,166.22,519,27,27
29,10,10,1010,33.689,39,29,477,1303.71,1106.13,197.58,467,33,33
30,1,1,1068,42.928,36,30,493,1462.58,1367.2,95.38,511,32,32
31,2,2,1006,53.641,36,28,468,1318.4,1164.59,153.81,480,29,29
32,3,3,1102,44.566,36,30,477,1370.02,1290.48,79.54,559,33,33
33,4,4,986,22.243,32,27,394,1101.08,978.89,122.19,534,29,29
34,5,5,1084,98.218,36,30,465,1293.17,1189.84,103.33,553,33,33
35,6,6,1011,27.49,27,22,361,1064.07,927.06,137.01,600,25,25
36,7,7,961,63.915,32,25,398,1097.76,870.35,227.41,511,26,26
37,8,8,992,50.104,27,22,353,1027.07,859.61,167.46,593,23,23
38,9,9,928,93.744,27,20,335,940.11,751.53,188.58,551,21,21
39,10,10,991,34.282,34,25,421,1165.23,964.86,200.37,518,26,26
40,1,1,967,42.458,36,29,468,1340.0,1123.72,216.28,439,30,30
41,2,2,1049,45.142,34,24,407,1135.13,856.03,279.1,594,24,24
42,3,3,963,21.032,33,25,406,1099.72,907.23,192.49,505,26,26
43,4,4,1054,33.792,29,20,362,993.32,757.98,235.34,650,21,21
44,5,5,1098,68.072,38,29,448,1212.27,1026.11,186.16,590,30,30
45,6,6,1067,22.152,41,32,491,1322.55,1135.97,186.58,508,34,34
46,7,7,1061,62.394,36,28,404,1091.94,846.39,245.55,601,28,28
47,8,8,1087,27.314,41,33,476,1250.2,1112.6,137.6,537,37,37
48,9,9,989,118.294,33,24,389,1030.1,805.93,224.17,550,25,25
49,10,10,1078,30.717,36,24,391,997.15,781.72,215.43,633,27,27
50,1,1,1057,38.806,39,30,432,1113.01,982.25,130.76,563,31,31
51,2,2,1120,62.824,29,21,350,936.52,741.96,194.56,722,24,24
52,3,3,1040,48.454,27,18,298,730.14,569.39,160.75,704,19,19
53,4,4,946,38.274,24,19,298,833.04,675.24,157.8,610,19,19
54,5,5,955,31.704,32,24,372,978.38,808.22,170.16,529,27,27
55,6,6,1044,27.287,34,25,377,970.38,799.63,170.75,613,27,27
56,7,7,1040,92.504,39,31,442,1173.55,1039.09,134.46,534,32,32
57,8,8,1051,93.174,31,20,339,890.45,626.01,264.44,670,21,21
58,9,9,1017,78.924,31,20,346,932.39,637.85,294.54,631,20,20
