horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,446140.0,5.002
20,50,23,23,16,16,4217,15,1073280.0,5.003
40,70,26,26,14,30,4203,15,1237930.0,5.003
60,90,31,30,17,47,4186,15,2963410.0,5.102
80,110,38,36,21,68,4164,16,4885820.0,5.034
100,130,44,43,26,94,4137,17,3411410.0,5.096
120,150,73,69,20,114,4114,20,7194950.0,5.227
140,170,132,120,76,190,4031,27,21210630.0,5.007
160,190,115,94,62,252,3955,41,34196520.0,5.006
180,210,102,84,57,309,3884,55,29750150.0,5.005
200,230,83,67,38,347,3834,67,26915570.0,5.483
220,250,76,67,39,386,3787,75,17095240.0,5.008
240,270,116,106,41,427,3741,80,22014190.0,5.005
260,290,183,160,99,526,3628,94,43865300.0,5.01
280,310,182,156,91,617,3517,114,44667800.0,5.009
300,330,171,148,92,709,3415,124,37513750.0,5.009
320,350,153,126,76,785,3319,144,43573250.0,5.008
340,370,127,113,77,862,3230,156,24961370.0,5.006
360,390,89,85,63,925,3163,160,9037080.0,5.063
380,410,78,78,46,971,3117,160,3192580.0,5.151
400,430,80,75,48,1019,3067,162,10769720.0,5.033
420,450,70,65,44,1063,3020,165,10633100.0,5.228
440,470,61,57,35,1098,2981,169,8663240.0,5.125
460,490,68,66,37,1135,2942,171,5711960.0,5.205
480,510,89,86,47,1182,2894,172,7223690.0,5.089
500,530,133,123,71,1253,2819,176,18770740.0,5.007
520,550,140,120,76,1329,2731,188,33392650.0,5.007
540,570,137,115,66,1395,2648,205,36537120.0,5.007
560,590,127,104,63,1458,2568,222,37097820.0,5.007
580,610,141,119,68,1526,2491,231,37019150.0,5.006
600,630,174,147,72,1598,2404,246,45436840.0,5.007
620,650,217,159,101,1699,2276,273,86465250.0,5.011
640,670,243,164,85,1784,2158,306,114083550.0,5.012
660,690,311,174,99,1883,2011,354,194747570.0,5.014
680,710,387,134,89,1972,1851,425,360229280.0,5.014
700,730,450,109,70,2042,1644,562,490792080.0,5.018
720,750,414,113,83,2125,1412,711,436289290.0,5.018
740,770,310,140,74,2199,1212,837,250816550.0,5.015
760,790,233,169,99,2298,1065,885,96844170.0,5.011
780,810,188,147,85,2383,945,920,60348910.0,5.01
800,830,177,154,85,2468,839,941,35638410.0,5.009
820,850,194,161,90,2558,729,961,48708360.0,5.01
840,870,177,140,91,2649,605,994,55501020.0,5.009
860,890,139,125,79,2728,515,1005,25403130.0,5.007
880,910,112,94,56,2784,443,1021,29942910.0,5.007
900,930,117,97,53,2837,377,1034,34490760.0,5.007
920,950,120,96,60,2897,303,1048,40980390.0,5.006
940,970,115,95,57,2954,235,1059,35806930.0,5.006
960,990,102,81,55,3009,168,1071,37173160.0,5.005
980,1010,88,72,38,3047,120,1081,28865530.0,5.067
1000,1030,76,66,49,3096,64,1088,18063940.0,5.358
1020,1050,43,37,29,3125,32,1091,10585460.0,5.125
1040,1070,24,21,15,3140,14,1094,5388320.0,5.021
1060,1090,14,14,12,3152,2,1094,669870.0,5.003
1080,1110,2,2,2,3154,0,1094,98330.0,5.002
1100,1130,0,0,0,3154,0,1094,,0.0
1120,1150,0,0,0,3154,0,1094,,0.0
