batch_id,selected_request_id,origin,destination,max_wait,Transportation_min,Joby_min,Transportation_Joby_time_saving,pending_count,final_drop_penalty,assigned_vehicle,pickup_time,pickup_time_hhmm,delivery_time,delivery_time_hhmm,final_status
B1,R1,6,2,5,92,13,79,1,1806500,5.0,22.0,06:02,38.0,06:18,Complete
B2,R2,4,9,5,124,17,107,1,2080400,3.0,23.0,06:03,43.0,06:23,Complete
B3,R3,4,9,5,124,18,106,1,2080400,13.0,24.0,06:04,44.0,06:24,Complete
B4,R4,6,7,5,77,14,63,1,1640300,25.0,24.0,06:04,41.0,06:21,Complete
B5,R5,7,10,5,108,18,90,1,1914100,6.0,24.0,06:04,45.0,06:25,Complete
B6,R6,10,3,7,83,17,66,1,1669800,9.0,25.0,06:05,49.0,06:29,Complete
B7,R7,9,4,5,125,17,108,1,2090400,8.0,27.0,06:07,47.0,06:27,Complete
B8,R8,10,3,7,83,17,66,1,1669800,9.0,29.0,06:09,52.0,06:32,Complete
B9,R9,6,7,5,77,14,63,1,1640300,35.0,30.0,06:10,47.0,06:27,Complete
B10,R10,10,4,5,66,14,52,1,1531900,19.0,30.0,06:10,47.0,06:27,Complete
B11,R11,6,7,5,77,14,63,0,1630300,45.0,32.0,06:12,49.0,06:29,Complete
B12,R12,6,10,4,79,12,67,0,1670700,15.0,32.0,06:12,48.0,06:28,Complete
B13,R13,1,9,5,113,18,95,0,1954700,0.0,36.0,06:16,57.0,06:37,Complete
B14,R14,1,10,5,61,16,45,0,1460400,10.0,36.0,06:16,54.0,06:34,Complete
B15,R15,5,9,5,138,19,119,0,2194000,4.0,37.0,06:17,59.0,06:39,Complete
B16,R16,6,7,5,77,14,63,0,1630300,55.0,38.0,06:18,55.0,06:35,Complete
B17,R17,2,9,5,107,16,91,1,1923400,1.0,40.0,06:20,59.0,06:39,Complete
B18,R18,3,10,6,83,17,66,1,1670800,2.0,40.0,06:20,60.0,06:40,Complete
B19,R19,6,7,5,77,14,63,1,1640300,75.0,40.0,06:20,57.0,06:37,Complete
B20,R20,1,10,5,61,16,45,1,1470400,20.0,44.0,06:24,62.0,06:42,Complete
B21,R21,2,9,5,107,16,91,1,1923400,5.0,48.0,06:28,67.0,06:47,Complete
B22,R22,1,10,5,61,15,46,1,1470400,30.0,49.0,06:29,67.0,06:47,Complete
B23,R23,6,7,5,77,14,63,1,1640300,85.0,50.0,06:30,67.0,06:47,Complete
B24,R24,1,10,5,61,16,45,0,1460400,40.0,52.0,06:32,70.0,06:50,Complete
B25,R25,6,9,5,146,22,124,0,2242100,65.0,53.0,06:33,78.0,06:58,Complete
B26,R26,10,4,5,66,14,52,0,1521900,39.0,53.0,06:33,70.0,06:50,Complete
B27,R27,6,7,5,77,14,63,0,1630300,95.0,54.0,06:34,71.0,06:51,Complete
B28,R28,4,9,5,124,17,107,0,2070400,8.0,55.0,06:35,75.0,06:55,Complete
B29,R29,10,3,7,83,17,66,0,1659800,6.0,55.0,06:35,75.0,06:55,Complete
B30,R30,10,4,5,66,14,52,0,1521900,49.0,57.0,06:37,74.0,06:54,Complete
B31,R31,3,10,6,83,17,66,1,1670800,9.0,60.0,06:40,80.0,07:00,Complete
B32,R32,10,3,7,83,17,66,1,1669800,29.0,60.0,06:40,84.0,07:04,Complete
B33,R33,1,10,5,61,16,45,1,1470400,50.0,62.0,06:42,80.0,07:00,Complete
B34,R34,6,7,5,77,15,62,1,1640300,125.0,63.0,06:43,80.0,07:00,Complete
B35,R35,10,3,7,83,17,66,1,1669800,20.0,65.0,06:45,85.0,07:05,Complete
B36,R36,4,9,5,124,18,106,1,2080400,19.0,64.0,06:44,84.0,07:04,Complete
B37,R37,9,10,6,177,21,156,1,2573300,0.0,64.0,06:44,88.0,07:08,Complete
B38,R38,10,3,7,83,17,66,1,1669800,29.0,64.0,06:44,87.0,07:07,Complete
B39,R39,1,10,5,61,15,46,1,1470400,60.0,65.0,06:45,83.0,07:03,Complete
B40,R40,10,3,7,83,17,66,1,1669800,69.0,68.0,06:48,91.0,07:11,Complete
B41,R41,4,9,5,124,18,106,1,2080400,23.0,70.0,06:50,90.0,07:10,Complete
B42,R42,10,3,7,83,17,66,1,1669800,40.0,73.0,06:53,93.0,07:13,Complete
B43,R43,10,3,7,83,17,66,0,1659800,69.0,71.0,06:51,94.0,07:14,Complete
B44,R44,10,4,5,66,14,52,0,1521900,79.0,71.0,06:51,88.0,07:08,Complete
