horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.005
20,50,23,23,16,16,4217,15,883410.0,20.007
40,70,26,26,14,30,4203,15,1014550.0,20.003
60,90,31,31,18,48,4185,15,1131410.0,20.114
80,110,37,37,22,70,4163,15,1316290.0,20.003
100,130,43,42,25,95,4138,15,3653890.0,20.009
120,150,74,73,23,118,4114,16,4462310.0,20.006
140,170,132,129,84,202,4027,19,8095260.0,20.208
160,190,111,103,70,272,3951,25,14611090.0,20.327
180,210,98,93,63,335,3884,29,11206560.0,20.215
200,230,83,76,47,382,3831,35,12848310.0,20.179
220,250,73,70,41,423,3788,37,7091870.0,20.096
240,270,117,111,46,469,3739,40,15414920.0,20.262
260,290,181,152,93,562,3641,45,47505290.0,20.007
280,310,195,137,76,638,3535,75,85404050.0,20.009
300,330,189,130,73,711,3433,104,88407240.0,20.009
320,350,171,127,74,785,3323,140,68264890.0,20.013
340,370,131,116,78,863,3232,153,25514860.0,20.591
360,390,91,89,65,928,3165,155,5423750.0,20.005
380,410,80,80,47,975,3118,155,2724880.0,20.004
400,430,81,79,51,1026,3066,156,5780240.0,20.09
420,450,69,68,46,1072,3019,157,3995410.0,20.172
440,470,60,59,36,1108,2982,158,3591190.0,20.199
460,490,69,68,38,1146,2943,159,3874630.0,20.214
480,510,90,90,51,1197,2892,159,2910300.0,20.214
500,530,131,127,73,1270,2818,160,9460180.0,20.266
520,550,139,122,75,1345,2734,169,28519300.0,20.01
540,570,140,119,66,1411,2651,186,33653700.0,20.016
560,590,130,111,67,1478,2568,202,30761940.0,20.526
580,610,141,125,75,1553,2486,209,27087070.0,20.009
600,630,169,136,68,1621,2407,220,51090720.0,20.013
620,650,220,139,85,1706,2294,248,120009850.0,20.009
640,670,261,140,68,1774,2173,301,175565240.0,20.011
660,690,326,127,71,1845,2036,367,289386500.0,20.015
680,710,412,140,78,1923,1861,464,394947330.0,20.016
700,730,460,122,71,1994,1646,608,492522250.0,20.022
720,750,416,111,64,2058,1429,761,447234910.0,20.02
740,770,327,116,61,2119,1226,903,309849530.0,20.016
760,790,247,137,79,2198,1088,962,158075170.0,20.021
780,810,211,130,72,2270,961,1017,115173270.0,20.01
800,830,193,138,76,2346,847,1055,76979060.0,20.011
820,850,202,139,81,2427,745,1076,87198750.0,20.009
840,870,193,128,75,2502,626,1120,90373380.0,20.01
860,890,160,131,83,2585,519,1144,42387490.0,20.011
880,910,116,100,61,2646,444,1158,26973180.0,20.323
900,930,118,106,64,2710,370,1168,23151450.0,20.012
920,950,113,102,65,2775,299,1174,21053720.0,20.297
940,970,111,97,57,2832,236,1180,25403810.0,20.029
960,990,103,85,55,2887,169,1192,31313160.0,20.077
980,1010,89,79,46,2933,116,1199,18720930.0,20.139
1000,1030,72,68,49,2982,64,1202,8356820.0,20.016
1020,1050,43,42,32,3014,31,1203,3145560.0,20.13
1040,1070,23,22,16,3030,14,1204,2439360.0,20.006
1060,1090,14,14,12,3042,2,1204,617450.0,20.002
1080,1110,2,2,2,3044,0,1204,98330.0,20.004
1100,1130,0,0,0,3044,0,1204,,0.0
1120,1150,0,0,0,3044,0,1204,,0.0
