vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1086,42.427,33,32,534,1959.45,1901.73,57.72,474,39,39
1,2,2,1104,53.428,31,30,495,1810.39,1760.15,50.24,529,40,40
2,3,3,1113,58.694,37,34,526,1884.95,1793.09,91.86,505,41,41
3,4,4,1108,46.828,35,32,512,1854.07,1741.69,112.38,514,41,41
4,5,5,1050,29.69,36,31,460,1602.69,1491.74,110.95,514,38,38
5,6,6,1112,24.566,36,32,471,1672.42,1570.8,101.62,573,34,34
6,7,7,1093,72.944,35,33,494,1773.17,1716.92,56.25,519,40,40
7,8,8,974,48.09,36,31,449,1594.63,1487.02,107.61,451,37,37
8,9,9,983,29.941,34,32,446,1583.06,1560.04,23.02,461,38,38
9,10,10,1008,31.58,34,31,464,1657.63,1549.41,108.22,468,38,38
10,1,1,965,60.574,36,29,418,1431.88,1237.1,194.78,477,35,35
11,2,2,977,50.499,31,28,426,1516.93,1385.1,131.83,487,32,32
12,3,3,963,49.059,31,26,408,1427.86,1286.53,141.33,491,32,32
13,4,4,961,38.274,37,29,395,1315.99,1134.38,181.61,502,32,32
14,5,5,1080,89.401,40,37,460,1549.96,1498.39,51.57,530,45,45
15,6,6,986,38.274,38,31,458,1558.47,1385.36,173.11,450,39,39
16,7,7,1112,44.06,34,30,416,1438.32,1303.39,134.93,624,36,36
17,8,8,985,103.558,37,31,408,1380.27,1232.33,147.94,503,37,37
18,9,9,1068,42.337,41,33,474,1621.65,1447.53,174.12,514,40,40
19,10,10,1000,51.708,34,27,413,1427.29,1266.02,161.27,521,33,33
20,1,1,971,43.748,33,30,389,1312.9,1199.56,113.34,508,37,37
21,2,2,1103,52.684,39,34,455,1553.94,1478.04,75.9,570,39,39
22,3,3,989,48.161,37,31,447,1563.51,1387.71,175.8,466,38,38
23,4,4,1046,45.137,36,28,392,1313.09,1121.12,191.97,578,38,38
24,5,5,1009,41.612,39,28,411,1377.79,1146.59,231.2,528,35,35
25,6,6,1008,27.49,40,31,434,1463.38,1259.78,203.6,500,37,37
26,7,7,1095,74.804,40,34,388,1304.9,1147.59,157.31,637,35,35
27,8,8,996,68.396,42,32,424,1419.12,1254.79,164.33,490,41,41
28,9,9,927,76.833,38,31,374,1249.09,1128.72,120.37,483,35,35
29,10,10,958,32.388,30,22,322,1061.54,849.95,211.59,574,31,31
30,1,1,996,45.11,38,31,380,1199.0,994.33,204.67,544,36,36
31,2,2,995,52.845,37,29,362,1164.95,957.97,206.98,565,34,34
32,3,3,955,49.498,26,19,261,850.04,642.37,207.67,646,24,24
33,4,4,1034,51.024,30,24,296,964.91,808.42,156.49,680,29,29
34,5,5,955,31.704,34,26,329,1058.32,844.44,213.88,562,32,32
35,6,6,968,26.678,37,30,363,1153.22,975.61,177.61,531,37,37
36,7,7,1102,95.847,41,35,383,1235.17,1120.15,115.02,641,39,39
37,8,8,1103,65.881,40,30,349,1083.83,914.62,169.21,686,34,34
38,9,9,1112,57.145,44,34,419,1355.32,1172.39,182.93,615,39,39
39,10,10,1109,43.174,44,35,466,1509.61,1293.64,215.97,555,44,44
40,1,1,1053,54.356,37,28,357,1133.24,998.54,134.7,626,35,35
41,2,2,1113,43.4,48,36,428,1362.73,1118.5,244.23,597,44,44
42,3,3,1027,49.653,37,27,369,1183.07,945.27,237.8,600,29,29
43,4,4,1089,19.619,40,26,361,1136.56,800.12,336.44,660,34,34
44,5,5,1023,44.51,36,26,333,1030.68,798.41,232.27,624,33,33
45,6,6,1005,26.988,40,27,353,1122.19,811.35,310.84,586,33,33
46,7,7,1114,67.684,42,31,399,1293.11,1069.41,223.7,641,37,37
47,8,8,1054,111.388,31,21,269,843.53,659.12,184.41,731,27,27
48,9,9,1058,40.251,40,29,364,1165.24,910.74,254.5,626,34,34
49,10,10,1050,75.598,41,28,407,1314.35,949.94,364.41,577,33,33
50,1,1,993,16.851,34,26,334,1105.81,926.97,178.84,601,29,29
51,2,2,1050,70.45,44,31,369,1126.16,879.29,246.87,609,36,36
52,3,3,1099,45.522,30,22,308,991.58,856.61,134.97,735,28,28
53,4,4,1002,22.674,51,36,406,1203.11,900.36,302.75,514,41,41
54,5,5,1046,94.575,40,30,327,1008.06,829.16,178.9,637,41,41
55,6,6,1020,24.55,42,29,352,1071.38,869.11,202.27,596,36,36
56,7,7,1052,125.054,42,31,353,1049.18,866.85,182.33,623,38,38
57,8,8,982,40.641,46,33,391,1233.47,983.69,249.78,509,41,41
58,9,9,1046,87.458,36,26,356,1158.55,851.95,306.6,632,29,29
59,10,10,1099,77.595,41,31,352,1104.79,915.24,189.55,667,40,40
60,1,1,1055,52.922,34,24,289,866.58,660.64,205.94,710,28,28
61,2,2,1045,48.078,29,21,246,717.24,564.99,152.25,741,29,29
62,3,3,1060,17.647,35,24,304,920.68,722.79,197.89,694,31,31
63,4,4,1054,60.368,37,23,324,1009.75,725.62,284.13,672,29,29
64,5,5,1040,24.095,38,31,363,1186.45,1012.68,173.77,601,38,38
65,6,6,1002,90.108,37,26,288,833.19,664.3,168.89,658,28,28
66,7,7,988,125.054,34,24,272,771.27,638.05,133.22,662,27,27
67,8,8,887,40.936,27,22,251,774.78,627.7,147.08,578,29,29
68,9,9,1065,32.685,46,32,399,1213.79,944.71,269.08,586,40,40
69,10,10,941,109.404,42,31,354,1047.68,857.87,189.81,521,33,33
70,1,1,1057,55.344,34,24,306,926.8,688.35,238.45,689,31,31
71,2,2,1019,58.7,34,24,283,851.16,663.16,188.0,680,28,28
72,3,3,1039,77.0,48,34,425,1320.79,1065.41,255.38,532,41,41
73,4,4,1041,109.358,43,28,351,1059.8,746.59,313.21,626,32,32
74,5,5,1010,119.864,37,27,302,889.19,726.41,162.78,636,36,36
75,6,6,1049,46.426,44,31,378,1182.62,940.71,241.91,593,39,39
76,7,7,1054,72.944,41,25,343,1013.44,736.5,276.94,647,32,32
77,8,8,1037,35.108,35,31,295,909.74,797.14,112.6,666,38,38
78,9,9,1003,96.756,39,27,304,916.62,695.79,220.83,625,37,37
79,10,10,1043,121.094,36,26,302,917.16,745.87,171.29,671,35,35
80,1,1,1012,41.818,33,20,305,947.3,639.87,307.43,659,24,24
81,2,2,1045,109.534,46,29,348,999.37,771.64,227.73,627,35,35
82,3,3,1067,61.382,44,27,372,1151.85,811.82,340.03,621,37,37
83,4,4,1049,97.404,49,35,415,1262.15,1052.03,210.12,544,45,45
84,5,5,1051,87.697,39,25,302,891.77,615.78,275.99,691,29,29
85,6,6,1056,32.744,40,28,324,995.61,770.0,225.61,662,35,35
86,7,7,1081,17.017,40,29,353,1102.27,858.24,244.03,654,37,37
87,8,8,1028,31.294,44,28,351,1035.94,739.06,296.88,603,37,37
88,9,9,1020,48.063,45,28,348,1007.48,712.83,294.65,608,32,32
89,10,10,1027,55.271,41,28,339,1015.11,799.17,215.94,618,35,35
90,1,1,985,104.024,34,25,259,756.44,603.28,153.16,660,33,33
91,2,2,885,108.144,31,24,221,599.8,500.82,98.98,610,27,27
92,3,3,923,103.85,39,26,289,794.63,588.02,206.61,568,33,33
93,4,4,908,109.474,33,24,265,734.54,584.6,149.94,583,30,30
94,5,5,910,118.774,31,23,252,754.1,638.89,115.21,598,30,30
95,6,6,964,138.798,38,29,273,713.77,596.53,117.24,619,36,36
96,7,7,942,86.388,34,21,276,838.39,565.88,272.51,614,26,26
97,8,8,999,25.022,37,26,305,871.91,696.07,175.84,632,31,31
98,9,9,1029,31.029,33,23,267,799.73,601.46,198.27,696,33,33
99,10,10,1037,80.76,33,22,278,817.25,644.27,172.98,705,27,27
