horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.002
20,50,23,23,16,16,4217,15,883410.0,20.003
40,70,26,26,14,30,4203,15,1001790.0,20.003
60,90,31,31,18,48,4185,15,1093130.0,20.003
80,110,37,37,22,70,4163,15,1257030.0,20.003
100,130,43,43,26,96,4137,15,1371240.0,20.016
120,150,73,73,23,119,4114,15,2102640.0,20.004
140,170,132,129,85,204,4026,18,7908000.0,20.3
160,190,110,106,72,276,3951,21,8678690.0,20.277
180,210,98,94,64,340,3883,25,8458700.0,20.036
200,230,82,77,49,389,3829,30,8953590.0,20.225
220,250,71,71,44,433,3785,30,1976490.0,20.227
240,270,114,111,46,479,3739,30,10958360.0,20.149
260,290,181,172,108,587,3627,34,22685520.0,20.008
280,310,181,165,95,682,3518,48,29583960.0,20.009
300,330,172,163,105,787,3406,55,18917140.0,20.008
320,350,144,137,86,873,3314,61,15224220.0,20.008
340,370,122,119,82,955,3229,64,7815970.0,20.252
360,390,88,88,66,1021,3163,64,2729250.0,20.005
380,410,78,78,46,1067,3117,64,2655320.0,20.124
400,430,80,79,52,1119,3065,64,4096880.0,20.164
420,450,68,67,46,1165,3018,65,3860320.0,20.129
440,470,59,59,37,1202,2981,65,2018670.0,20.004
460,490,68,68,39,1241,2942,65,2355050.0,20.004
480,510,89,89,49,1290,2893,65,2812570.0,20.292
500,530,132,132,78,1368,2815,65,3428970.0,20.461
520,550,136,135,89,1457,2726,65,5142890.0,20.006
540,570,132,127,73,1530,2649,69,10835320.0,20.007
560,590,128,121,79,1609,2563,76,13607310.0,20.728
580,610,136,133,82,1691,2479,78,8497600.0,20.042
600,630,162,158,81,1772,2395,81,10427500.0,20.008
620,650,208,189,121,1893,2266,89,31101450.0,20.012
640,670,233,205,108,2001,2144,103,40615880.0,20.011
660,690,297,205,113,2114,2004,130,131646480.0,20.017
680,710,380,213,119,2233,1829,186,240172740.0,20.025
700,730,428,200,118,2351,1617,280,330338590.0,20.02
720,750,387,188,108,2459,1397,392,291938350.0,20.021
740,770,295,187,108,2567,1195,486,161950500.0,20.016
760,790,216,197,118,2685,1059,504,32141710.0,20.013
780,810,182,173,110,2795,941,512,16194240.0,20.011
800,830,173,168,100,2895,836,517,10084930.0,20.01
820,850,191,182,106,3001,723,524,16387300.0,20.009
840,870,171,156,100,3101,608,539,24807620.0,20.013
860,890,142,136,90,3191,512,545,12705370.0,20.088
880,910,109,105,67,3258,443,547,10828600.0,20.191
900,930,117,108,64,3322,370,556,18889130.0,20.516
920,950,113,105,68,3390,297,561,16251600.0,20.082
940,970,109,99,60,3450,233,565,19856690.0,20.311
960,990,100,93,65,3515,162,571,14806180.0,20.219
980,1010,82,78,45,3560,115,573,8919860.0,20.228
1000,1030,71,68,51,3611,62,575,6925040.0,20.23
1020,1050,41,40,30,3641,31,576,3136680.0,20.104
1040,1070,23,21,15,3656,14,578,3957400.0,20.073
1060,1090,14,14,12,3668,2,578,617450.0,20.004
1080,1110,2,2,2,3670,0,578,98330.0,20.002
1100,1130,0,0,0,3670,0,578,,0.0
1120,1150,0,0,0,3670,0,578,,0.0
