vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1093,44.99,572,1769.61,1608.89,160.72,459,31,31
1,2,2,1077,59.003,565,1730.81,1630.24,100.57,448,32,32
2,3,3,1121,37.544,559,1757.05,1579.74,177.31,504,29,29
3,4,4,1109,48.297,551,1731.91,1604.0,127.91,498,30,30
4,5,5,1105,29.69,561,1776.7,1663.09,113.61,478,33,33
5,6,6,1109,27.299,587,1811.93,1701.94,109.99,452,35,35
6,7,7,1125,42.062,598,1864.06,1751.87,112.19,459,34,34
7,8,8,1121,42.312,544,1704.55,1463.04,241.51,515,31,31
8,9,9,1074,89.435,527,1634.5,1439.46,195.04,491,28,28
9,10,10,1118,66.292,600,1801.99,1576.65,225.34,450,34,34
10,1,1,1117,46.304,518,1540.73,1405.31,135.42,537,31,31
11,2,2,1078,24.915,545,1628.88,1439.67,189.21,475,29,29
12,3,3,1123,71.07,592,1761.38,1615.85,145.53,457,37,37
13,4,4,1080,17.953,537,1643.47,1535.94,107.53,475,34,34
14,5,5,1102,61.052,557,1693.22,1453.47,239.75,479,33,33
15,6,6,1123,77.963,577,1701.29,1495.74,205.55,480,33,33
16,7,7,1102,72.944,529,1615.91,1475.31,140.6,509,32,32
17,8,8,1113,18.932,521,1608.51,1348.4,260.11,538,27,27
18,9,9,1100,27.728,541,1684.63,1457.62,227.01,501,29,29
19,10,10,1088,38.392,561,1704.69,1336.39,368.3,467,30,30
20,1,1,1108,15.171,592,1828.1,1680.71,147.39,446,35,35
21,2,2,1116,44.816,539,1624.17,1454.99,169.18,515,31,31
22,3,3,1098,57.006,570,1633.5,1356.36,277.14,466,31,31
23,4,4,1069,44.561,501,1525.22,1291.56,233.66,514,27,27
24,5,5,1125,38.427,582,1706.91,1469.45,237.46,477,33,33
25,6,6,1113,35.358,569,1649.87,1362.54,287.33,476,34,34
26,7,7,992,72.944,460,1342.21,1155.51,186.7,474,29,29
27,8,8,1079,22.316,514,1532.96,1234.85,298.11,509,28,28
28,9,9,1079,29.216,489,1498.04,1263.78,234.26,534,28,28
29,10,10,1090,30.721,531,1583.15,1260.98,322.17,491,34,34
30,1,1,1006,55.344,513,1512.91,1283.12,229.79,435,29,29
31,2,2,1108,32.985,539,1563.19,1347.47,215.72,507,31,31
32,3,3,972,53.714,487,1427.92,1139.97,287.95,433,26,26
33,4,4,1006,57.594,552,1632.65,1286.02,346.63,396,29,29
34,5,5,1030,40.756,488,1291.87,965.2,326.67,486,28,28
35,6,6,1012,38.274,469,1351.88,1080.14,271.74,493,25,25
36,7,7,1015,26.008,483,1444.72,1103.97,340.75,480,26,26
37,8,8,1135,61.005,495,1429.43,1111.55,317.88,580,30,30
38,9,9,1137,33.423,500,1484.59,1135.21,349.38,583,27,27
39,10,10,1003,31.486,539,1502.95,1054.54,448.41,406,29,29
40,1,1,1078,40.572,483,1380.59,1026.55,354.04,537,29,29
41,2,2,945,43.504,373,1039.46,737.43,302.03,530,21,21
42,3,3,1028,51.127,511,1484.79,1113.01,371.78,465,26,26
