horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,8,8,0,0,4265,18,368440.0,5.001
20,50,29,28,18,18,4247,18,3072170.0,5.031
40,70,30,27,17,35,4228,20,6278990.0,5.049
60,90,29,28,19,54,4208,21,3194980.0,5.077
80,110,31,25,14,68,4191,24,9098710.0,5.015
100,130,45,40,22,90,4165,28,8983220.0,5.106
120,150,77,53,16,106,4146,31,33570040.0,5.21
140,170,152,59,35,141,4089,53,131305390.0,5.007
160,190,191,54,26,167,4004,112,194705350.0,5.007
180,210,168,51,34,201,3900,182,168159330.0,5.008
200,230,118,50,22,223,3828,232,97206020.0,5.217
220,250,91,56,35,258,3776,249,51419290.0,5.242
240,270,145,58,15,273,3739,271,126966780.0,5.007
260,290,211,59,36,309,3664,310,229383620.0,5.009
280,310,239,53,29,338,3542,403,280588650.0,5.011
300,330,209,53,30,368,3446,469,234456240.0,5.009
320,350,189,52,27,395,3344,544,206720000.0,5.357
340,370,188,47,24,419,3269,595,217649980.0,5.066
360,390,172,46,28,447,3167,669,197392250.0,5.263
380,410,123,42,23,470,3098,715,128507440.0,5.037
400,430,89,41,27,497,3039,747,76736320.0,5.047
420,450,74,41,23,520,2998,765,52847060.0,5.088
440,470,83,48,23,543,2958,782,54718730.0,5.039
460,490,82,45,27,570,2911,802,59512090.0,5.164
480,510,88,48,21,591,2871,821,63718840.0,5.204
500,530,142,52,31,622,2822,839,136716110.0,5.005
520,550,172,49,25,647,2734,902,185364390.0,5.008
540,570,157,51,27,674,2650,959,159105720.0,5.062
560,590,165,58,31,705,2574,1004,160544750.0,5.008
580,610,158,50,30,735,2493,1055,163739850.0,5.137
600,630,192,53,25,760,2424,1099,209791930.0,5.246
620,650,254,55,34,794,2316,1173,301602520.0,5.01
640,670,276,47,24,818,2206,1259,341276560.0,5.011
660,690,347,56,29,847,2058,1378,428500300.0,5.014
680,710,430,59,34,881,1902,1500,544557600.0,5.017
700,730,479,54,30,911,1682,1690,633383620.0,5.024
720,750,438,53,32,943,1471,1869,573526220.0,5.017
740,770,350,48,23,966,1269,2048,447188940.0,5.017
760,790,274,57,26,992,1142,2149,318299980.0,5.011
780,810,259,57,30,1022,1021,2240,295970680.0,5.009
800,830,238,52,23,1045,901,2337,273324820.0,5.01
820,850,242,45,24,1069,799,2415,286721200.0,5.009
840,870,228,50,26,1095,684,2504,259283160.0,5.009
860,890,182,50,30,1125,572,2586,196062430.0,5.292
880,910,151,47,27,1152,503,2628,157428010.0,5.231
900,930,139,37,22,1174,434,2675,155841230.0,5.047
920,950,154,39,20,1194,372,2717,177589110.0,5.07
940,970,160,39,14,1208,314,2761,188662170.0,5.192
960,990,166,42,26,1234,229,2820,195684920.0,5.238
980,1010,127,38,15,1249,156,2878,144238690.0,5.048
1000,1030,96,43,23,1272,104,2907,87554410.0,5.152
1020,1050,67,30,19,1291,58,2934,59118360.0,5.088
1040,1070,44,30,19,1310,29,2944,23371680.0,5.025
1060,1090,29,22,13,1323,11,2949,12119800.0,5.018
1080,1110,11,6,6,1329,2,2952,8410310.0,5.005
1100,1130,2,0,0,1329,0,2954,3045300.0,5.0
1120,1150,0,0,0,1329,0,2954,,0.0
