vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
9,10,10,1104,43.174,31,30,535,1716.48,1646.59,69.89,503,33,33
19,10,10,1035,33.682,33,27,491,1482.94,1342.5,140.44,488,28,28
29,10,10,990,16.546,23,20,350,1075.86,982.95,92.91,592,24,24
39,10,10,968,31.578,25,20,298,800.79,668.41,132.38,624,23,23
49,10,10,987,43.174,25,19,316,885,719.42,165.58,629,21,21
59,10,10,1004,43.174,28,21,328,871.91,669.89,202.02,634,21,21
69,10,10,1113,21.649,40,32,495,1360.97,1220.73,140.24,550,34,34
79,10,10,1034,51.794,29,21,335,888.87,758.73,130.14,653,23,23
89,10,10,965,67.064,28,19,296,732.73,549.81,182.92,631,19,19
99,10,10,1061,58.694,32,23,347,866.4,706.06,160.34,662,26,26
109,10,10,998,67.064,21,14,229,586.91,431.02,155.89,739,15,15
119,10,10,1022,67.064,24,20,255,647.12,532.82,114.3,727,20,20
129,10,10,1054,40.924,30,23,325,765.46,615.92,149.54,677,26,26
139,10,10,1002,129.628,28,19,272,605.82,467.46,138.36,688,21,21
149,10,10,850,110.734,17,15,163,369.86,323.92,45.94,657,15,15
159,10,10,875,110.734,24,17,243,540.03,399.68,140.35,598,17,17
,,,1003.875,58.5423125,27.375,21.25,329.875,887.321875,752.244375,135.0775,628.25,22.875,22.875
,,,,,,340,,,,,,,
