horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,446140.0,100.037
20,50,23,23,16,16,4217,15,1073280.0,100.016
40,70,26,26,14,30,4203,15,1237930.0,100.005
60,90,31,31,18,48,4185,15,1341070.0,100.005
80,110,37,37,22,70,4163,15,1657740.0,100.014
100,130,43,42,25,95,4138,15,4009020.0,100.089
120,150,74,69,20,115,4114,19,9497720.0,100.108
140,170,132,121,77,192,4030,26,19615390.0,100.21
160,190,114,97,66,258,3952,38,28458100.0,100.262
180,210,99,87,61,319,3882,47,21115340.0,100.038
200,230,81,72,43,362,3832,54,16121940.0,100.038
220,250,74,67,40,402,3786,60,12626760.0,100.133
240,270,115,108,42,444,3741,63,18100610.0,100.302
260,290,183,159,97,541,3631,76,47008690.0,100.982
280,310,185,158,92,633,3517,98,48893040.0,100.317
300,330,171,152,97,730,3410,108,34644230.0,100.304
320,350,148,128,79,809,3316,123,34690250.0,100.305
340,370,124,113,77,886,3230,132,20369330.0,100.243
360,390,89,87,64,950,3164,134,6504230.0,100.059
380,410,79,79,47,997,3117,134,3245690.0,100.072
400,430,80,76,49,1046,3067,135,9279200.0,100.078
420,450,70,65,44,1090,3020,138,10629970.0,100.029
440,470,61,58,36,1126,2981,141,7191710.0,100.206
460,490,68,68,39,1165,2942,141,2788480.0,100.005
480,510,89,88,49,1214,2893,141,4618230.0,100.027
500,530,132,130,78,1292,2813,143,7323200.0,100.122
520,550,134,132,88,1380,2724,144,7300900.0,100.146
540,570,130,126,77,1457,2643,148,10279920.0,100.168
560,590,122,113,72,1529,2565,154,16913330.0,100.111
580,610,138,131,80,1609,2479,160,15743540.0,100.402
600,630,162,159,83,1692,2393,163,9821670.0,100.129
620,650,206,179,115,1807,2267,174,43580440.0,100.572
640,670,234,200,107,1914,2136,198,52415870.0,100.665
660,690,289,236,122,2036,1990,222,78439880.0,100.327
680,710,366,256,143,2179,1804,265,157186440.0,100.02
700,730,403,257,147,2326,1593,329,208338550.0,100.022
720,750,363,233,153,2479,1362,407,189823010.0,100.023
740,770,260,194,119,2598,1186,464,100659450.0,100.501
760,790,207,193,121,2719,1051,478,24780490.0,100.563
780,810,174,163,101,2820,940,488,18709190.0,100.145
800,830,172,157,90,2910,835,503,24572260.0,100.267
820,850,190,174,103,3013,718,517,26891470.0,101.295
840,870,166,144,94,3107,603,538,34920670.0,100.311
860,890,137,126,80,3187,513,548,19887460.0,100.385
880,910,110,96,59,3246,442,560,24286800.0,100.151
900,930,116,107,64,3310,370,568,19029940.0,100.154
920,950,113,102,69,3379,294,575,20585060.0,100.27
940,970,106,97,59,3438,230,580,18692560.0,100.131
960,990,97,90,64,3502,161,585,15036970.0,100.305
980,1010,81,75,42,3544,116,588,12449890.0,100.241
1000,1030,72,67,49,3593,63,592,10432390.0,100.05
1020,1050,42,38,30,3623,31,594,7658640.0,100.076
1040,1070,23,21,15,3638,14,596,3955490.0,100.075
1060,1090,14,14,11,3649,3,596,669870.0,100.039
1080,1110,3,3,3,3652,0,596,153250.0,100.02
1100,1130,0,0,0,3652,0,596,,0.0
1120,1150,0,0,0,3652,0,596,,0.0
