vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,1,1,813,40,33,30,3,233,580,640.63,603.39,37.24,506,3027503
1,2,2,812,31,23,20,3,159,653,429.92,391.02,38.9,597,2074825
2,3,3,754,21,18,15,3,137,617,409.07,338.36,70.71,579,1754291
3,4,4,805,35,28,23,5,231,574,703.53,618.63,84.9,510,2914709
4,5,5,826,25,20,19,1,164,662,488.74,464.81,23.93,612,2071548
5,6,6,747,17,15,12,3,118,629,369.73,310.19,59.54,597,1501726
6,7,7,810,20,18,16,2,152,658,468.63,414.33,54.3,618,1910096
7,8,8,762,15,14,13,1,118,644,359.34,298.93,60.41,614,1483322
8,9,9,807,18,10,9,1,112,695,378.04,316.0,62.04,663,1347384
9,10,10,809,23,18,17,1,138,671,414.44,378.7,35.74,625,1764678
10,1,1,763,15,13,12,1,120,643,376.39,353.0,23.39,613,1485692
11,2,2,805,19,17,14,3,104,701,270.64,239.33,31.31,663,1393116
12,3,3,806,15,11,10,1,86,720,242.11,218.18,23.93,692,1095726
13,4,4,821,12,11,9,2,85,736,212.44,191.38,21.06,712,1085339
14,5,5,743,13,8,8,0,69,674,196.72,196.72,0.0,650,863935
15,6,6,809,10,9,8,1,67,742,186.99,182.91,4.08,722,861565
16,7,7,810,7,8,6,2,72,738,202.73,160.88,41.85,724,895096
17,8,8,798,9,10,8,2,72,726,170.31,123.05,47.26,708,931904
18,9,9,768,15,14,11,3,127,641,389.71,313.97,75.74,613,1576805
19,10,10,731,7,6,6,0,56,675,187.18,187.18,0.0,661,692096
20,1,1,676,2,2,1,1,26,650,94.88,47.44,47.44,646,306870
21,2,2,783,7,7,6,1,53,730,142.35,105.35,37.0,716,679339
22,3,3,818,10,9,8,1,93,725,283.64,274.03,9.61,705,1131627
23,4,4,724,5,5,4,1,47,677,144.74,133.29,11.45,669,580209
24,5,5,765,12,11,9,2,109,656,340.79,283.34,57.45,632,1334627
25,6,6,681,4,4,3,1,34,647,106.97,71.23,35.74,639,426774
26,7,7,388,8,9,8,1,65,323,178.74,146.5,32.24,307,840791
27,8,8,822,15,14,12,2,118,704,346.38,276.36,70.02,674,1483322
28,9,9,745,8,8,6,2,73,672,233.21,160.97,72.24,656,905483
29,10,10,749,8,8,6,2,63,686,168.63,107.54,61.09,674,801613
30,1,1,804,8,7,7,0,43,761,115.14,115.14,0.0,745,575469
31,2,2,760,9,8,5,3,71,689,212.5,119.46,93.04,673,884709
32,3,3,764,9,8,7,1,88,676,278.2,254.27,23.93,658,1061288
33,4,4,819,11,12,10,2,83,736,241.5,218.6,22.9,714,1082969
34,5,5,719,9,9,7,2,65,654,180.08,130.43,49.65,636,840791
35,6,6,783,15,14,12,2,108,675,302.87,269.95,32.92,647,1379452
36,7,7,750,8,9,6,3,78,672,244.63,201.81,42.82,656,975822
37,8,8,722,4,5,4,1,59,663,199.07,151.28,47.79,655,704853
38,9,9,774,5,7,5,2,54,720,164.57,84.49,80.08,710,689726
39,10,10,745,11,10,8,2,82,663,246.09,202.37,43.72,643,1035774
40,1,1,764,3,4,2,2,42,722,136.72,75.95,60.77,716,509870
41,2,2,827,9,8,6,2,72,755,235.67,193.69,41.98,737,895096
42,3,3,718,4,3,2,1,34,684,111.97,57.05,54.92,676,408370
43,4,4,717,6,6,5,1,38,679,92.83,81.38,11.45,667,505130
44,5,5,583,4,2,2,0,16,567,47.86,47.86,0.0,559,203000
45,6,6,698,4,5,3,2,40,658,110.81,88.44,22.37,650,507500
46,7,7,824,13,11,10,1,89,735,249.56,239.36,10.2,709,1126887
47,8,8,809,12,9,8,1,77,732,245.21,210.04,35.17,708,965435
48,9,9,807,4,5,3,2,45,762,131.51,86.41,45.1,754,559435
49,10,10,630,4,3,2,1,33,597,112.37,78.85,33.52,589,397983
50,1,1,733,2,3,1,2,34,699,111.97,54.92,57.05,695,408370
51,2,2,783,13,12,11,1,83,700,200.89,190.69,10.2,674,1082969
52,3,3,684,4,5,4,1,31,653,87.84,63.91,23.93,645,414017
53,4,4,627,1,2,1,1,24,603,85.72,42.86,42.86,601,286096
54,5,5,785,12,11,9,2,93,692,255.82,236.01,19.81,668,1168435
55,6,6,821,5,7,6,1,57,764,171.91,149.85,22.06,754,720887
56,7,7,739,4,4,3,1,45,694,149.07,116.83,32.24,686,541031
57,8,8,724,7,6,4,2,54,670,156.16,98.76,57.4,656,671322
58,9,9,787,2,3,2,1,35,752,118.87,78.75,40.12,748,418757
59,10,10,716,5,6,4,2,48,668,140.48,96.76,43.72,658,609000
60,1,1,739,2,2,1,1,16,723,29.76,14.88,14.88,719,203000
61,2,2,808,5,8,5,3,69,739,215.05,149.81,65.24,729,863935
62,3,3,625,1,2,1,1,16,609,47.86,23.93,23.93,607,203000
63,4,4,670,2,2,1,1,30,640,110.94,55.47,55.47,636,348418
64,5,5,678,4,3,2,1,19,659,55.58,51.5,4.08,651,252565
65,6,6,729,3,4,2,2,28,701,69.69,47.32,22.37,695,364452
66,7,7,495,1,2,1,1,32,463,115.98,57.99,57.99,461,369192
67,8,8,801,8,8,6,2,78,723,255.6,184.99,70.61,707,957418
68,9,9,808,1,3,1,2,43,765,153.24,60.41,92.83,763,501853
69,10,10,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
