horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,3,3,0,0,1474,0,546678,600.015
20,50,7,7,4,4,1470,0,932811,600.021
40,70,11,11,7,11,1463,0,1775972,600.057
60,90,14,14,7,18,1456,0,1990266,600.091
80,110,21,21,13,31,1443,0,2881529,600.038
100,130,23,23,17,48,1426,0,2570826,600.11
120,150,29,29,10,58,1416,0,3030575,600.155
140,170,57,57,34,92,1382,0,5162221,600.06
160,190,62,62,37,129,1345,0,5948707,600.331
180,210,52,52,42,171,1303,0,5622175,600.258
200,230,30,29,18,189,1285,0,3010498,600.065
220,250,35,34,21,210,1263,1,3595117,600.086
240,270,49,48,17,227,1246,1,5745702,600.194
260,290,79,78,46,273,1199,2,9173474,600.32
280,310,86,85,42,315,1157,2,9023152,600.047
300,330,91,90,62,377,1094,3,9583055,600.2
320,350,67,67,45,422,1049,3,7358413,600.012
340,370,62,62,34,456,1015,3,7060116,600.115
360,390,50,49,37,493,978,3,6074361,600.042
380,410,26,26,18,511,960,3,3283696,600.019
400,430,24,24,15,526,945,3,3345111,600.021
420,450,25,25,15,541,930,3,3246888,600.007
440,470,22,22,15,556,915,3,2575566,600.014
460,490,23,23,15,571,900,3,3079789,600.006
480,510,44,44,20,591,880,3,4642169,600.091
500,530,64,64,43,634,837,3,6562447,600.006
520,550,50,50,34,668,803,3,5330432,600.009
540,570,58,58,30,698,773,3,6144246,600.038
560,590,64,64,43,741,730,3,6489738,600.231
580,610,55,55,40,781,690,3,5389828,600.221
600,630,65,65,34,815,656,3,6173388,600.013
620,650,82,82,50,865,606,3,8585688,600.252
640,670,93,93,56,921,550,3,9790375,600.183
660,690,121,121,59,980,491,3,11392284,600.379
680,710,165,165,88,1068,403,3,15411233,600.553
700,730,196,195,113,1181,290,3,18628914,600.027
720,750,148,147,106,1287,183,4,15698768,600.779
740,770,92,90,52,1339,129,6,9430614,600.204
760,790,86,85,49,1388,79,7,8769667,600.201
780,810,79,78,52,1440,27,7,9037027,600.233
800,816,27,23,23,1463,4,7,5051442,600.006
