horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,0,0,0,0,577,0,,0.0
20,50,3,3,1,1,576,0,577839.0,20.002
40,70,2,2,2,3,574,0,364452.0,20.003
60,90,1,1,0,3,574,0,140678.0,20.01
80,110,2,2,1,4,573,0,333291.0,20.003
100,130,2,2,2,6,571,0,333291.0,20.003
120,150,9,9,2,8,569,0,912944.0,20.028
140,170,22,22,12,20,557,0,2108151.0,20.014
160,190,25,25,17,37,540,0,2904117.0,20.005
180,210,17,17,15,52,525,0,2235721.0,20.089
200,230,10,10,6,58,519,0,1375619.0,20.028
220,250,9,9,4,62,515,0,1089523.0,20.064
240,270,20,18,7,69,508,0,2550274.0,20.054
260,290,40,37,20,89,487,1,4855577.0,20.037
280,310,43,40,24,113,460,4,5674749.0,20.175
300,330,38,37,25,138,435,4,4493783.0,20.196
320,350,32,31,20,158,414,5,4024376.0,20.161
340,370,23,23,14,172,400,5,2830501.0,20.057
360,390,16,16,12,184,388,5,2053495.0,20.123
380,410,17,17,9,193,379,5,2079916.0,20.044
400,430,23,23,12,205,367,5,2601987.0,20.119
420,450,21,21,15,220,352,5,2715337.0,20.026
440,470,11,11,10,230,342,5,1640941.0,20.043
460,490,8,8,5,235,337,5,1187746.0,20.022
480,510,15,15,6,241,331,5,1788173.0,20.06
500,530,28,28,18,259,313,5,3149572.0,20.088
520,550,25,25,15,274,298,5,2654829.0,20.164
540,570,24,24,17,291,281,5,2493377.0,20.141
560,590,22,22,12,303,269,5,2274343.0,20.106
580,610,34,34,20,323,249,5,4263702.0,20.015
600,630,38,36,23,346,226,5,4629518.0,20.141
620,650,37,33,21,367,203,7,5571746.0,20.215
640,670,46,43,24,391,176,10,6637523.0,20.256
660,690,48,47,28,419,148,10,6355782.0,20.146
680,710,50,47,29,448,117,12,6783007.0,20.105
700,730,51,47,28,476,86,15,7344112.0,20.173
720,750,39,33,23,499,60,18,6440344.0,20.175
740,770,31,24,13,512,40,25,5761006.0,20.17
760,790,32,28,16,528,21,28,4875963.0,20.121
780,810,21,16,11,539,6,32,3497759.0,20.102
800,816,6,1,1,540,5,32,1359101.0,20.084
