horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,0,0,0,0,577,0,,0.0
20,50,3,0,0,0,577,0,275350.0,20.004
40,70,3,0,0,0,577,0,287042.0,20.01
60,90,4,0,0,0,574,3,456406.0,20.007
80,110,2,0,0,0,573,4,197572.0,20.003
100,130,2,0,0,0,573,4,194821.0,20.008
120,150,11,4,0,0,571,6,1031667.0,20.049
140,170,24,15,10,10,558,9,2142299.0,20.078
160,190,26,10,9,19,548,10,2419683.0,20.017
180,210,25,7,6,25,534,18,2460670.0,20.006
200,230,19,0,0,25,525,27,2014371.0,20.005
220,250,15,4,2,27,516,34,1516302.0,20.003
240,270,21,8,4,31,511,35,1929773.0,20.065
260,290,43,24,12,43,495,39,3906045.0,20.085
280,310,51,19,13,56,471,50,4797547.0,20.068
300,330,49,18,13,69,447,61,4598179.0,20.114
320,350,44,15,10,79,423,75,4335255.0,20.126
340,370,32,10,8,87,406,84,3022256.0,20.008
360,390,22,4,4,91,396,90,2167405.0,20.032
380,410,25,4,0,91,386,100,2548094.0,20.017
400,430,30,10,6,97,374,106,2809252.0,20.097
420,450,28,9,7,104,361,112,2733656.0,20.016
440,470,20,1,1,105,350,122,2146044.0,20.005
460,490,16,0,0,105,342,130,1663847.0,20.006
480,510,20,8,1,106,336,135,1957475.0,20.053
500,530,33,19,12,118,319,140,3050379.0,20.05
520,550,31,17,10,128,304,145,2808308.0,20.114
540,570,30,15,11,139,287,151,2863185.0,20.095
560,590,28,16,10,149,270,158,2566897.0,20.031
580,610,35,14,9,158,260,159,3172801.0,20.121
600,630,49,22,13,171,236,170,4627219.0,20.069
620,650,47,19,14,185,210,182,4704778.0,20.03
640,670,53,24,14,199,188,190,5237493.0,20.068
660,690,60,23,16,215,159,203,6221589.0,20.165
680,710,61,21,15,230,129,218,6308530.0,20.094
700,730,63,22,13,243,100,234,6907944.0,20.061
720,750,53,13,10,253,71,253,5813556.0,20.108
740,770,42,14,6,259,49,269,4454994.0,20.115
760,790,41,19,11,270,28,279,4494653.0,20.011
780,810,28,10,9,279,9,289,2930010.0,20.021
800,816,9,1,1,280,5,292,1177068.0,20.006
