vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,2,2,820,41,21,18,3,197,623,657.41,574.7,82.71,571,2432723
1,3,3,810,37,22,17,5,176,634,555.58,425.01,130.57,584,2233000
2,5,5,793,33,19,15,4,151,642,476.92,397.41,79.51,594,1918113
3,7,7,826,15,9,8,1,92,734,313.51,281.27,32.24,716,1121240
4,9,9,810,15,13,9,4,119,691,380.98,247.15,133.83,667,1475305
5,2,2,747,19,11,10,1,87,660,263.64,236.07,27.57,636,1106113
6,3,3,742,21,14,11,3,112,630,371.42,292.35,79.07,596,1421000
7,5,5,791,23,14,11,3,125,666,415.66,336.59,79.07,632,1556031
8,7,7,805,14,8,6,2,68,737,208.06,151.89,56.17,719,853548
9,9,9,823,12,11,7,4,99,724,314.62,192.33,122.29,706,1230757
10,2,2,803,20,14,11,3,123,680,407.61,348.39,59.22,648,1535257
11,3,3,818,8,9,4,5,72,746,220.87,111.31,109.56,732,913500
12,5,5,708,19,12,10,2,110,598,352.14,304.28,47.86,564,1363418
13,7,7,825,10,11,6,5,98,727,300.65,197.96,102.69,713,1220370
14,9,9,745,7,7,4,3,71,674,242.85,129.31,113.54,660,866305
15,2,2,716,11,10,7,3,90,626,298.43,239.21,59.22,604,1118870
16,3,3,768,4,3,2,1,40,728,138.75,114.82,23.93,722,470692
17,5,5,748,15,11,7,4,83,665,261.58,178.43,83.15,641,1064565
18,7,7,786,11,9,5,4,72,714,220.87,130.57,90.3,696,913500
19,9,9,707,2,2,1,1,34,673,124.08,62.04,62.04,669,389966
20,2,2,778,10,7,5,2,89,689,319.07,241.26,77.81,669,1053271
21,3,3,737,5,7,4,3,51,686,165.86,110.28,55.58,676,658565
22,5,5,350,4,5,3,2,56,294,193.89,104.28,89.61,286,673692
23,7,7,723,7,6,3,3,43,680,125.59,59.22,66.37,672,557065
24,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
25,2,2,464,8,5,4,1,55,409,194.99,144.75,50.24,397,663305
26,3,3,323,2,2,1,1,30,293,105.56,52.78,52.78,289,348418
27,5,5,370,4,3,2,1,40,330,138.75,76.71,62.04,324,470692
28,7,7,577,2,3,1,2,25,552,69.5,23.93,45.57,548,314887
29,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
30,2,2,599,6,5,3,2,41,558,124.64,83.74,40.9,548,517887
31,3,3,540,2,2,1,1,30,510,105.56,52.78,52.78,508,348418
32,5,5,468,3,3,2,1,40,428,138.75,76.71,62.04,422,470692
33,7,7,630,2,3,1,2,24,606,70.01,27.57,42.44,604,304500
34,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
35,2,2,634,5,5,3,2,40,594,125.15,87.38,37.77,586,507500
36,3,3,528,1,2,1,1,16,512,47.86,23.93,23.93,510,203000
37,5,5,534,5,2,2,0,16,518,47.86,47.86,0.0,512,203000
38,7,7,644,3,3,1,2,25,619,69.5,23.93,45.57,615,314887
39,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
40,2,2,325,1,2,1,1,16,309,55.14,27.57,27.57,307,203000
41,3,3,583,4,2,1,1,16,567,47.86,23.93,23.93,563,203000
42,5,5,534,2,2,2,0,16,518,47.86,47.86,0.0,514,203000
43,7,7,633,1,2,1,1,20,613,64.48,32.24,32.24,611,244548
44,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
45,2,2,338,2,2,1,1,16,322,55.14,27.57,27.57,318,203000
46,3,3,542,2,3,1,2,19,523,55.58,27.57,28.01,519,252565
47,5,5,352,3,2,2,0,16,336,55.14,55.14,0.0,330,203000
48,7,7,668,3,3,1,2,34,634,106.23,52.78,53.45,632,408370
49,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
