vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,2,2,820,38,25,22,3,231,589,759.22,676.51,82.71,535,2859497
1,3,3,824,34,25,22,3,256,568,854.16,812.82,41.34,518,3119172
2,5,5,793,31,17,15,2,182,611,626.28,574.78,51.5,567,2203302
3,7,7,806,36,24,22,2,271,535,927.06,870.89,56.17,479,3256573
4,9,9,819,22,17,13,4,184,635,631.0,503.62,127.38,601,2224076
5,2,2,814,30,23,19,4,212,602,699.09,592.45,106.64,552,2625336
6,3,3,799,26,23,18,5,231,568,774.21,647.28,126.93,524,2822689
7,5,5,790,12,12,9,3,114,676,368.76,296.97,71.79,654,1404966
8,7,7,820,15,16,11,5,164,656,534.23,414.17,120.06,630,1997932
9,9,9,823,17,13,8,5,115,708,369.76,219.9,149.86,686,1433757
10,2,2,803,17,16,11,5,136,667,432.8,319.6,113.2,639,1707096
11,3,3,810,23,17,14,3,179,631,590.27,518.48,71.79,591,2172141
12,5,5,762,9,7,6,1,76,686,258.37,230.8,27.57,672,918240
13,7,7,825,6,10,5,5,80,745,237.42,121.0,116.42,733,1015000
14,9,9,773,9,11,7,4,112,661,369.85,232.38,137.47,645,1365788
15,2,2,750,20,15,12,3,129,621,407.72,328.65,79.07,589,1615983
16,3,3,768,13,11,9,2,145,623,504.39,456.53,47.86,599,1708559
17,5,5,760,13,9,9,0,102,658,340.03,340.03,0.0,636,1225110
18,7,7,741,5,6,3,3,52,689,167.48,83.74,83.74,681,650548
19,9,9,793,16,13,10,3,145,648,494.52,394.71,99.81,622,1745367
20,2,2,756,17,13,9,4,127,629,424.84,341.69,83.15,601,1558401
21,3,3,779,9,7,5,2,86,693,292.17,215.46,76.71,675,1022110
22,5,5,722,12,9,8,1,88,634,296.89,269.32,27.57,612,1079692
23,7,7,739,3,4,2,2,36,703,119.62,59.81,59.81,697,447548
24,9,9,752,10,7,6,1,90,662,317.97,255.93,62.04,644,1063658
25,2,2,344,5,4,3,1,32,312,110.28,82.71,27.57,304,406000
26,3,3,372,3,3,2,1,40,332,138.75,114.82,23.93,326,470692
27,5,5,779,15,8,7,1,75,704,249.47,245.39,4.08,684,926257
28,7,7,633,1,2,1,1,20,613,64.48,32.24,32.24,611,244548
29,9,9,687,1,2,1,1,34,653,124.08,62.04,62.04,651,389966
30,2,2,617,3,5,3,2,40,577,125.15,87.38,37.77,571,507500
31,3,3,562,4,4,3,1,32,530,95.72,71.79,23.93,522,406000
32,5,5,659,5,4,4,0,50,609,179.22,179.22,0.0,599,592966
33,7,7,610,1,3,1,2,24,586,70.01,27.57,42.44,584,304500
34,9,9,735,3,3,2,1,40,695,138.75,76.71,62.04,691,470692
35,2,2,628,4,5,3,2,40,588,125.15,87.38,37.77,580,507500
36,3,3,644,4,7,3,4,56,588,173.01,87.38,85.63,580,710500
37,5,5,690,5,3,3,0,40,650,138.75,138.75,0.0,642,470692
38,7,7,646,1,3,1,2,24,622,70.01,27.57,42.44,620,304500
39,9,9,713,2,2,1,1,34,679,124.08,62.04,62.04,675,389966
40,2,2,360,2,2,1,1,16,344,55.14,27.57,27.57,340,203000
41,3,3,378,5,4,3,1,32,346,103.0,79.07,23.93,336,406000
42,5,5,311,4,2,2,0,16,295,47.86,47.86,0.0,289,203000
43,7,7,636,3,3,1,2,24,612,70.01,27.57,42.44,608,304500
44,9,9,710,1,2,1,1,34,676,124.08,62.04,62.04,674,389966
45,2,2,718,2,3,2,1,39,679,139.85,112.28,27.57,675,460305
46,3,3,731,3,3,2,1,40,691,138.75,114.82,23.93,685,470692
47,5,5,744,6,3,3,0,40,704,138.75,138.75,0.0,696,470692
48,7,7,650,2,3,1,2,24,626,70.01,27.57,42.44,624,304500
49,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
50,2,2,386,1,2,1,1,16,370,55.14,27.57,27.57,368,203000
51,3,3,332,1,2,1,1,30,302,105.56,52.78,52.78,300,348418
52,5,5,556,2,2,2,0,16,540,47.86,47.86,0.0,536,203000
53,7,7,650,1,3,1,2,24,626,70.01,27.57,42.44,624,304500
54,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
55,2,2,400,2,2,1,1,16,384,55.14,27.57,27.57,380,203000
56,3,3,583,4,2,1,1,16,567,47.86,23.93,23.93,563,203000
57,5,5,403,2,2,2,0,16,387,55.14,55.14,0.0,383,203000
58,7,7,657,2,3,1,2,25,632,69.5,23.93,45.57,628,314887
59,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
60,2,2,402,1,2,1,1,16,386,55.14,27.57,27.57,384,203000
61,3,3,562,1,2,1,1,30,532,105.56,52.78,52.78,530,348418
62,5,5,420,3,2,2,0,16,404,55.14,55.14,0.0,400,203000
63,7,7,655,1,3,1,2,25,630,69.5,23.93,45.57,628,314887
64,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
65,2,2,442,1,2,1,1,16,426,55.14,27.57,27.57,424,203000
66,3,3,563,1,2,1,1,30,533,105.56,52.78,52.78,531,348418
67,5,5,449,4,2,2,0,16,433,55.14,55.14,0.0,427,203000
68,7,7,680,1,3,1,2,34,646,106.23,52.78,53.45,644,408370
69,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
70,2,2,450,2,2,1,1,16,434,55.14,27.57,27.57,430,203000
71,3,3,643,2,2,1,1,16,627,47.86,23.93,23.93,623,203000
72,5,5,580,5,2,2,0,16,564,47.86,47.86,0.0,556,203000
73,7,7,689,1,2,1,1,20,669,64.48,32.24,32.24,667,244548
74,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
75,2,2,451,2,2,1,1,16,435,55.14,27.57,27.57,431,203000
76,3,3,568,2,2,1,1,16,552,47.86,23.93,23.93,548,203000
77,5,5,567,3,2,2,0,16,551,47.86,47.86,0.0,545,203000
78,7,7,670,1,3,1,2,24,646,70.01,27.57,42.44,644,304500
79,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
80,2,2,467,1,2,1,1,16,451,55.14,27.57,27.57,449,203000
81,3,3,599,3,2,1,1,16,583,47.86,23.93,23.93,579,203000
82,5,5,662,2,3,2,1,24,638,70.01,59.81,10.2,634,304500
83,7,7,698,4,3,1,2,24,674,70.01,27.57,42.44,670,304500
84,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
85,2,2,462,1,2,1,1,16,446,55.14,27.57,27.57,444,203000
86,3,3,599,4,3,1,2,19,580,55.58,27.57,28.01,576,252565
87,5,5,585,5,2,2,0,16,569,47.86,47.86,0.0,563,203000
88,7,7,686,2,3,1,2,24,662,70.01,27.57,42.44,658,304500
89,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
90,2,2,467,1,2,1,1,28,439,100.48,50.24,50.24,437,327644
91,3,3,576,1,2,1,1,30,546,105.56,52.78,52.78,544,348418
92,5,5,459,2,2,2,0,16,443,55.14,55.14,0.0,439,203000
93,7,7,703,2,3,1,2,34,669,106.23,52.78,53.45,667,408370
94,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
95,2,2,481,1,2,1,1,16,465,55.14,27.57,27.57,463,203000
96,3,3,595,2,2,1,1,30,565,105.56,52.78,52.78,561,348418
97,5,5,672,3,3,2,1,25,647,69.5,56.17,13.33,641,314887
98,7,7,685,1,3,1,2,24,661,70.01,27.57,42.44,659,304500
99,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
100,2,2,529,3,2,1,1,16,513,55.14,27.57,27.57,509,203000
101,3,3,631,1,2,1,1,30,601,105.56,52.78,52.78,599,348418
102,5,5,679,2,2,2,0,20,659,64.48,64.48,0.0,655,244548
103,7,7,693,1,3,1,2,34,659,106.23,52.78,53.45,657,408370
104,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
105,2,2,555,2,2,1,1,16,539,55.14,27.57,27.57,535,203000
106,3,3,608,2,2,1,1,16,592,47.86,23.93,23.93,588,203000
107,5,5,577,3,3,2,1,19,558,55.58,51.5,4.08,552,252565
108,7,7,690,1,3,1,2,24,666,70.01,27.57,42.44,664,304500
109,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
110,2,2,551,2,2,1,1,16,535,55.14,27.57,27.57,531,203000
111,3,3,614,2,2,1,1,16,598,47.86,23.93,23.93,594,203000
112,5,5,611,3,2,2,0,16,595,47.86,47.86,0.0,589,203000
113,7,7,700,2,3,1,2,25,675,69.5,23.93,45.57,671,314887
114,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
115,2,2,554,1,2,1,1,16,538,55.14,27.57,27.57,536,203000
116,3,3,619,1,2,1,1,16,603,47.86,23.93,23.93,601,203000
117,5,5,618,2,2,2,0,16,602,47.86,47.86,0.0,598,203000
118,7,7,704,2,3,1,2,24,680,70.01,27.57,42.44,676,304500
119,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
120,2,2,588,2,2,1,1,16,572,55.14,27.57,27.57,570,203000
121,3,3,605,1,3,1,2,19,586,55.58,27.57,28.01,584,252565
122,5,5,700,2,3,2,1,24,676,70.01,59.81,10.2,672,304500
123,7,7,704,3,3,1,2,24,680,70.01,27.57,42.44,678,304500
124,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
125,2,2,580,2,2,1,1,16,564,55.14,27.57,27.57,560,203000
126,3,3,621,1,2,1,1,30,591,105.56,52.78,52.78,589,348418
127,5,5,694,4,3,2,1,25,669,69.5,56.17,13.33,661,314887
128,7,7,719,1,2,1,1,20,699,64.48,32.24,32.24,697,244548
