horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,0,0,0,0,577,0,,0.0
20,50,3,3,1,1,576,0,577839.0,20.003
40,70,2,2,2,3,574,0,364452.0,20.006
60,90,1,1,0,3,574,0,140678.0,20.006
80,110,2,2,1,4,573,0,333291.0,20.003
100,130,2,2,2,6,571,0,333291.0,20.029
120,150,9,9,2,8,569,0,912944.0,20.004
140,170,22,22,12,20,557,0,2108151.0,20.006
160,190,25,25,17,37,540,0,2904117.0,20.108
180,210,17,17,15,52,525,0,2235721.0,20.003
200,230,10,10,6,58,519,0,1375619.0,20.024
220,250,9,9,4,62,515,0,1089523.0,20.053
240,270,20,20,7,69,508,0,2470789.0,20.021
260,290,40,39,21,90,487,0,4733234.0,20.105
280,310,43,41,25,115,460,2,5593256.0,20.164
300,330,38,38,26,141,434,2,4483643.0,20.008
320,350,31,31,20,161,414,2,3852055.0,20.01
340,370,23,23,14,175,400,2,2778566.0,20.06
360,390,16,16,12,187,388,2,2001560.0,20.006
380,410,17,17,9,196,379,2,2079916.0,20.101
400,430,23,23,12,208,367,2,2601987.0,20.041
420,450,21,21,15,223,352,2,2715337.0,20.059
440,470,11,11,10,233,342,2,1640941.0,20.021
460,490,8,8,5,238,337,2,1187746.0,20.06
480,510,15,15,6,244,331,2,1788173.0,20.065
500,530,28,28,18,262,313,2,3149572.0,20.007
520,550,25,25,15,277,298,2,2654829.0,20.006
540,570,24,24,17,294,281,2,2462216.0,20.099
560,590,22,22,12,306,269,2,2243182.0,20.029
580,610,34,34,20,326,249,2,4170219.0,20.006
600,630,38,36,23,349,226,2,4575586.0,20.051
620,650,37,36,24,373,201,3,5708032.0,20.071
640,670,44,43,24,397,177,3,5709525.0,20.22
660,690,49,47,28,425,148,4,6777382.0,20.228
680,710,50,47,29,454,117,6,6841883.0,20.139
700,730,51,49,31,485,84,8,7410371.0,20.115
720,750,37,36,29,514,54,9,5826937.0,20.03
740,770,25,24,14,528,39,10,3590553.0,20.065
760,790,31,29,17,545,20,12,4444161.0,20.036
780,810,20,16,10,555,7,15,3468930.0,20.117
800,816,7,0,0,555,6,16,2476508.0,20.004
