revenue,num_vehicles,total_penalty,total_objectives,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds,output_directory,is_best_penalty,is_best_total_objectives
170000,50,16705596,91982813,541,36,577,801.238,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\VP_축소\Rolling_Horizon_구간_30\d5000\Penalty_Per_Vehicles\Time_Solver_20\Original\170000\vehicles_50,False,False
170000,60,19223079,94348324,531,46,577,801.553,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\VP_축소\Rolling_Horizon_구간_30\d5000\Penalty_Per_Vehicles\Time_Solver_20\Original\170000\vehicles_60,False,False
170000,70,15648755,90095568,539,38,577,801.791,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\VP_축소\Rolling_Horizon_구간_30\d5000\Penalty_Per_Vehicles\Time_Solver_20\Original\170000\vehicles_70,False,False
170000,80,15640232,90230093,542,35,577,801.864,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\VP_축소\Rolling_Horizon_구간_30\d5000\Penalty_Per_Vehicles\Time_Solver_20\Original\170000\vehicles_80,False,False
170000,90,17114012,90915017,539,38,577,801.723,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\VP_축소\Rolling_Horizon_구간_30\d5000\Penalty_Per_Vehicles\Time_Solver_20\Original\170000\vehicles_90,False,False
170000,100,15664925,89202978,540,37,577,802.877,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\VP_축소\Rolling_Horizon_구간_30\d5000\Penalty_Per_Vehicles\Time_Solver_20\Original\170000\vehicles_100,False,False
170000,110,14632805,87767228,545,32,577,801.567,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\VP_축소\Rolling_Horizon_구간_30\d5000\Penalty_Per_Vehicles\Time_Solver_20\Original\170000\vehicles_110,False,False
170000,120,11448690,86056048,551,26,577,801.87,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\VP_축소\Rolling_Horizon_구간_30\d5000\Penalty_Per_Vehicles\Time_Solver_20\Original\170000\vehicles_120,False,False
170000,130,11770435,85609711,549,28,577,803.354,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\VP_축소\Rolling_Horizon_구간_30\d5000\Penalty_Per_Vehicles\Time_Solver_20\Original\170000\vehicles_130,False,False
170000,140,9283712,84905163,556,21,577,802.438,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\VP_축소\Rolling_Horizon_구간_30\d5000\Penalty_Per_Vehicles\Time_Solver_20\Original\170000\vehicles_140,False,False
170000,150,8967042,83185897,557,20,577,802.42,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\VP_축소\Rolling_Horizon_구간_30\d5000\Penalty_Per_Vehicles\Time_Solver_20\Original\170000\vehicles_150,True,True
