vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,2,2,802,40,22,20,2,226,576,756.18,704.68,51.5,512,2752350
1,3,3,810,34,23,21,2,241,569,804.95,757.09,47.86,511,2926559
2,5,5,818,43,20,18,2,198,620,653.87,602.37,51.5,550,2424706
3,7,7,836,41,24,20,4,224,612,728.7,632.57,96.13,558,2768384
4,9,9,830,33,22,19,3,231,599,771.84,678.15,93.69,541,2804285
5,2,2,824,31,17,14,3,166,658,530.33,460.32,70.01,612,2037110
6,3,3,803,26,16,12,4,128,675,397.44,298.08,99.36,629,1624000
7,5,5,818,19,15,11,4,127,691,404.47,305.11,99.36,661,1595209
8,7,7,811,17,13,9,4,103,708,326.06,218.39,107.67,676,1309113
9,9,9,819,14,13,9,4,130,689,405.85,263.71,142.14,661,1589562
10,2,2,812,25,16,12,4,135,677,422.41,334.59,87.82,637,1696709
11,3,3,824,20,13,11,2,145,679,486.5,438.64,47.86,645,1745367
12,5,5,816,15,11,8,3,88,728,283.29,200.58,82.71,706,1116500
13,7,7,810,11,7,5,2,74,736,229.89,184.32,45.57,720,897466
14,9,9,778,11,10,9,1,105,673,355.03,327.46,27.57,651,1274675
15,2,2,814,13,11,6,5,99,715,321.9,202.87,119.03,693,1230757
16,3,3,386,6,5,4,1,70,316,244.31,191.53,52.78,304,819110
17,5,5,814,14,8,7,1,91,723,315.22,287.65,27.57,701,1092449
18,7,7,755,5,5,4,1,39,716,120.06,87.82,32.24,708,497113
19,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
20,2,2,756,8,6,4,2,48,708,158.14,103.0,55.14,692,609000
21,3,3,234,2,2,1,1,30,204,105.56,52.78,52.78,200,348418
22,5,5,425,10,4,3,1,50,375,171.94,109.9,62.04,361,592966
23,7,7,744,5,4,2,2,36,708,119.62,59.81,59.81,698,447548
24,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
25,2,2,348,2,4,2,2,44,304,150.17,72.36,77.81,300,530644
26,3,3,778,7,6,4,2,48,730,150.86,103.0,47.86,716,609000
27,5,5,362,2,4,2,2,50,312,179.22,89.61,89.61,308,592966
28,7,7,764,4,6,3,3,43,721,125.59,55.58,70.01,713,557065
29,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
30,2,2,778,7,4,3,1,32,746,110.28,82.71,27.57,736,406000
31,3,3,779,8,6,4,2,64,715,208.76,145.78,62.98,699,775192
32,5,5,314,6,4,3,1,50,264,171.94,109.9,62.04,256,592966
33,7,7,772,3,5,2,3,41,731,124.64,51.5,73.14,725,517887
34,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
35,2,2,380,4,2,1,1,16,364,55.14,27.57,27.57,358,203000
36,3,3,364,2,3,2,1,32,332,107.1,54.32,52.78,328,387596
37,5,5,384,4,4,3,1,50,334,171.94,109.9,62.04,328,592966
38,7,7,699,2,3,1,2,24,675,70.01,27.57,42.44,671,304500
39,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
