horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,0,0,0,0,577,0,,0.0
20,50,3,2,0,0,577,0,396184.0,20.007
40,70,3,3,3,3,574,0,338938.0,20.004
60,90,1,1,0,3,574,0,140678.0,20.003
80,110,2,1,1,4,573,0,316578.0,20.003
100,130,2,1,1,5,572,0,321297.0,20.003
120,150,10,9,2,7,570,0,942478.0,20.019
140,170,23,22,10,17,559,1,1966756.0,20.176
160,190,27,27,15,32,544,1,2562253.0,20.007
180,210,21,20,18,50,526,1,2183993.0,20.045
200,230,11,7,4,54,521,2,1417891.0,20.056
220,250,11,6,2,56,518,3,1506602.0,20.059
240,270,23,21,8,64,508,5,2790223.0,20.059
260,290,40,38,14,78,494,5,3501888.0,20.323
280,310,50,45,23,101,469,7,4870628.0,20.113
300,330,47,44,25,126,443,8,4582175.0,20.476
320,350,40,40,27,153,416,8,3341980.0,20.239
340,370,25,25,15,168,401,8,2478250.0,20.006
360,390,17,17,12,180,389,8,1747532.0,20.005
380,410,18,17,6,186,383,8,1852660.0,20.037
400,430,27,26,11,197,372,8,2495542.0,20.306
420,450,26,26,19,216,353,8,2618928.0,20.007
440,470,12,10,8,224,345,8,1384950.0,20.005
460,490,11,9,5,229,339,9,1494010.0,20.047
480,510,17,16,6,235,332,10,1721646.0,20.007
500,530,29,28,13,248,319,10,2930766.0,20.059
520,550,31,30,16,264,303,10,3313418.0,20.248
540,570,29,26,16,280,285,12,3597895.0,20.153
560,590,26,21,7,287,277,13,3315897.0,20.09
580,610,42,39,19,306,255,16,4914402.0,20.383
600,630,44,39,20,326,233,18,4845360.0,20.347
620,650,44,41,24,350,207,20,4899131.0,20.368
640,670,50,43,19,369,187,21,5908858.0,20.116
660,690,59,55,30,399,153,25,6687003.0,20.307
680,710,55,47,21,420,130,27,6792468.0,20.143
700,730,64,55,26,446,101,30,8020032.0,20.137
720,750,54,49,32,478,64,35,6931588.0,20.28
740,770,35,30,14,492,48,37,4630949.0,20.043
760,790,40,36,16,508,28,41,4738434.0,20.147
780,810,28,24,21,529,6,42,3161398.0,20.143
800,816,6,0,0,529,6,42,1315060.0,20.005
