horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,0,0,0,0,577,0,,0.0
20,50,3,2,0,0,577,0,416184.0,300.029
40,70,3,3,3,3,574,0,338938.0,300.017
60,90,1,1,0,3,574,0,140678.0,300.003
80,110,2,2,1,4,573,0,333291.0,300.004
100,130,2,2,2,6,571,0,333291.0,300.004
120,150,9,9,2,8,569,0,757139.0,300.017
140,170,22,22,10,18,559,0,1734219.0,300.005
160,190,27,27,15,33,544,0,2281804.0,300.062
180,210,21,21,16,49,528,0,1884377.0,300.039
200,230,13,13,8,57,520,0,1361399.0,300.02
220,250,10,9,5,62,515,0,1067796.0,300.03
240,270,20,19,6,68,509,0,2046759.0,300.014
260,290,41,41,18,86,491,0,3524206.0,300.005
280,310,47,47,30,116,461,0,3838537.0,300.006
300,330,39,36,15,131,445,1,3824213.0,300.16
320,350,42,41,25,156,420,1,3629051.0,300.076
340,370,29,27,18,174,401,2,2883804.0,300.086
360,390,17,16,11,185,390,2,1740550.0,300.008
380,410,19,17,7,192,382,3,2118070.0,300.118
400,430,26,25,13,205,369,3,2374864.0,300.004
420,450,23,23,16,221,353,3,1885284.0,300.043
440,470,12,11,10,231,343,3,1339515.0,300.037
460,490,9,8,4,235,339,3,1037520.0,300.035
480,510,17,16,6,241,332,4,1620573.0,300.013
500,530,29,29,18,259,314,4,2210002.0,300.003
520,550,26,26,15,274,299,4,1964547.0,300.005
540,570,25,25,16,290,283,4,1865417.0,300.003
560,590,24,24,13,303,270,4,1942866.0,300.011
580,610,35,35,18,321,252,4,2887878.0,300.104
600,630,41,39,22,343,230,4,3536049.0,300.008
620,650,41,39,22,365,207,5,4176175.0,300.132
640,670,50,49,29,394,178,5,5062207.0,300.238
660,690,50,50,29,423,149,5,4520246.0,300.04
680,710,51,49,27,450,122,5,5044617.0,300.198
700,730,56,54,26,476,96,5,5711554.0,300.175
720,750,49,48,33,509,62,6,5362839.0,300.242
740,770,33,30,13,522,47,8,4799304.0,300.067
760,790,39,36,18,540,26,11,4501545.0,300.003
780,810,26,22,19,559,6,12,3020422.0,300.012
800,816,6,0,0,559,6,12,1247814.0,300.003
