vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,1,1,813,31,28,25,3,216,597,648.48,579.64,68.84,539,2758904
1,2,2,818,27,33,25,8,250,568,755.23,602.44,152.79,516,3204082
2,3,3,818,33,27,25,2,231,587,666.28,634.61,31.67,527,2896305
3,4,4,815,26,27,24,3,242,573,738.97,701.38,37.59,523,3010562
4,5,5,793,25,29,25,4,251,542,781.52,737.21,44.31,492,3140853
5,6,6,819,19,23,18,5,184,635,587.8,484.12,103.68,597,2334500
6,7,7,810,25,26,21,5,193,617,573.43,478.9,94.53,571,2483195
7,8,8,765,20,21,17,4,202,563,653.94,535.98,117.96,525,2484658
8,9,9,752,16,17,15,2,194,558,680.31,594.88,85.43,528,2327946
9,10,10,815,16,17,14,3,162,653,529.07,417.24,111.83,623,1995562
10,1,1,825,25,24,23,1,208,617,658.72,649.11,9.61,569,2602192
11,2,2,783,24,18,17,1,182,601,572.25,568.17,4.08,557,2221706
12,3,3,814,14,15,13,2,164,650,548.46,502.18,46.28,622,1979528
13,4,4,742,15,16,14,2,159,583,512.07,496.54,15.53,553,1945997
14,5,5,741,13,14,11,3,110,631,303.83,247.35,56.48,605,1400226
15,6,6,818,14,14,12,2,134,684,442.03,377.54,64.49,656,1649514
16,7,7,772,16,14,13,1,117,655,360.18,327.94,32.24,623,1472935
17,8,8,814,11,12,10,2,140,674,485.13,419.74,65.39,652,1675028
18,9,9,831,13,13,12,1,135,696,460.34,385.55,74.79,670,1641497
19,10,10,806,13,15,12,3,109,697,313.88,263.68,50.2,671,1408243
20,1,1,799,8,10,8,2,68,731,140.18,115.69,24.49,715,890356
21,2,2,818,11,11,10,1,96,722,295.0,278.87,16.13,700,1199596
22,3,3,731,11,11,10,1,135,596,464.29,440.36,23.93,576,1604689
23,4,4,799,10,9,8,1,84,715,255.15,242.55,12.6,695,1038144
24,5,5,821,10,11,9,2,97,724,278.29,223.15,55.14,704,1209983
25,6,6,726,5,5,4,1,44,682,136.3,123.54,12.76,672,549048
26,7,7,527,4,4,3,1,31,496,97.37,65.13,32.24,490,395613
27,8,8,634,6,7,5,2,75,559,243.03,185.63,57.4,547,907853
28,9,9,553,4,6,4,2,61,492,206.25,126.17,80.08,484,744031
29,10,10,684,8,10,8,2,87,597,287.06,230.15,56.91,581,1087709
30,1,1,814,6,7,5,2,67,747,175.07,150.58,24.49,737,824757
31,2,2,776,8,10,8,2,115,661,383.74,314.63,69.11,645,1378545
32,3,3,809,7,8,6,2,63,746,180.04,137.45,42.59,734,801613
33,4,4,561,2,3,2,1,21,540,47.98,36.53,11.45,536,273339
34,5,5,788,11,11,9,2,117,671,394.38,344.1,50.28,649,1417723
35,6,6,651,2,4,2,2,28,623,69.69,47.32,22.37,619,364452
36,7,7,570,5,6,5,1,74,496,253.71,221.47,32.24,486,879062
37,8,8,819,11,10,9,1,100,719,312.37,277.2,35.17,697,1222740
38,9,9,749,4,3,2,1,41,708,134.64,72.6,62.04,702,481079
39,10,10,736,5,4,3,1,52,684,180.12,146.6,33.52,676,613740
40,1,1,819,4,5,4,1,30,789,60.03,55.95,4.08,781,403630
41,2,2,787,8,10,8,2,83,704,243.33,194.88,48.45,688,1046161
42,3,3,762,5,6,5,1,55,707,159.33,146.0,13.33,697,681709
43,4,4,706,3,6,3,3,41,665,96.58,63.48,33.1,659,536291
44,5,5,699,6,5,4,1,55,644,172.06,160.61,11.45,634,663305
45,6,6,798,6,7,5,2,67,731,203.35,165.39,37.96,719,824757
46,7,7,459,4,5,4,1,43,416,129.6,97.36,32.24,408,538661
47,8,8,478,4,4,3,1,42,436,141.0,93.21,47.79,428,509870
48,9,9,753,2,2,1,1,30,723,110.94,55.47,55.47,719,348418
49,10,10,744,5,5,5,0,67,677,230.69,230.69,0.0,667,787949
50,1,1,824,6,8,6,2,56,768,139.72,121.13,18.59,756,728904
51,2,2,762,8,9,7,2,99,663,317.5,248.39,69.11,647,1193949
52,3,3,792,5,4,3,1,45,747,144.86,131.53,13.33,737,541031
53,4,4,714,3,5,3,2,52,662,161.65,138.75,22.9,656,632144
54,5,5,728,5,6,4,2,67,661,213.43,168.46,44.97,651,806353
55,6,6,746,7,6,4,2,39,707,85.75,68.01,17.74,693,515517
56,7,7,774,2,3,2,1,47,727,168.0,110.01,57.99,723,543401
57,8,8,721,6,7,5,2,71,650,232.98,171.86,61.12,638,866305
58,9,9,820,1,3,1,2,34,786,116.81,41.05,75.76,784,408370
59,10,10,784,3,6,3,3,66,718,223.43,165.57,57.86,712,795966
60,1,1,711,2,2,1,1,16,695,29.76,14.88,14.88,691,203000
61,2,2,801,7,8,6,2,70,731,217.2,202.02,15.18,717,874322
62,3,3,774,3,5,3,2,54,720,165.23,120.8,44.43,714,652918
63,4,4,672,2,4,2,2,27,645,70.65,49.0,21.65,641,354065
64,5,5,789,3,5,3,2,53,736,167.92,137.12,30.8,730,642531
65,6,6,737,3,5,3,2,45,692,153.35,94.22,59.13,686,559435
66,7,7,684,3,5,3,2,38,646,112.87,70.43,42.44,640,486726
67,8,8,812,4,6,4,2,78,734,278.61,192.05,86.56,726,920610
68,9,9,809,1,3,1,2,43,766,153.24,60.41,92.83,764,501853
69,10,10,593,2,3,2,1,33,560,112.37,78.85,33.52,556,397983
70,1,1,786,7,6,4,2,45,741,112.99,87.91,25.08,727,577839
71,2,2,708,5,4,3,1,45,663,147.55,89.89,57.66,653,541031
72,3,3,196,1,2,1,1,30,166,105.56,52.78,52.78,164,348418
73,4,4,728,4,5,4,1,47,681,133.72,122.27,11.45,673,580209
74,5,5,774,6,6,5,1,45,729,130.55,117.79,12.76,717,577839
75,6,6,687,2,4,2,2,28,659,69.69,47.32,22.37,655,364452
76,7,7,745,2,5,2,3,52,693,167.54,90.7,76.84,689,632144
77,8,8,697,6,6,5,1,54,643,169.99,151.95,18.04,631,671322
78,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
79,10,10,365,1,2,1,1,38,327,139.78,69.89,69.89,325,431514
80,1,1,704,1,2,1,1,26,678,94.88,47.44,47.44,676,306870
81,2,2,696,2,4,2,2,29,667,74.72,37.54,37.18,663,374839
82,3,3,721,3,5,3,2,49,672,147.25,84.27,62.98,666,600983
83,4,4,760,2,4,2,2,44,716,136.14,68.07,68.07,712,530644
84,5,5,702,3,4,3,1,62,640,222.16,160.12,62.04,634,717610
85,6,6,745,5,4,4,0,32,713,85.18,85.18,0.0,703,406000
86,7,7,733,2,3,1,2,38,695,126.24,54.92,71.32,691,449918
87,8,8,733,3,5,3,2,52,681,168.58,97.97,70.61,675,632144
88,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
89,10,10,606,3,3,2,1,33,573,112.37,78.85,33.52,569,397983
90,1,1,790,3,3,2,1,23,767,56.06,41.18,14.88,761,294113
91,2,2,305,1,2,1,1,28,277,100.48,50.24,50.24,275,327644
92,3,3,729,3,3,2,1,37,692,120.85,68.07,52.78,686,439531
93,4,4,667,2,2,1,1,30,637,110.94,55.47,55.47,633,348418
94,5,5,699,3,4,3,1,48,651,160.94,98.9,62.04,645,572192
95,6,6,711,2,3,2,1,43,668,155.9,81.11,74.79,664,501853
96,7,7,736,2,3,1,2,24,712,70.01,27.57,42.44,708,304500
97,8,8,693,3,5,3,2,41,652,123.66,96.01,27.65,646,517887
98,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
99,10,10,667,2,2,2,0,24,643,85.72,85.72,0.0,639,286096
100,1,1,802,6,5,4,1,40,762,115.12,91.73,23.39,750,507500
101,2,2,574,1,2,1,1,16,558,55.14,27.57,27.57,556,203000
102,3,3,311,1,2,1,1,30,281,105.56,52.78,52.78,279,348418
103,4,4,692,1,2,1,1,30,662,110.94,55.47,55.47,660,348418
104,5,5,721,5,5,4,1,41,680,117.36,104.03,13.33,670,517887
105,6,6,752,4,4,2,2,45,707,147.47,98.4,49.07,699,541031
106,7,7,738,1,3,1,2,29,709,89.79,32.98,56.81,707,356435
107,8,8,745,4,5,3,2,68,677,235.31,158.81,76.5,669,798336
108,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
109,10,10,419,1,2,1,1,38,381,139.78,69.89,69.89,379,431514
