revenue,num_vehicles,total_penalty,total_objectives,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds,output_directory,is_best_penalty,is_best_total_objectives
90000,50,36256131,97053168,547,195,742,822.113,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\90000\vehicles_50,False,False
90000,55,36029494,98263565,548,194,742,823.026,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\90000\vehicles_55,False,False
90000,60,34864864,96839816,554,188,742,822.665,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\90000\vehicles_60,False,False
90000,65,34157852,96362781,558,184,742,823.178,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\90000\vehicles_65,False,False
90000,70,33367184,96817997,562,180,742,822.796,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\90000\vehicles_70,False,False
90000,75,32215691,95809552,568,174,742,822.737,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\90000\vehicles_75,False,False
90000,80,30901614,95494441,575,167,742,823.126,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\90000\vehicles_80,False,False
90000,85,29538261,95341071,582,160,742,823.35,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\90000\vehicles_85,False,False
90000,90,29163571,95587231,584,158,742,823.359,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\90000\vehicles_90,False,False
90000,95,28804830,95035877,586,156,742,823.057,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\90000\vehicles_95,False,False
90000,100,28225599,95322951,589,153,742,823.686,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\90000\vehicles_100,False,False
90000,105,27463888,95135802,593,149,742,823.448,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\90000\vehicles_105,False,False
90000,110,26714473,93642356,597,145,742,823.544,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\90000\vehicles_110,False,False
90000,115,26897210,94179158,596,146,742,823.648,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\90000\vehicles_115,False,False
90000,120,26135557,93979310,600,142,742,823.956,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\90000\vehicles_120,False,False
90000,125,25766207,93508460,602,140,742,823.427,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\90000\vehicles_125,False,False
90000,130,25397639,93163036,604,138,742,823.71,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\90000\vehicles_130,False,False
90000,135,24637763,93248691,608,134,742,823.353,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\90000\vehicles_135,False,False
90000,140,25025819,93784535,606,136,742,823.011,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\90000\vehicles_140,False,False
90000,145,24817497,93136682,607,135,742,824.61,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\90000\vehicles_145,False,True
90000,150,24628428,93603808,608,134,742,823.769,C:\Users\c\Desktop\대학생활\학연생\새로운_경로방식\PDPTW_Rolling_Horizon\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\90000\vehicles_150,True,False
