vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,847,42.427,24,23,417,1532.75,1475.03,57.72,374,28,28
1,2,2,819,63.454,26,24,362,1283.1,1256.06,27.04,403,27,27
2,3,3,829,30.322,30,26,370,1282.53,1151.32,131.21,403,28,28
3,4,4,824,64.693,26,24,363,1299.94,1238.2,61.74,397,32,32
4,5,5,828,55.834,26,22,369,1296.1,1162.02,134.08,405,27,27
5,6,6,824,25.616,30,24,372,1290.18,1167.43,122.75,394,29,29
6,7,7,817,61.766,26,24,377,1358.51,1319.04,39.47,378,31,31
7,8,8,823,95.036,22,20,331,1204.44,1160.18,44.26,446,23,23
8,9,9,818,93.744,26,22,344,1218.18,1113.77,104.41,420,27,27
9,10,10,830,37.073,26,24,363,1305.29,1224.08,81.21,413,27,27
10,1,1,826,34.822,32,26,356,1192.61,1111.53,81.08,410,30,30
11,2,2,825,105.468,28,26,353,1236.26,1215.15,21.11,408,32,32
12,3,3,815,99.088,23,20,289,976.96,890.15,86.81,468,29,29
13,4,4,820,48.297,34,26,368,1211.4,1087.07,124.33,390,31,31
14,5,5,816,117.992,26,23,325,1135.57,1083.79,51.78,437,27,27
15,6,6,819,143.558,29,24,306,1021.57,950.87,70.7,461,26,26
16,7,7,826,111.066,31,26,332,1112.61,1043.84,68.77,426,34,34
17,8,8,848,41.099,33,26,376,1262.2,1086.89,175.31,410,31,31
18,9,9,824,35.488,30,24,362,1251.0,1099.82,151.18,404,29,29
19,10,10,802,49.912,29,24,312,1044.66,948.61,96.05,428,31,31
20,1,1,817,116.678,27,22,322,1098.03,1013.48,84.55,441,27,27
21,2,2,822,38.455,34,26,358,1189.78,1030.01,159.77,404,30,30
22,3,3,816,134.079,33,27,354,1186.57,1041.69,144.88,404,29,29
23,4,4,818,68.616,30,23,316,1048.45,908.44,140.01,450,26,26
24,5,5,828,29.061,39,29,337,1046.79,893.06,153.73,427,32,32
25,6,6,826,100.396,34,25,341,1124.15,925.87,198.28,427,29,29
26,7,7,805,67.688,25,21,265,890.54,812.63,77.91,484,28,28
27,8,8,811,79.066,33,24,328,1089.43,974.25,115.18,425,29,29
28,9,9,833,69.016,28,24,304,1026.34,893.94,132.4,475,27,27
29,10,10,828,56.79,29,24,311,1057.13,937.5,119.63,463,27,27
30,1,1,813,97.786,28,22,297,978.94,878.16,100.78,462,27,27
31,2,2,822,130.803,39,28,320,973.47,832.99,140.48,434,34,34
32,3,3,813,155.92,37,25,312,948.82,790.37,158.45,439,31,31
33,4,4,792,45.525,33,22,315,1006.65,733.59,273.06,425,26,26
34,5,5,800,40.238,32,23,270,808.32,642.85,165.47,470,30,30
35,6,6,821,26.562,37,26,353,1119.96,872.14,247.82,408,30,30
36,7,7,817,33.706,31,23,308,1004.68,872.61,132.07,457,26,26
37,8,8,832,64.05,27,18,264,858.58,599.37,259.21,526,21,21
38,9,9,788,106.688,28,22,291,978.65,836.51,142.14,445,26,26
39,10,10,843,42.494,32,22,334,1064.74,793.93,270.81,455,27,27
40,1,1,819,105.012,24,19,266,877.83,711.85,165.98,511,21,21
41,2,2,825,113.231,31,23,280,877.05,726.25,150.8,491,27,27
42,3,3,824,30.637,28,20,282,881.87,692.76,189.11,496,23,23
43,4,4,820,125.674,32,23,274,818.41,660.32,158.09,498,24,24
44,5,5,819,120.472,37,24,296,887.91,693.09,194.82,471,26,26
45,6,6,720,42.334,32,23,295,938.61,787.87,150.74,377,24,24
46,7,7,819,49.265,36,26,297,896.31,748.54,147.77,460,31,31
47,8,8,824,64.884,31,22,268,800.99,624.71,176.28,510,23,23
48,9,9,823,109.444,36,25,311,948.21,773.34,174.87,458,27,27
49,10,10,829,67.152,24,19,253,831.83,653.99,177.84,528,24,24
50,1,1,789,72.178,32,22,270,840.86,659.61,181.25,467,26,26
51,2,2,727,42.352,28,18,233,691.44,504.09,187.35,450,22,22
52,3,3,816,109.717,23,17,221,681.5,522.97,158.53,557,19,19
53,4,4,718,45.513,19,13,181,557.2,414.98,142.22,503,17,17
54,5,5,811,108.918,25,19,221,682.28,581.16,101.12,544,23,23
55,6,6,817,95.946,37,25,317,987.91,789.09,198.82,442,29,29
56,7,7,819,112.878,22,15,206,642.32,484.32,158.0,577,18,18
57,8,8,829,86.536,21,14,182,545.67,360.41,185.26,615,16,16
58,9,9,825,63.936,29,21,248,753.47,621.17,132.3,525,26,26
59,10,10,830,34.209,37,23,294,870.6,603.83,266.77,480,28,28
60,1,1,814,135.008,32,21,248,754.66,539.1,215.56,518,24,24
61,2,2,814,134.596,30,22,225,663.74,516.66,147.08,543,23,23
62,3,3,815,102.38,19,12,170,532.66,368.18,164.48,615,15,15
63,4,4,807,138.048,19,12,177,585.2,379.8,205.4,598,16,16
64,5,5,816,127.574,35,26,284,863.21,745.26,117.95,468,32,32
65,6,6,817,122.661,27,16,230,707.93,495.3,212.63,551,18,18
66,7,7,819,125.346,29,20,228,683.78,498.52,185.26,539,26,26
67,8,8,821,86.438,26,19,216,622.89,489.74,133.15,553,26,26
68,9,9,823,67.916,26,17,229,717.89,487.14,230.75,552,21,21
69,10,10,718,122.148,26,20,227,689.17,608.21,80.96,443,24,24
70,1,1,815,99.868,27,17,232,686.34,536.07,150.27,545,19,19
71,2,2,816,121.928,24,16,186,504.9,373.07,131.83,594,18,18
72,3,3,822,107.886,29,19,258,809.7,586.92,222.78,516,24,24
73,4,4,816,138.048,26,18,196,569.95,452.36,117.59,580,20,20
74,5,5,828,94.523,29,21,232,665.43,530.23,135.2,546,25,25
75,6,6,830,106.725,30,21,243,707.71,549.24,158.47,537,25,25
76,7,7,812,129.284,26,19,190,530.11,437.23,92.88,572,25,25
77,8,8,829,98.389,29,20,225,648.92,475.79,173.13,556,24,24
78,9,9,824,110.954,33,22,243,681.51,517.4,164.11,525,28,28
79,10,10,833,86.795,31,21,253,760.64,589.0,171.64,530,25,25
80,1,1,809,79.996,24,17,197,562.27,410.98,151.29,574,19,19
81,2,2,821,103.332,32,22,261,789.47,580.72,208.75,508,26,26
82,3,3,823,125.568,26,19,195,535.17,420.93,114.24,576,26,26
