horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,3335,0,390670,10.004
20,50,23,23,16,16,3319,0,908930,10.016
40,70,26,25,13,29,3305,1,2671170,10.054
60,90,31,31,18,47,3287,1,1356920,10.029
80,110,37,35,18,65,3268,2,4667330,10.175
100,130,46,42,24,89,3241,5,8335280,10.285
120,150,75,64,20,109,3218,8,16577540,10.008
140,170,134,72,40,149,3167,19,87441920,10.008
160,190,149,60,35,184,3080,71,126284150,10.018
180,210,125,63,36,220,3009,106,89126490,10.01
200,230,106,63,34,254,2943,138,62276610,10.013
220,250,83,66,37,291,2892,152,25574030,10.011
240,270,119,70,28,319,2859,157,74311960,10.009
260,290,199,66,38,357,2786,192,199788150,10.018
280,310,238,65,38,395,2666,274,259442900,10.023
300,330,218,60,32,427,2570,338,239484280,10.025
320,350,206,50,28,455,2462,418,239556170,10.018
340,370,168,54,32,487,2366,482,178199800,10.019
360,390,123,45,28,515,2291,529,120649690,10.647
380,410,104,49,25,540,2236,559,85290980,10.014
400,430,97,54,27,567,2189,579,68044330,10.012
420,450,90,51,30,597,2135,603,62564980,10.676
440,470,74,47,24,621,2093,621,43201220,10.213
460,490,78,57,30,651,2052,632,33637330,10.03
480,510,97,62,36,687,2006,642,54114920,10.006
500,530,143,63,36,723,1951,661,121105720,10.01
520,550,170,54,34,757,1870,708,175094600,10.011
540,570,174,56,30,787,1786,762,178370240,10.011
560,590,163,55,27,814,1701,820,164103820,10.011
580,610,172,61,29,843,1628,864,170755550,10.011
600,630,209,63,32,875,1539,921,221653370,10.014
620,650,250,61,34,909,1433,993,285167440,10.015
640,670,298,66,28,937,1307,1091,349117710,10.019
660,690,358,64,31,968,1175,1192,443805670,10.047
680,710,449,61,33,1001,1000,1334,581868690,10.026
700,730,497,55,26,1027,792,1516,663329220,10.028
720,750,460,57,32,1059,568,1708,608615770,10.026
740,770,364,58,29,1088,358,1889,462480130,10.023
760,790,277,64,35,1123,222,1990,314881210,10.019
780,810,222,49,32,1155,96,2084,251037650,10.015
800,816,96,14,12,1167,26,2142,121469010,10.067
