num_vehicles,total_penalty,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds,output_directory,is_best_penalty
20,400985900,490,252,742,411.551,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Depot\Pending\100000\vehicles_20,False
25,276587000,568,174,742,412.381,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Depot\Pending\100000\vehicles_25,False
30,205296900,613,129,742,412.489,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Depot\Pending\100000\vehicles_30,False
35,138640200,654,88,742,412.195,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Depot\Pending\100000\vehicles_35,False
40,102253700,677,65,742,412.365,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Depot\Pending\100000\vehicles_40,False
45,72580400,696,46,742,412.69,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Depot\Pending\100000\vehicles_45,False
50,61039000,702,40,742,411.962,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Depot\Pending\100000\vehicles_50,False
55,54279500,708,34,742,412.23,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Depot\Pending\100000\vehicles_55,False
60,37595600,718,24,742,412.945,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Depot\Pending\100000\vehicles_60,False
65,25254000,726,16,742,412.557,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Depot\Pending\100000\vehicles_65,False
70,23474400,727,15,742,412.84,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Depot\Pending\100000\vehicles_70,False
75,19245700,730,12,742,412.22,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Depot\Pending\100000\vehicles_75,False
80,19234800,730,12,742,412.037,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Depot\Pending\100000\vehicles_80,False
85,20822500,729,13,742,412.075,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Depot\Pending\100000\vehicles_85,False
90,18939700,730,12,742,413.062,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Depot\Pending\100000\vehicles_90,False
95,22004400,728,14,742,414.011,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Depot\Pending\100000\vehicles_95,False
100,17578000,731,11,742,414.085,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Depot\Pending\100000\vehicles_100,True
