vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,8,799,96.0,25,22,317,1107.09,1032.18,74.91,436,23,23
1,2,10,758,98.644,22,17,206,678.59,600.69,77.9,512,20,20
2,3,4,811,57.258,25,22,290,957.24,885.02,72.22,473,24,24
3,4,6,819,143.558,21,19,208,692.37,657.53,34.84,573,19,19
4,5,6,805,138.878,21,20,207,699.11,677.05,22.06,554,22,22
5,6,3,819,153.018,19,16,170,537.88,494.76,43.12,615,17,17
6,7,6,767,133.578,16,13,154,487.05,453.21,33.84,587,13,13
7,8,6,795,133.588,19,17,199,654.6,618.45,36.15,558,19,19
8,9,3,809,155.934,30,24,302,982.64,903.99,78.65,457,25,25
9,10,7,797,147.504,14,13,156,537.95,532.97,4.98,613,14,14
10,1,6,811,125.897,24,20,227,752.71,666.33,86.38,542,21,21
11,2,6,745,125.444,18,16,204,695.17,625.67,69.5,505,18,18
12,3,7,758,122.385,20,17,224,763.03,710.17,52.86,500,17,17
13,4,6,764,108.124,16,13,171,569.99,525.62,44.37,567,13,13
14,5,1,819,154.924,25,20,183,501.19,428.5,72.69,590,23,23
15,6,3,814,155.934,17,15,187,617.46,592.4,25.06,591,18,18
16,7,2,818,149.488,13,10,115,350.64,302.25,48.39,679,12,12
17,8,10,734,124.512,10,9,91,293.19,289.11,4.08,619,12,12
18,9,5,741,138.798,12,8,91,263.45,205.59,57.86,630,10,10
19,10,10,795,98.644,7,6,79,271.74,249.68,22.06,704,6,6
20,1,6,782,76.42,16,12,130,401.14,353.91,47.23,626,13,13
21,2,5,809,140.964,14,11,92,239.71,210.85,28.86,695,11,11
22,3,7,782,156.038,19,16,183,571.46,544.83,26.63,563,18,18
23,4,6,789,98.618,16,12,157,496.0,394.85,101.15,608,12,12
24,5,5,797,140.964,18,14,139,414.55,354.24,60.31,624,17,17
25,6,10,732,122.148,5,4,47,158.0,153.02,4.98,675,5,5
26,7,7,781,147.504,17,14,134,416.0,346.62,69.38,615,16,16
27,8,10,720,92.964,18,13,155,488.99,388.72,100.27,537,14,14
28,9,5,799,140.964,11,8,102,323.26,260.44,62.82,681,8,8
29,10,3,818,157.848,22,16,160,447.16,383.53,63.63,620,19,19
30,1,4,813,155.934,13,11,120,345.17,287.43,57.74,669,12,12
31,2,5,730,104.468,9,7,88,269.14,189.36,79.78,628,7,7
32,3,6,773,108.124,7,6,77,238.79,186.01,52.78,684,6,6
33,4,10,747,96.594,12,9,113,349.05,318.64,30.41,608,13,13
34,5,7,758,82.599,8,6,75,226.65,166.8,59.85,669,7,7
35,6,5,782,149.498,11,9,97,297.31,234.92,62.39,661,12,12
36,7,10,717,122.148,6,5,64,224.16,202.1,22.06,641,6,6
37,8,5,793,153.138,7,5,55,151.25,83.59,67.66,728,5,5
38,9,6,736,113.026,2,1,23,81.11,23.39,57.72,711,1,1
39,10,2,813,154.924,6,4,52,154.4,132.28,22.12,753,4,4
40,1,3,801,157.848,9,8,68,186.64,177.03,9.61,713,10,10
41,2,5,722,120.966,12,6,84,223.98,132.45,91.53,626,6,6
42,3,5,736,86.562,8,6,69,192.5,164.01,28.49,655,6,6
43,4,5,725,95.61,12,9,87,261.29,205.1,56.19,620,9,9
44,5,10,760,119.618,12,9,84,204.42,177.79,26.63,658,9,9
45,6,5,808,150.426,15,9,97,214.88,150.32,64.56,691,10,10
46,7,5,727,114.748,10,7,79,214.29,147.04,67.25,630,9,9
47,8,5,791,150.694,14,11,111,296.04,266.57,29.47,656,12,12
48,9,6,780,109.476,4,3,27,84.66,66.62,18.04,749,2,2
49,10,7,793,147.504,13,11,107,289.21,271.63,17.58,662,12,12
50,1,5,750,144.604,7,4,50,128.74,80.86,47.88,692,4,4
51,2,2,817,121.436,8,5,65,192.55,148.37,44.18,740,6,6
52,3,6,799,144.068,11,8,81,219.7,184.08,35.62,698,10,10
53,4,6,799,144.068,15,12,96,222.89,198.1,24.79,675,14,14
54,5,10,739,113.625,12,10,103,284.06,231.59,52.47,614,11,11
55,6,5,735,149.498,16,13,116,327.47,302.99,24.48,589,15,15
56,7,5,726,92.586,9,6,75,220.3,153.91,66.39,637,7,7
57,8,3,788,160.0,9,7,67,157.34,119.07,38.27,703,9,9
58,9,9,579,115.754,4,4,55,191.39,191.39,0.0,516,4,4
59,10,9,346,98.644,1,1,19,69.89,69.89,0.0,325,1,1
