horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,2,2,0,0,742,0,100220,10.003
20,50,7,7,4,4,738,0,358000,10.002
40,70,9,9,6,10,732,0,446410,10.003
60,90,3,3,3,13,729,0,145770,10.002
80,110,6,6,0,13,729,0,135390,10.019
100,130,11,11,8,21,721,0,277030,10.003
120,150,11,11,4,25,717,0,268640,10.002
140,170,31,31,19,44,698,0,634160,10.009
160,190,39,39,22,66,676,0,1130430,10.006
180,210,27,27,22,88,654,0,867220,10.085
200,230,17,17,11,99,643,0,461760,10.067
220,250,16,16,13,112,630,0,474370,10.003
240,270,22,22,9,121,621,0,664180,10.004
260,290,47,47,35,156,586,0,1495870,10.132
280,310,34,32,19,175,565,2,3757530,10.018
300,330,39,39,19,194,546,2,1261280,10.004
320,350,30,30,22,216,524,2,1016530,10.004
340,370,26,26,17,233,507,2,846680,10.004
360,390,22,22,17,250,490,2,1037320,10.006
380,410,13,13,8,258,482,2,517230,10.003
400,430,12,12,7,265,475,2,377240,10.006
420,450,22,22,14,279,461,2,790960,10.004
440,470,15,15,12,291,449,2,650910,10.003
460,490,4,3,3,294,445,3,2047070,10.024
480,510,14,14,3,297,442,3,527730,10.003
500,530,24,24,18,315,424,3,779920,10.003
520,550,25,25,16,331,408,3,749980,10.049
540,570,31,30,18,349,389,4,2688320,10.009
560,590,26,26,18,367,371,4,701250,10.003
580,610,26,26,16,383,355,4,845140,10.003
600,630,25,25,12,395,343,4,761740,10.003
620,650,38,38,22,417,321,4,1038880,10.004
640,670,57,57,28,445,293,4,1677400,10.034
660,690,80,80,41,486,252,4,2388030,10.16
680,710,94,92,55,541,195,6,5300190,10.007
700,730,90,89,59,600,135,7,3692100,10.013
720,750,62,60,42,642,91,9,4541500,10.347
740,770,48,47,25,667,65,10,2679270,10.306
760,790,50,50,34,701,31,10,972030,10.005
780,810,31,28,19,720,12,10,5400930,10.202
800,816,12,9,9,729,3,10,5215340,10.003
