num_vehicles,total_penalty,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds,output_directory,is_best_penalty
20,4278714500,546,2789,3335,414.498,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending\Pending\100000\vehicles_20,False
25,4004195800,698,2637,3335,413.855,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending\Pending\100000\vehicles_25,False
30,3725466500,861,2474,3335,414.475,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending\Pending\100000\vehicles_30,False
35,3517118400,983,2352,3335,412.71,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending\Pending\100000\vehicles_35,False
40,3254794800,1146,2189,3335,412.844,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending\Pending\100000\vehicles_40,False
45,2988459600,1313,2022,3335,412.233,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending\Pending\100000\vehicles_45,False
50,2778497500,1445,1890,3335,412.114,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending\Pending\100000\vehicles_50,False
55,2559225000,1589,1746,3335,412.655,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending\Pending\100000\vehicles_55,False
60,2311535300,1749,1586,3335,412.864,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending\Pending\100000\vehicles_60,False
65,2123001200,1875,1460,3335,412.291,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending\Pending\100000\vehicles_65,False
70,1939261500,1997,1338,3335,412.873,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending\Pending\100000\vehicles_70,False
75,1791201500,2100,1235,3335,413.386,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending\Pending\100000\vehicles_75,False
80,1642419400,2200,1135,3335,412.919,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending\Pending\100000\vehicles_80,False
85,1509440400,2293,1042,3335,413.013,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending\Pending\100000\vehicles_85,False
90,1473163900,2317,1018,3335,414.604,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending\Pending\100000\vehicles_90,False
95,1662980700,2196,1139,3335,413.713,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending\Pending\100000\vehicles_95,False
100,1411663300,2365,970,3335,413.79,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending\Pending\100000\vehicles_100,True
