horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,3335,0,390670,10.002
20,50,23,23,16,16,3319,0,883410,10.003
40,70,26,26,14,30,3305,0,1027310,10.169
60,90,31,31,18,48,3287,0,1131410,10.003
80,110,37,37,22,70,3265,0,1325590,10.004
100,130,43,42,25,95,3240,0,3683380,10.134
120,150,74,72,22,117,3216,2,5577460,10.406
140,170,132,127,81,198,3132,5,10528470,10.009
160,190,114,103,69,267,3055,13,17980360,10.008
180,210,100,94,63,330,2987,18,12903560,10.008
200,230,84,76,47,377,2934,24,14706550,10.006
220,250,74,70,41,418,2890,27,8776290,10.009
240,270,117,113,47,465,2842,28,12299650,10.009
260,290,182,135,78,543,2755,37,73161660,10.015
280,310,207,129,71,614,2641,80,114062080,10.027
300,330,193,123,70,684,2536,115,103948510,10.013
320,350,172,113,67,751,2428,156,89069290,10.012
340,370,134,104,68,819,2337,179,46723200,10.011
360,390,94,84,60,879,2269,187,16874570,10.008
380,410,82,78,46,925,2219,191,8843540,10.213
400,430,80,78,49,974,2169,192,5903860,10.006
420,450,70,68,44,1018,2123,194,5571990,10.367
440,470,62,59,36,1054,2084,197,6554100,10.305
460,490,69,68,39,1093,2045,197,3821430,10.072
480,510,90,88,48,1141,1995,199,5896300,10.006
500,530,132,124,69,1210,1926,199,15211160,10.008
520,550,145,113,70,1280,1842,213,49822990,10.01
540,570,146,107,60,1340,1759,236,59104310,10.01
560,590,136,108,62,1402,1675,258,43323870,10.01
580,610,146,115,65,1467,1599,269,48768680,10.011
600,630,180,125,63,1530,1514,291,83245320,10.013
620,650,225,128,79,1609,1401,325,144475610,10.015
640,670,266,121,60,1669,1281,385,211905040,10.02
660,690,332,116,64,1733,1146,456,314619850,10.021
680,710,420,94,57,1790,976,569,474472660,10.022
700,730,473,81,49,1839,767,729,574789250,10.029
720,750,435,90,52,1891,544,900,508586690,10.024
740,770,340,102,53,1944,336,1055,353166490,10.022
760,790,255,124,71,2015,193,1127,191478510,10.019
780,810,193,99,66,2081,71,1183,133137360,10.016
800,816,71,23,19,2100,18,1217,70370650,10.207
