vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,844,42.419,25,24,414,1515.69,1457.97,57.72,370,30,30
1,2,2,822,64.564,26,22,359,1250.41,1200.0,50.41,415,24,24
2,3,3,819,70.908,26,24,363,1297.75,1252.3,45.45,394,31,31
3,4,4,822,54.127,25,23,347,1237.84,1211.83,26.01,419,28,28
4,5,5,827,40.761,27,23,382,1362.57,1244.89,117.68,393,26,26
5,6,6,821,31.544,29,25,378,1345.07,1263.35,81.72,387,28,28
6,7,7,821,78.713,25,23,365,1315.92,1270.33,45.59,404,26,26
7,8,8,797,43.395,26,24,347,1235.14,1195.04,40.1,390,30,30
8,9,9,819,34.173,31,25,385,1353.61,1228.31,125.3,378,28,28
9,10,10,833,36.961,26,23,379,1382.39,1240.36,142.03,398,28,28
10,1,1,821,44.558,28,23,341,1181.26,1068.42,112.84,426,27,27
11,2,2,814,28.702,29,24,366,1288.53,1155.14,133.39,384,32,32
12,3,3,821,90.071,26,22,316,1087.46,1006.36,81.1,455,25,25
13,4,4,819,121.598,30,25,347,1195.93,1106.59,89.34,412,30,30
14,5,5,832,39.123,33,27,391,1357.87,1230.94,126.93,379,31,31
15,6,6,796,70.526,29,22,306,997.04,920.39,76.65,436,27,27
16,7,7,822,68.561,30,24,320,1065.7,924.54,141.16,438,32,32
17,8,8,814,122.714,30,23,324,1070.78,947.47,123.31,432,29,29
18,9,9,810,83.211,33,26,348,1153.59,1044.83,108.76,408,27,27
19,10,10,834,46.081,32,24,374,1277.56,1077.51,200.05,400,30,30
20,1,1,826,20.97,37,26,370,1186.6,976.36,210.24,390,33,33
21,2,2,823,24.044,42,34,376,1211.68,1089.27,122.41,373,37,37
22,3,3,847,51.368,27,21,332,1161.81,1003.87,157.94,471,22,22
23,4,4,802,61.498,34,25,370,1248.38,1050.58,197.8,378,27,27
24,5,5,784,29.566,31,22,317,1036.59,892.46,144.13,413,27,27
25,6,6,815,72.148,32,26,318,1050.84,969.15,81.69,437,30,30
