vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,6,811,91.2,24,23,383,1389.66,1376.33,13.33,370,29,29
1,2,4,819,152.404,26,25,364,1287.95,1274.34,13.61,405,25,25
2,3,8,809,38.616,26,24,378,1361.65,1296.73,64.92,367,32,32
3,4,9,816,34.404,25,23,369,1307.33,1278.84,28.49,395,26,26
4,5,8,818,62.347,30,27,385,1367.23,1294.24,72.99,375,29,29
5,6,9,791,46.195,32,28,368,1250.31,1185.5,64.81,357,33,33
6,7,8,814,95.507,28,25,377,1332.91,1267.99,64.92,385,26,26
7,8,7,816,34.435,26,24,357,1275.2,1249.06,26.14,401,29,29
8,9,6,817,48.919,30,24,378,1348.74,1200.96,147.78,383,28,28
9,10,8,814,115.743,31,26,391,1377.23,1253.31,123.92,367,28,28
10,1,6,813,108.124,28,22,317,1055.33,968.98,86.35,444,26,26
11,2,4,819,121.598,30,26,354,1219.61,1168.76,50.85,407,29,29
12,3,1,818,35.794,26,23,335,1180.75,1143.02,37.73,419,32,32
13,4,6,819,71.98,29,24,371,1316.38,1175.05,141.33,380,34,34
14,5,8,795,37.252,26,22,344,1213.3,1109.43,103.87,397,27,27
15,6,9,804,35.634,30,26,332,1122.16,1053.9,68.26,414,29,29
16,7,9,794,43.626,30,24,335,1141.68,1021.5,120.18,399,30,30
17,8,8,800,69.261,26,23,331,1151.01,1101.3,49.71,413,28,28
18,9,2,816,81.948,32,27,315,1019.32,960.95,58.37,437,32,32
19,10,4,808,29.393,32,25,368,1261.79,1105.22,156.57,384,28,28
20,1,9,804,67.155,35,28,365,1188.17,1092.8,95.37,365,37,37
21,2,8,818,36.45,31,24,337,1129.28,982.73,146.55,431,25,25
22,3,2,808,81.326,28,22,324,1112.7,957.99,154.71,438,23,23
23,4,4,809,27.903,30,23,349,1190.36,975.63,214.73,406,27,27
24,5,9,797,43.486,36,26,371,1231.77,992.38,239.39,370,28,28
25,6,9,817,51.427,37,29,373,1230.92,1095.18,135.74,380,32,32
26,7,9,818,85.275,36,27,367,1184.24,1009.91,174.33,389,31,31
27,8,5,819,51.416,31,24,324,1086.52,883.81,202.71,435,30,30
28,9,8,799,52.775,31,23,321,1048.25,830.22,218.03,430,24,24
29,10,5,818,30.059,36,31,374,1250.46,1133.71,116.75,378,33,33
30,1,10,773,55.836,31,24,305,1007.55,859.92,147.63,412,28,28
31,2,2,811,76.535,41,27,341,1040.96,790.0,250.96,402,34,34
32,3,2,811,30.489,35,25,355,1140.32,878.99,261.33,400,28,28
33,4,7,812,30.095,29,19,280,926.22,752.31,173.91,488,22,22
34,5,6,810,88.306,33,26,334,1066.01,937.96,128.05,416,30,30
35,6,10,785,53.862,34,27,336,1073.63,895.59,178.04,391,29,29
36,7,7,818,25.362,31,26,302,1001.88,917.28,84.6,450,33,33
37,8,8,817,101.297,31,24,317,1068.35,937.72,130.63,446,27,27
38,9,3,819,73.728,31,22,286,895.51,688.32,207.19,485,24,24
39,10,6,819,98.887,42,29,353,1059.6,891.15,168.45,404,31,31
40,1,5,816,44.213,41,29,351,1060.6,863.42,197.18,399,33,33
41,2,2,818,58.824,39,26,344,1053.33,809.52,243.81,412,31,31
42,3,2,819,81.36,34,26,314,1006.46,871.59,134.87,447,29,29
43,4,1,809,27.818,37,26,334,1046.97,780.75,266.22,419,28,28
44,5,5,819,63.378,38,25,353,1123.15,845.66,277.49,410,28,28
45,6,5,807,53.169,31,19,291,940.23,703.65,236.58,474,21,21
46,7,8,817,58.639,37,24,327,1029.71,794.91,234.8,436,27,27
47,8,5,806,108.8,40,28,329,1013.61,782.9,230.71,415,31,31
48,9,8,808,116.802,39,26,336,1017.93,806.67,211.26,412,30,30
49,10,3,819,72.141,39,27,324,992.15,790.77,201.38,435,30,30
50,1,6,815,66.032,33,25,315,1026.59,875.0,151.59,444,28,28
51,2,5,806,71.089,34,25,313,999.9,814.12,185.78,435,29,29
52,3,6,819,24.628,39,25,361,1171.2,845.89,325.31,406,26,26
53,4,7,805,91.139,32,21,308,994.87,685.51,309.36,447,25,25
54,5,8,800,46.677,37,25,323,1009.11,797.75,211.36,419,29,29
55,6,2,809,118.59,36,26,314,972.43,804.6,167.83,433,31,31
56,7,7,805,87.436,33,25,308,995.99,831.58,164.41,437,30,30
57,8,3,819,51.81,40,27,351,1101.06,844.96,256.1,408,30,30
58,9,4,808,69.091,40,27,335,1033.89,740.3,293.59,409,32,32
59,10,7,808,40.996,30,21,274,857.21,656.93,200.28,486,24,24
60,1,7,815,57.215,39,24,324,984.92,718.44,266.48,433,29,29
61,2,7,819,75.251,31,21,297,954.93,733.1,221.83,476,23,23
62,3,5,812,49.548,31,25,307,1022.99,904.95,118.04,447,29,29
63,4,1,819,105.012,31,21,297,959.84,813.65,146.19,476,23,23
64,5,4,818,72.994,41,26,316,926.54,702.21,224.33,448,27,27
