horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,3335,0,390670,10.014
20,50,23,23,16,16,3319,0,883410,10.092
40,70,26,26,14,30,3305,0,1014550,10.003
60,90,31,31,18,48,3287,0,1131410,10.035
80,110,37,37,22,70,3265,0,1316290,10.004
100,130,43,42,25,95,3240,0,3653890,10.044
120,150,74,72,22,117,3216,2,5577460,10.078
140,170,132,128,82,199,3131,5,9383390,10.011
160,190,113,105,72,271,3053,11,14253690,10.009
180,210,98,94,64,335,2986,14,9949240,10.008
200,230,83,76,47,382,2933,20,13749070,10.02
220,250,73,70,43,425,2888,22,7607250,10.046
240,270,115,111,44,469,2843,23,12241420,10.008
260,290,183,150,89,558,2747,30,53371350,10.012
280,310,199,141,76,634,2638,63,85738360,10.014
300,330,190,131,77,711,2531,93,88029710,10.013
320,350,167,123,72,783,2426,126,67227710,10.012
340,370,132,115,78,861,2334,140,28509700,10.013
360,390,91,86,64,925,2266,144,9385780,10.009
380,410,79,78,44,969,2221,145,3886590,10.007
400,430,82,80,52,1021,2168,146,6060680,10.008
420,450,69,67,46,1067,2120,148,5454370,10.009
440,470,59,58,36,1103,2083,149,3537590,10.415
460,490,68,67,38,1141,2045,149,3875960,10.029
480,510,90,88,47,1188,1996,151,5933590,10.007
500,530,133,124,69,1257,1925,153,17117460,10.009
520,550,144,119,75,1332,1838,165,40013730,10.011
540,570,142,114,62,1394,1756,185,43285250,10.011
560,590,133,113,69,1463,1670,202,31941840,10.011
580,610,141,118,68,1531,1596,208,36845550,10.012
600,630,177,131,65,1596,1511,228,69567400,10.011
620,650,222,141,86,1682,1394,259,120199330,10.014
640,670,259,139,73,1755,1271,309,174354350,10.019
660,690,322,130,74,1829,1135,371,278208680,10.021
680,710,409,99,60,1889,973,473,450217030,10.023
700,730,470,85,54,1943,762,630,563734820,10.025
720,750,430,89,57,2000,537,798,500089510,10.024
740,770,333,104,54,2054,336,945,335529790,10.022
760,790,255,132,75,2129,191,1015,178445850,10.022
780,810,191,109,75,2204,63,1068,116688820,10.021
800,816,63,24,24,2228,11,1096,55354050,10.18
