horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,3,3,0,0,1474,0,546678,20.004
20,50,7,7,4,4,1470,0,1244421,20.022
40,70,11,11,8,12,1462,0,2014873,20.062
60,90,13,13,7,19,1455,0,1995006,20.066
80,110,20,20,13,32,1442,0,2761625,20.089
100,130,22,22,15,47,1427,0,3094916,20.101
120,150,30,30,11,58,1416,0,3908730,20.007
140,170,57,56,34,92,1381,1,7051250,20.111
160,190,61,59,38,130,1341,3,8547061,20.041
180,210,48,47,39,169,1302,3,6513023,20.035
200,230,29,28,17,186,1284,4,4092675,20.111
220,250,34,33,20,206,1263,5,4718999,20.014
240,270,49,47,19,225,1243,6,7591205,20.231
260,290,76,73,44,269,1197,8,11982909,20.12
280,310,84,82,45,314,1151,9,11490627,20.161
300,330,85,79,55,369,1094,11,12060391,20.18
320,350,67,62,43,412,1048,14,9872101,20.063
340,370,61,59,35,447,1011,16,9222790,20.155
360,390,46,45,35,482,976,16,6864798,20.195
380,410,24,23,15,497,960,17,3543094,20.083
400,430,24,24,16,513,944,17,3563238,20.087
420,450,24,23,16,529,928,17,3682328,20.057
440,470,20,19,11,540,916,18,2960240,20.091
460,490,24,24,17,557,899,18,3532077,20.004
480,510,43,43,21,578,878,18,5685609,20.08
500,530,62,62,40,618,838,18,8109203,20.064
520,550,51,51,35,653,803,18,6997999,20.006
540,570,58,58,32,685,771,18,7473782,20.007
560,590,62,62,43,728,728,18,7610627,20.004
580,610,53,53,38,766,690,18,6406847,20.005
600,630,65,65,36,802,654,18,7856082,20.007
620,650,80,79,52,854,602,18,10113461,20.223
640,670,89,88,56,910,545,19,11553255,20.208
660,690,116,116,65,975,480,19,14126991,20.007
680,710,154,153,87,1062,393,19,18824300,20.009
700,730,186,178,108,1170,278,26,24683352,20.017
720,750,136,130,101,1271,174,29,17260074,20.015
740,770,83,80,52,1323,119,32,9380431,20.155
760,790,76,76,45,1368,74,32,8229809,20.008
780,810,74,73,54,1422,20,32,9017631,20.056
800,816,20,19,19,1441,1,32,3911751,20.005
