horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,6,6,0,0,2754,0,1062195,20.005
20,50,16,16,11,11,2743,0,2853294,20.003
40,70,24,24,8,19,2735,0,3874848,20.048
60,90,30,30,19,38,2716,0,4604659,20.101
80,110,37,37,16,54,2700,0,5942563,20.006
100,130,51,50,39,93,2660,1,7856017,20.013
120,150,68,68,23,116,2637,1,9763457,20.008
140,170,130,107,58,174,2578,2,21066542,20.291
160,190,131,90,58,232,2502,20,28162447,20.06
180,210,112,78,52,284,2430,40,24797669,20.086
200,230,69,46,27,311,2384,59,16478867,20.09
220,250,58,50,29,340,2350,64,10659060,20.193
240,270,74,67,30,370,2315,69,13663555,20.004
260,290,123,99,52,422,2261,71,22402006,20.219
280,310,160,102,54,476,2187,91,35245696,20.429
300,330,169,105,67,543,2092,119,39558309,20.409
320,350,142,94,56,599,2011,144,32588857,20.135
340,370,124,88,60,659,1930,165,26138725,20.195
360,390,93,73,55,714,1865,175,18179626,20.194
380,410,65,53,33,747,1821,186,12739628,20.037
400,430,58,56,32,779,1788,187,8878197,20.004
420,450,57,56,42,821,1745,188,8998765,20.195
440,470,50,49,32,853,1712,189,7219931,20.156
460,490,50,49,29,882,1682,190,7353731,20.262
480,510,81,77,42,924,1640,190,13100078,20.266
500,530,105,92,42,966,1595,193,17002182,20.254
520,550,122,95,62,1028,1522,204,22618576,20.175
540,570,119,93,52,1080,1455,219,22170984,20.327
560,590,122,97,57,1137,1388,229,22172304,20.066
580,610,148,96,49,1186,1329,239,32288918,20.281
600,630,179,105,61,1247,1236,271,42689034,20.008
620,650,195,109,56,1303,1148,303,47576706,20.583
640,670,200,108,62,1365,1041,348,52027934,20.011
660,690,248,124,57,1422,947,385,64384849,20.018
680,710,355,140,81,1503,805,446,98647377,20.019
700,730,401,124,64,1567,628,559,124844024,20.024
720,750,360,125,81,1648,424,682,111938359,20.034
740,770,248,112,58,1706,271,777,71443299,20.014
760,790,194,115,71,1777,155,822,46192811,20.014
780,810,155,94,67,1844,62,848,36019406,20.009
800,816,62,25,25,1869,13,872,21513874,20.01
