horizon_start,horizon_end,request_id,batch_id,planned_visit,planned_pickup_time,committed,drop_penalty
0,30,R1,B1,False,,False,95400
0,30,R2,B2,False,,False,97250
0,30,R3,B3,False,,False,95400
0,30,R4,B4,False,,False,97350
0,30,R5,B5,False,,False,97250
0,30,R6,B6,False,,False,94049
20,50,R1,B1,False,,False,98788
20,50,R2,B2,False,,False,100062
20,50,R3,B3,False,,False,101220
20,50,R4,B4,False,,False,100168
20,50,R5,B5,False,,False,100166
20,50,R6,B6,False,,False,96947
20,50,R7,B7,False,,False,97250
20,50,R8,B8,False,,False,97150
20,50,R9,B9,True,36.0,True,190800
20,50,R10,B10,False,,False,97450
20,50,R11,B11,False,,False,95400
20,50,R12,B12,False,,False,97250
20,50,R13,B13,False,,False,94050
20,50,R14,B14,False,,False,97350
20,50,R15,B15,True,48.0,False,194700
20,50,R16,B16,True,48.0,False,194500
40,70,R1,B1,False,,False,122504
40,70,R2,B2,False,,False,114125
40,70,R3,B3,False,,False,141964
40,70,R4,B4,False,,False,114260
40,70,R5,B5,False,,False,108916
40,70,R6,B6,False,,False,111437
40,70,R7,B7,False,,False,100131
40,70,R8,B8,False,,False,99956
40,70,R10,B10,False,,False,105228
40,70,R11,B11,False,,False,101220
40,70,R12,B12,False,,False,100062
40,70,R13,B13,False,,False,96986
40,70,R14,B14,False,,False,101902
40,70,R15,B15,True,48.0,True,200336
40,70,R16,B16,True,48.0,True,200125
40,70,R17,B17,False,,False,95800
40,70,R18,B18,False,,False,97450
40,70,R19,B19,False,,False,96399
40,70,R20,B20,False,,False,95400
40,70,R21,B21,True,60.0,False,97250
40,70,R22,B22,False,,False,97450
40,70,R23,B23,False,,False,97250
40,70,R24,B24,False,,False,97450
40,70,R25,B25,False,,False,89000
40,70,R26,B26,True,64.0,False,194500
40,70,R27,B27,False,,False,95400
40,70,R28,B28,False,,False,97150
40,70,R29,B29,False,,False,97250
40,70,R30,B30,False,,False,95200
40,70,R31,B31,False,,False,97350
40,70,R32,B32,False,,False,95400
40,70,R33,B33,False,,False,96250
40,70,R34,B34,False,,False,97450
40,70,R35,B35,False,,False,97250
60,90,R8,B8,False,,False,119602
60,90,R12,B12,False,,False,119750
60,90,R13,B13,False,,False,117543
60,90,R14,B14,False,,False,133773
60,90,R17,B17,False,,False,105341
60,90,R18,B18,False,,False,109118
60,90,R19,B19,False,,False,102272
60,90,R20,B20,False,,False,101220
60,90,R21,B21,True,60.0,True,100062
60,90,R22,B22,False,,False,101339
60,90,R23,B23,False,,False,100062
60,90,R24,B24,False,,False,101339
60,90,R25,B25,False,,False,92095
60,90,R26,B26,True,64.0,True,200125
60,90,R27,B27,False,,False,101075
60,90,R28,B28,False,,False,99956
60,90,R29,B29,False,,False,100062
60,90,R30,B30,False,,False,97827
60,90,R31,B31,False,,False,100168
60,90,R32,B32,False,,False,98788
60,90,R33,B33,False,,False,99292
60,90,R34,B34,False,,False,101339
60,90,R35,B35,False,,False,100062
60,90,R36,B36,False,,False,97349
60,90,R37,B37,False,,False,97250
60,90,R38,B38,False,,False,97350
60,90,R39,B39,False,,False,77499
60,90,R40,B40,False,,False,97250
60,90,R41,B41,False,,False,96100
60,90,R42,B42,False,,False,92700
60,90,R43,B43,True,84.0,False,191600
60,90,R44,B44,True,87.0,False,95800
60,90,R45,B45,False,,False,95500
60,90,R46,B46,False,,False,185400
60,90,R47,B47,True,88.0,False,188099
60,90,R48,B48,False,,False,89000
60,90,R49,B49,False,,False,77499
80,110,R20,B20,False,,False,141964
80,110,R23,B23,False,,False,119750
80,110,R24,B24,False,,False,128564
80,110,R25,B25,False,,False,107571
80,110,R27,B27,False,,False,140800
80,110,R28,B28,False,,False,113989
80,110,R29,B29,False,,False,114125
80,110,R30,B30,False,,False,110967
80,110,R31,B31,False,,False,114260
80,110,R32,B32,False,,False,122504
80,110,R33,B33,False,,False,108421
80,110,R34,B34,False,,False,120786
80,110,R35,B35,False,,False,108500
80,110,R36,B36,False,,False,102919
80,110,R37,B37,False,,False,100062
80,110,R38,B38,False,,False,101902
80,110,R39,B39,False,,False,79116
80,110,R40,B40,False,,False,99997
80,110,R41,B41,False,,False,106577
80,110,R42,B42,True,83.0,True,94772
80,110,R43,B43,True,84.0,True,217044
80,110,R44,B44,True,87.0,True,108522
80,110,R45,B45,False,,False,98616
80,110,R46,B46,True,87.0,True,189545
80,110,R47,B47,True,88.0,True,193895
80,110,R48,B48,False,,False,92095
80,110,R49,B49,False,,False,79116
80,110,R50,B50,False,,False,98149
80,110,R51,B51,False,,False,95800
80,110,R52,B52,True,93.0,True,94050
80,110,R53,B53,True,93.0,True,191100
80,110,R54,B54,False,,False,94050
80,110,R55,B55,False,,False,94200
80,110,R56,B56,False,,False,94050
80,110,R57,B57,True,102.0,False,96400
80,110,R58,B58,True,102.0,False,95800
80,110,R59,B59,False,,False,95550
80,110,R60,B60,False,,False,95550
80,110,R61,B61,False,,False,98149
80,110,R62,B62,False,,False,94200
80,110,R63,B63,True,105.0,False,95800
80,110,R64,B64,False,,False,96700
80,110,R65,B65,False,,False,77499
80,110,R66,B66,False,,False,95400
80,110,R67,B67,False,,False,95500
80,110,R68,B68,False,,False,92700
80,110,R69,B69,True,106.0,False,96400
80,110,R70,B70,False,,False,95800
80,110,R71,B71,False,,False,95800
80,110,R72,B72,False,,False,95400
80,110,R73,B73,False,,False,97250
80,110,R74,B74,False,,False,95800
80,110,R75,B75,True,110.0,False,193400
100,130,R37,B37,False,,False,119750
100,130,R39,B39,False,,False,87204
100,130,R40,B40,False,,False,113732
100,130,R45,B45,False,,False,120431
100,130,R48,B48,False,,False,101380
100,130,R49,B49,False,,False,83969
100,130,R50,B50,False,,False,118638
100,130,R51,B51,False,,False,146688
100,130,R54,B54,False,,False,96986
100,130,R55,B55,False,,False,99725
100,130,R56,B56,False,,False,96986
100,130,R57,B57,True,102.0,True,101672
100,130,R58,B58,True,102.0,True,108522
100,130,R59,B59,False,,False,104660
100,130,R60,B60,False,,False,104660
100,130,R61,B61,True,104.0,True,103271
100,130,R62,B62,False,,False,99725
100,130,R63,B63,True,105.0,True,108522
100,130,R64,B64,False,,False,100185
100,130,R65,B65,False,,False,79116
100,130,R66,B66,False,,False,98788
100,130,R67,B67,False,,False,98616
100,130,R68,B68,False,,False,94772
100,130,R69,B69,True,106.0,True,101672
100,130,R70,B70,True,108.0,True,108522
100,130,R71,B71,True,109.0,True,108522
100,130,R72,B72,False,,False,98788
100,130,R73,B73,False,,False,100062
100,130,R74,B74,True,110.0,True,108522
100,130,R75,B75,True,110.0,True,200370
100,130,R76,B76,True,112.0,True,191600
100,130,R77,B77,False,,False,95500
100,130,R78,B78,True,113.0,True,97950
100,130,R79,B79,True,113.0,True,95800
100,130,R80,B80,True,114.0,True,191600
100,130,R81,B81,False,,False,96400
100,130,R82,B82,False,,False,95550
100,130,R83,B83,False,,False,77499
100,130,R84,B84,False,,False,94200
100,130,R85,B85,False,,False,95500
100,130,R86,B86,False,,False,95400
100,130,R87,B87,False,,False,96300
100,130,R88,B88,False,,False,95900
100,130,R89,B89,False,,False,95800
100,130,R90,B90,False,,False,96700
100,130,R91,B91,False,,False,77499
100,130,R92,B92,False,,False,98149
100,130,R93,B93,True,119.0,True,98050
100,130,R94,B94,False,,False,95500
100,130,R95,B95,False,,False,95550
100,130,R96,B96,False,,False,185400
100,130,R97,B97,False,,False,95800
100,130,R98,B98,False,,False,94200
100,130,R99,B99,False,,False,95400
100,130,R100,B100,False,,False,94050
100,130,R101,B101,False,,False,95800
100,130,R102,B102,False,,False,96700
100,130,R103,B103,False,,False,95800
100,130,R104,B104,False,,False,94049
100,130,R105,B105,False,,False,97950
120,150,R56,B56,False,,False,117543
120,150,R60,B60,False,,False,168430
120,150,R62,B62,False,,False,138400
120,150,R65,B65,False,,False,83969
120,150,R66,B66,False,,False,122504
120,150,R67,B67,False,,False,120431
120,150,R68,B68,False,,False,100991
120,150,R72,B72,False,,False,115728
120,150,R73,B73,False,,False,108500
120,150,R77,B77,False,,False,104849
120,150,R81,B81,False,,False,106945
120,150,R82,B82,False,,False,113770
120,150,R83,B83,False,,False,79116
120,150,R84,B84,False,,False,105250
120,150,R85,B85,False,,False,101732
120,150,R86,B86,False,,False,101220
120,150,R87,B87,False,,False,102016
120,150,R88,B88,False,,False,98421
120,150,R89,B89,False,,False,121244
120,150,R90,B90,False,,False,107155
120,150,R91,B91,False,,False,79116
120,150,R92,B92,True,120.0,True,108393
120,150,R94,B94,False,,False,98616
120,150,R95,B95,False,,False,104660
120,150,R96,B96,False,,False,189545
