vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,9,1057,44.676,32,32,518,1901.73,1901.73,0.0,461,39,39
1,2,9,1050,54.956,30,30,469,1695.92,1695.92,0.0,513,34,34
2,3,9,1076,113.064,33,32,492,1781.0,1758.94,22.06,510,37,37
3,4,9,1080,113.064,32,32,468,1695.11,1695.11,0.0,528,42,42
4,5,9,1081,87.465,32,32,439,1563.5,1563.5,0.0,562,40,40
5,6,9,953,56.043,32,29,420,1461.09,1424.86,36.23,459,37,37
6,7,9,958,91.519,32,30,421,1475.39,1461.7,13.69,459,39,39
7,8,7,1087,72.851,39,36,467,1608.74,1558.31,50.43,540,40,40
8,9,9,946,80.508,31,30,404,1436.76,1412.83,23.93,470,36,36
9,10,9,949,118.294,30,27,395,1391.08,1365.04,26.04,488,33,33
10,1,9,951,25.872,30,29,416,1487.35,1469.31,18.04,461,37,37
11,2,10,1098,72.046,32,30,401,1403.1,1357.11,45.99,621,38,38
12,3,10,1098,62.138,33,30,454,1619.74,1580.64,39.1,572,36,36
13,4,9,956,81.036,31,28,377,1311.12,1258.26,52.86,507,36,36
14,5,9,962,38.259,32,30,409,1444.43,1414.94,29.49,479,37,37
15,6,9,979,51.293,30,28,361,1246.09,1182.58,63.51,550,34,34
16,7,9,963,66.13,28,24,335,1121.52,1051.58,69.94,572,28,28
17,8,9,981,100.264,31,28,377,1319.22,1257.06,62.16,538,33,33
18,9,3,1100,70.694,34,31,394,1354.3,1310.12,44.18,636,35,35
19,10,9,968,86.436,35,31,402,1381.75,1319.53,62.22,482,42,42
20,1,5,1092,144.604,32,29,377,1291.01,1234.46,56.55,643,36,36
21,2,4,1093,77.528,35,30,364,1184.68,1105.13,79.55,659,35,35
22,3,7,1047,130.089,35,33,390,1331.26,1305.52,25.74,579,39,39
23,4,9,954,62.942,29,24,340,1162.03,1068.24,93.79,554,30,30
24,5,9,962,65.062,36,30,383,1268.91,1170.8,98.11,505,37,37
25,6,9,970,72.568,28,24,329,1156.99,1063.43,93.56,583,29,29
26,7,10,1079,132.794,31,26,348,1190.7,1095.54,95.16,669,31,31
27,8,9,1019,79.565,29,25,302,1003.69,926.92,76.77,661,28,28
28,9,9,987,86.987,21,19,233,789.35,753.27,36.08,700,27,27
29,10,9,942,93.746,23,20,273,956.88,892.06,64.82,617,26,26
30,1,9,964,88.702,29,24,278,899.87,827.16,72.71,630,28,28
31,2,7,1051,105.406,28,21,259,824.41,725.29,99.12,742,25,25
32,3,9,943,78.079,30,25,303,971.19,901.54,69.65,580,30,30
33,4,3,1073,113.614,29,25,331,1112.21,1065.36,46.85,678,32,32
34,5,5,1026,91.6,27,20,249,789.63,706.65,82.98,723,27,27
35,6,7,1056,82.036,34,31,381,1325.55,1259.37,66.18,609,33,33
36,7,3,1079,85.398,19,17,205,683.22,646.28,36.94,832,21,21
37,8,9,969,121.598,18,15,212,729.86,671.63,58.23,719,19,19
38,9,9,982,113.064,22,17,202,667.76,591.86,75.9,738,21,21
39,10,9,1102,63.01,40,32,396,1310.39,1169.78,140.61,628,39,39
40,1,5,1045,139.298,28,23,263,845.4,793.14,52.26,730,26,26
41,2,9,927,102.278,18,16,216,751.46,697.02,54.44,665,23,23
42,3,5,1028,63.868,17,14,185,593.44,570.14,23.3,809,17,17
43,4,3,1042,57.689,23,17,235,771.69,651.88,119.81,765,21,21
44,5,9,926,93.744,21,18,208,661.31,615.55,45.76,678,20,20
45,6,9,1101,57.048,23,18,223,733.94,659.89,74.05,838,20,20
46,7,9,927,93.744,23,18,212,684.12,593.16,90.96,673,21,21
