horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.002
20,50,23,23,16,16,4217,15,883410.0,20.002
40,70,26,26,14,30,4203,15,1001790.0,20.014
60,90,31,31,18,48,4185,15,1118650.0,20.003
80,110,37,37,22,70,4163,15,1275630.0,20.149
100,130,43,43,26,96,4137,15,1410590.0,20.003
120,150,73,73,23,119,4114,15,2138720.0,20.027
140,170,132,129,83,202,4028,18,8129250.0,20.227
160,190,112,105,73,275,3950,23,12980240.0,20.043
180,210,97,94,64,339,3883,26,7506420.0,20.197
200,230,82,78,49,388,3830,30,7669510.0,20.023
220,250,72,70,42,430,3787,31,5642740.0,20.257
240,270,116,111,44,474,3742,32,14699050.0,20.06
260,290,184,171,107,581,3627,40,28072520.0,20.008
280,310,181,155,86,667,3527,54,42318860.0,20.01
300,330,181,151,93,760,3419,69,47197030.0,20.008
320,350,157,133,80,840,3321,87,40094470.0,20.013
340,370,129,119,82,922,3230,96,19464430.0,20.179
360,390,89,87,65,987,3163,98,5906210.0,20.162
380,410,78,78,44,1031,3119,98,2674970.0,20.054
400,430,82,81,54,1085,3065,98,4236760.0,20.065
420,450,68,67,45,1130,3019,99,3822080.0,20.03
440,470,60,60,37,1167,2982,99,2092640.0,20.004
460,490,69,69,40,1207,2942,99,2412990.0,20.004
480,510,89,89,50,1257,2892,99,2845490.0,20.055
500,530,131,131,76,1333,2816,99,3630570.0,20.006
520,550,137,131,82,1415,2730,103,12594020.0,20.007
540,570,136,123,69,1484,2650,114,22695450.0,20.707
560,590,129,117,73,1557,2566,125,20495720.0,20.15
580,610,139,128,78,1635,2483,130,20133020.0,20.7
600,630,166,155,80,1715,2397,136,20778180.0,20.01
620,650,210,159,99,1814,2282,152,75774470.0,20.009
640,670,249,164,85,1899,2160,189,122470370.0,20.011
660,690,313,176,94,1993,2017,238,198375280.0,20.015
680,710,393,171,97,2090,1849,309,321282780.0,20.018
700,730,448,160,94,2184,1630,434,419683660.0,20.022
720,750,400,144,87,2271,1411,566,375827140.0,20.021
740,770,309,154,83,2354,1207,687,228422540.0,20.018
760,790,228,161,91,2445,1076,727,96502510.0,20.015
780,810,199,163,101,2546,942,760,53446060.0,20.009
800,830,174,156,89,2635,844,769,26317780.0,20.009
820,850,199,165,93,2728,735,785,47463110.0,20.008
840,870,183,146,95,2823,614,811,51637960.0,20.009
860,890,148,130,79,2902,517,829,27946150.0,20.706
880,910,114,107,68,2970,442,836,13731600.0,20.319
900,930,116,111,69,3039,368,841,12122250.0,20.511
920,950,111,104,64,3103,300,845,14922750.0,20.023
940,970,112,103,62,3165,234,849,18640410.0,20.197
960,990,101,94,67,3232,160,856,14840580.0,20.09
980,1010,80,78,45,3277,115,856,5814970.0,20.247
1000,1030,71,69,50,3327,63,858,5353760.0,20.105
1020,1050,42,41,32,3359,30,859,3002040.0,20.025
1040,1070,22,21,14,3373,15,860,2399070.0,20.061
1060,1090,15,15,13,3386,2,860,677000.0,20.002
1080,1110,2,2,2,3388,0,860,98330.0,20.003
1100,1130,0,0,0,3388,0,860,,0.0
1120,1150,0,0,0,3388,0,860,,0.0
