horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.002
20,50,23,23,16,16,4217,15,883410.0,20.004
40,70,26,26,14,30,4203,15,1001790.0,20.004
60,90,31,31,18,48,4185,15,1080370.0,20.005
80,110,37,37,22,70,4163,15,1151050.0,20.004
100,130,43,43,26,96,4137,15,1310900.0,20.065
120,150,73,73,23,119,4114,15,1899290.0,20.006
140,170,132,132,88,207,4026,15,3024600.0,20.008
160,190,110,106,74,281,3949,18,8674440.0,20.021
180,210,96,94,68,349,3879,20,5722420.0,20.066
200,230,78,76,48,397,3829,22,5174840.0,20.178
220,250,71,71,44,441,3785,22,1861940.0,20.005
240,270,114,114,48,489,3737,22,3182860.0,20.006
260,290,179,178,116,605,3620,23,6073170.0,20.009
280,310,174,171,100,705,3517,26,8767420.0,20.01
300,330,171,168,110,815,3404,29,9455930.0,20.011
320,350,142,139,86,901,3315,32,8498730.0,20.009
340,370,123,121,84,985,3229,34,6427010.0,21.204
360,390,88,88,66,1051,3163,34,2608870.0,20.03
380,410,78,78,44,1095,3119,34,2594120.0,20.006
400,430,82,81,54,1149,3065,34,4213050.0,20.304
420,450,68,67,46,1195,3018,35,3989220.0,20.066
440,470,59,59,37,1232,2981,35,2014050.0,20.005
460,490,68,68,39,1271,2942,35,2311550.0,20.006
480,510,89,89,51,1322,2891,35,2797760.0,20.006
500,530,130,130,76,1398,2815,35,3364300.0,20.041
520,550,136,136,90,1488,2725,35,3440430.0,20.354
540,570,131,131,79,1567,2646,35,3371300.0,20.008
560,590,125,123,80,1647,2564,37,6215110.0,20.228
580,610,137,137,84,1731,2480,37,3766290.0,20.009
600,630,163,163,85,1816,2395,37,4224640.0,20.008
620,650,208,204,137,1953,2256,39,11966010.0,20.011
640,670,223,221,122,2075,2132,41,8906400.0,20.013
660,690,285,284,156,2231,1975,42,8079870.0,20.018
680,710,351,348,207,2438,1765,45,12373270.0,20.019
700,730,364,360,219,2657,1542,49,14893470.0,20.019
720,750,312,302,209,2866,1323,59,21707510.0,20.018
740,770,221,215,133,2999,1184,65,13314380.0,20.014
760,790,205,204,130,3129,1053,66,5184100.0,20.015
780,810,176,176,114,3243,939,66,3295930.0,20.009
800,830,171,166,97,3340,837,71,10539830.0,20.01
820,850,192,184,106,3446,723,79,16108100.0,20.011
840,870,171,163,111,3557,604,87,15644700.0,20.01
860,890,138,133,85,3642,514,92,10922500.0,20.077
880,910,111,107,70,3712,440,96,9572490.0,20.136
900,930,114,110,66,3778,370,100,10725250.0,20.576
920,950,113,109,73,3851,295,102,10555310.0,20.542
940,970,107,103,63,3914,229,105,10657180.0,20.045
960,990,96,93,66,3980,160,108,8505850.0,20.342
980,1010,80,79,44,4024,116,108,4674480.0,20.268
1000,1030,72,68,51,4075,62,111,8805540.0,20.026
1020,1050,41,40,30,4105,31,112,3294080.0,20.014
1040,1070,23,21,15,4120,14,114,4128140.0,20.035
1060,1090,14,14,12,4132,2,114,617450.0,20.003
1080,1110,2,2,2,4134,0,114,98330.0,20.006
1100,1130,0,0,0,4134,0,114,,0.0
1120,1150,0,0,0,4134,0,114,,0.0
