horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.006
20,50,23,23,16,16,4217,15,883410.0,20.004
40,70,26,26,14,30,4203,15,1001790.0,20.117
60,90,31,31,18,48,4185,15,1080370.0,20.004
80,110,37,37,22,70,4163,15,1231510.0,20.044
100,130,43,43,26,96,4137,15,1361940.0,20.003
120,150,73,72,22,118,4114,16,3220850.0,20.049
140,170,132,129,85,203,4026,19,7775300.0,20.408
160,190,110,106,73,276,3950,22,8610230.0,20.159
180,210,97,94,66,342,3881,25,7016640.0,20.027
200,230,80,76,47,389,3830,29,7680430.0,20.195
220,250,72,71,43,432,3786,30,3399500.0,20.129
240,270,115,114,49,481,3737,30,5916880.0,20.137
260,290,179,174,111,592,3624,32,13363200.0,20.009
280,310,178,167,95,687,3518,43,21004100.0,20.01
300,330,172,167,111,798,3404,46,12172320.0,20.008
320,350,142,137,85,883,3315,50,11710960.0,20.007
340,370,123,119,83,966,3229,53,9986230.0,20.727
360,390,88,87,65,1031,3163,54,4561350.0,20.026
380,410,78,78,46,1077,3117,54,2723710.0,20.005
400,430,80,79,52,1129,3065,54,4204580.0,20.18
420,450,68,67,46,1175,3018,55,3812830.0,20.038
440,470,59,59,37,1212,2981,55,2009420.0,20.221
460,490,68,68,39,1251,2942,55,2339160.0,20.008
480,510,89,88,49,1300,2892,56,4320400.0,20.212
500,530,131,131,77,1377,2815,56,3383330.0,20.04
520,550,136,136,89,1466,2726,56,3611420.0,20.427
540,570,132,129,78,1544,2645,59,7785150.0,20.027
560,590,124,122,78,1622,2565,61,6097000.0,20.802
580,610,138,135,82,1704,2481,63,8603010.0,20.563
600,630,164,163,86,1790,2394,64,6109590.0,20.015
620,650,207,197,128,1918,2261,69,18863300.0,20.012
640,670,228,213,112,2030,2136,82,25059660.0,20.011
660,690,289,226,122,2152,1999,97,91352420.0,20.014
680,710,375,242,137,2289,1814,145,189736300.0,20.027
700,730,413,239,144,2433,1597,218,250210940.0,20.021
720,750,367,210,127,2560,1384,304,230145330.0,20.024
740,770,282,201,120,2680,1189,379,123211110.0,20.021
760,790,210,203,125,2805,1058,385,15218850.0,20.014
780,810,181,172,110,2915,939,394,16397800.0,20.011
800,830,171,166,94,3009,840,399,10743240.0,20.016
820,850,195,190,113,3122,722,404,11127100.0,20.013
840,870,170,159,106,3228,605,415,19535240.0,20.008
860,890,139,133,87,3315,512,421,12487690.0,20.101
880,910,109,109,71,3386,441,421,3976880.0,20.006
900,930,115,108,66,3452,368,428,14635850.0,20.257
920,950,111,109,71,3523,296,429,7146560.0,20.196
940,970,108,102,63,3586,231,431,13674370.0,20.334
960,990,98,91,62,3648,164,436,14517920.0,20.259
980,1010,84,80,46,3694,115,439,9072400.0,20.126
1000,1030,71,69,50,3744,63,441,5309020.0,20.169
1020,1050,42,42,33,3777,30,441,1641660.0,20.033
1040,1070,22,21,14,3791,15,442,2446860.0,20.022
1060,1090,15,15,13,3804,2,442,672370.0,20.003
1080,1110,2,2,2,3806,0,442,98330.0,20.002
1100,1130,0,0,0,3806,0,442,,0.0
1120,1150,0,0,0,3806,0,442,,0.0
