vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1094,21.736,37,35,540,1935.41,1902.93,32.48,474,40,40
1,2,2,1073,53.666,34,32,487,1745.48,1690.26,55.22,510,38,38
2,3,3,1113,58.694,42,38,530,1855.38,1733.97,121.41,499,42,42
3,4,4,1096,46.581,35,33,503,1818.54,1740.87,77.67,509,42,42
4,5,5,1093,51.024,35,32,493,1743.02,1658.08,84.94,524,38,38
5,6,6,1100,38.274,38,32,490,1731.13,1594.42,136.71,530,40,40
6,7,7,1093,68.678,38,34,501,1769.56,1679.08,90.48,508,42,42
7,8,8,1008,20.916,34,29,436,1528.38,1461.26,67.12,504,34,34
8,9,9,1028,117.332,34,31,450,1589.91,1513.07,76.84,502,38,38
9,10,10,1115,34.914,41,35,518,1822.73,1645.35,177.38,515,41,41
10,1,1,1015,43.381,35,31,481,1712.98,1589.38,123.6,460,37,37
11,2,2,1040,89.867,36,31,445,1549.89,1402.19,147.7,513,41,41
12,3,3,1100,83.373,36,32,445,1525.16,1452.98,72.18,573,41,41
13,4,4,1005,30.966,39,32,422,1430.77,1255.5,175.27,499,42,42
14,5,5,971,38.484,31,27,399,1388.66,1294.64,94.02,512,30,30
15,6,6,1098,33.279,39,33,452,1549.2,1475.86,73.34,568,39,39
16,7,7,995,17.166,39,30,403,1327.85,1116.41,211.44,524,34,34
17,8,8,1066,84.686,41,34,488,1676.77,1499.24,177.53,504,37,37
18,9,9,979,59.474,35,31,404,1389.23,1295.45,93.78,497,39,39
19,10,10,1053,33.912,38,30,468,1613.66,1380.74,232.92,509,38,38
20,1,1,1098,30.274,45,34,515,1755.22,1461.27,293.95,497,43,43
21,2,2,1061,55.915,45,34,476,1600.74,1387.18,213.56,505,40,40
22,3,3,1066,49.613,39,33,434,1480.74,1297.76,182.98,552,40,40
23,4,4,979,57.594,39,32,440,1496.16,1334.55,161.61,467,36,36
24,5,5,960,16.039,38,31,426,1434.53,1255.56,178.97,458,38,38
25,6,6,988,46.808,39,30,397,1308.78,1085.68,223.1,519,36,36
26,7,7,948,63.81,38,29,406,1343.04,1169.04,174.0,466,38,38
27,8,8,947,62.468,39,34,418,1412.07,1311.51,100.56,449,40,40
28,9,9,1076,69.368,42,34,449,1498.26,1321.06,177.2,539,44,44
29,10,10,1033,22.966,42,34,424,1407.37,1249.01,158.36,529,40,40
30,1,1,963,44.408,43,34,427,1409.79,1182.58,227.21,458,39,39
31,2,2,941,26.593,35,25,334,1087.79,855.66,232.13,549,29,29
32,3,3,972,50.816,34,25,356,1164.26,911.61,252.65,554,31,31
33,4,4,1002,62.824,40,32,414,1392.48,1173.56,218.92,514,37,37
34,5,5,1057,95.896,32,25,355,1175.82,1048.04,127.78,646,28,28
35,6,6,966,28.852,43,34,397,1263.3,1049.45,213.85,493,38,38
36,7,7,956,53.624,35,28,336,1067.37,950.37,117.0,560,30,30
37,8,8,1052,19.756,43,34,396,1272.71,1105.79,166.92,580,38,38
38,9,9,1043,69.949,35,28,394,1331.9,1128.95,202.95,577,36,36
39,10,10,1072,40.652,42,29,417,1342.34,1063.44,278.9,587,34,34
40,1,1,987,45.971,41,29,375,1199.99,936.38,263.61,544,34,34
41,2,2,1010,40.796,44,31,369,1124.73,872.5,252.23,567,37,37
42,3,3,1024,26.777,41,29,336,1043.19,797.77,245.42,622,33,33
43,4,4,1059,103.624,39,30,324,989.42,857.06,132.36,661,37,37
44,5,5,1026,91.6,36,26,354,1135.03,973.02,162.01,612,30,30
45,6,6,994,28.455,50,36,394,1163.43,914.68,248.75,516,42,42
46,7,7,966,56.246,31,22,285,918.9,651.86,267.04,623,29,29
47,8,8,1021,80.406,45,30,386,1191.48,840.73,350.75,563,36,36
48,9,9,1065,41.237,45,34,399,1231.9,988.62,243.28,584,41,41
49,10,10,1055,38.311,41,28,369,1146.08,857.94,288.14,614,36,36
50,1,1,1092,85.354,42,33,408,1341.05,1137.68,203.37,606,39,39
51,2,2,1115,51.285,44,34,446,1479.09,1228.45,250.64,581,44,44
52,3,3,1041,30.515,41,30,383,1213.46,1058.61,154.85,580,39,39
53,4,4,1037,27.31,46,33,367,1121.74,868.71,253.03,588,41,41
54,5,5,1119,38.107,44,33,419,1371.37,1091.71,279.66,618,41,41
55,6,6,1083,56.124,44,33,414,1344.68,1097.96,246.72,595,37,37
56,7,7,1086,100.284,46,31,384,1184.18,922.1,262.08,624,39,39
57,8,8,1039,95.024,44,33,378,1166.6,983.28,183.32,581,40,40
58,9,9,1045,27.609,33,22,337,1103.65,820.92,282.73,654,27,27
59,10,10,999,32.846,37,26,315,976.91,729.54,247.37,624,30,30
60,1,1,1054,126.084,44,29,362,1111.28,860.95,250.33,610,41,41
61,2,2,1047,50.784,54,35,416,1187.1,942.67,244.43,543,44,44
