horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.002
20,50,23,23,16,16,4217,15,883410.0,20.002
40,70,26,26,14,30,4203,15,1001790.0,20.002
60,90,31,31,18,48,4185,15,1118650.0,20.002
80,110,37,37,22,70,4163,15,1284930.0,20.003
100,130,43,43,26,96,4137,15,1410590.0,20.003
120,150,73,73,23,119,4114,15,2138720.0,20.048
140,170,132,129,84,203,4027,18,8100880.0,20.704
160,190,111,106,74,277,3950,21,10272050.0,20.053
180,210,97,92,64,341,3882,25,11377800.0,20.286
200,230,81,76,48,389,3829,30,10287170.0,20.062
220,250,71,70,42,431,3787,30,4447050.0,20.184
240,270,116,110,44,475,3742,31,16423760.0,20.039
260,290,184,166,103,578,3632,38,34121500.0,20.007
280,310,186,151,87,665,3524,59,53938950.0,20.008
300,330,178,144,84,749,3424,75,52312480.0,20.008
320,350,162,137,85,834,3318,96,40597050.0,20.01
340,370,126,119,81,915,3230,103,13961130.0,20.205
360,390,89,89,65,980,3165,103,2814360.0,20.306
380,410,80,80,47,1027,3118,103,2712590.0,20.253
400,430,81,80,52,1079,3066,103,4270620.0,20.019
420,450,69,68,46,1125,3019,104,3998420.0,20.079
440,470,60,59,37,1162,2981,105,3524730.0,20.181
460,490,68,68,39,1201,2942,105,2355370.0,20.004
480,510,89,88,48,1249,2893,106,4330470.0,20.265
500,530,132,130,76,1325,2816,107,6591400.0,20.006
520,550,137,126,79,1404,2731,113,20135160.0,20.006
540,570,137,121,70,1474,2648,126,26671480.0,20.006
560,590,127,116,72,1546,2568,134,18715200.0,20.166
580,610,141,127,77,1623,2483,142,24569020.0,20.431
600,630,166,148,74,1697,2399,152,31955030.0,20.008
620,650,212,159,97,1794,2282,172,79199330.0,20.009
640,670,249,161,80,1874,2161,213,126071630.0,20.011
660,690,314,146,82,1956,2026,266,243256930.0,20.019
680,710,402,155,88,2044,1855,349,358131260.0,20.023
700,730,454,148,89,2133,1637,478,444508740.0,20.02
720,750,407,132,76,2209,1419,620,402237920.0,20.033
740,770,317,146,80,2289,1211,748,252371300.0,20.016
760,790,232,149,84,2373,1082,793,120004610.0,20.011
780,810,205,155,94,2467,947,834,71581270.0,20.009
800,830,179,155,87,2554,845,849,34037900.0,20.012
820,850,200,161,95,2649,737,862,53928680.0,20.009
840,870,185,137,87,2736,617,895,66685720.0,20.009
860,890,151,132,81,2817,519,912,28975280.0,20.008
880,910,116,105,69,2886,439,923,19227870.0,20.081
900,930,113,106,63,2949,370,929,14381910.0,20.487
920,950,113,107,68,3017,297,934,13544750.0,20.436
940,970,109,101,63,3080,232,936,17132360.0,20.237
960,990,99,89,60,3140,165,943,21079690.0,20.142
980,1010,85,79,46,3186,115,947,13266550.0,20.188
1000,1030,71,69,51,3237,62,949,5376850.0,20.186
1020,1050,41,41,32,3269,30,949,1628240.0,20.004
1040,1070,22,21,15,3284,14,950,2384440.0,20.037
1060,1090,14,14,12,3296,2,950,622080.0,20.01
1080,1110,2,2,2,3298,0,950,98330.0,20.003
1100,1130,0,0,0,3298,0,950,,0.0
1120,1150,0,0,0,3298,0,950,,0.0
