vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,9,1076,92.288,32,32,523,1922.39,1922.39,0.0,477,38,38
1,2,9,1080,33.204,33,32,497,1795.66,1782.05,13.61,509,37,37
2,3,5,1024,41.029,33,32,485,1726.34,1711.46,14.88,457,41,41
3,4,9,1033,91.73,30,28,456,1665.34,1637.87,27.47,505,36,36
4,5,9,1057,83.196,37,35,484,1732.72,1692.62,40.1,501,36,36
5,6,9,1081,113.064,35,32,471,1677.01,1583.34,93.67,538,36,36
6,7,10,1098,107.338,36,34,505,1811.03,1755.99,55.04,515,39,39
7,8,9,1090,113.064,39,35,508,1801.37,1753.58,47.79,502,40,40
8,9,5,1092,98.416,37,33,491,1751.89,1651.02,100.87,511,45,45
9,10,3,1100,77.948,38,34,458,1577.77,1508.78,68.99,560,41,41
10,1,9,1031,32.409,30,28,418,1479.76,1418.86,60.9,541,36,36
11,2,7,1087,31.78,40,38,477,1655.29,1609.3,45.99,522,44,44
12,3,9,981,43.945,35,29,413,1419.33,1291.32,128.01,490,39,39
13,4,5,1037,42.448,36,32,453,1595.16,1519.89,75.27,502,41,41
14,5,4,1091,96.678,43,34,494,1686.0,1536.12,149.88,521,38,38
15,6,9,993,53.299,39,32,438,1489.96,1350.02,139.94,477,39,39
16,7,9,964,54.238,36,31,394,1331.93,1260.01,71.92,502,34,34
17,8,10,1076,49.545,42,35,475,1581.87,1451.5,130.37,515,43,43
18,9,9,1041,113.064,40,33,447,1511.88,1264.23,247.65,518,38,38
19,10,9,1056,60.056,40,33,452,1561.8,1404.04,157.76,522,41,41
20,1,9,970,88.009,38,32,450,1545.09,1425.27,119.82,436,42,42
21,2,9,987,109.089,38,30,403,1326.29,1198.71,127.58,510,37,37
22,3,3,1049,57.078,40,34,436,1471.13,1348.36,122.77,531,41,41
23,4,9,1026,47.888,51,39,483,1593.2,1369.17,224.03,459,42,42
24,5,7,1056,35.007,41,33,476,1632.32,1363.54,268.78,512,34,34
25,6,9,1042,104.948,38,32,444,1523.44,1362.41,161.03,528,35,35
26,7,5,1066,84.668,40,30,420,1386.62,1231.83,154.79,572,37,37
27,8,9,964,57.506,43,34,454,1528.99,1263.11,265.88,432,39,39
28,9,3,1052,56.726,46,35,453,1496.17,1299.55,196.62,513,43,43
29,10,9,939,102.278,37,29,372,1222.66,1035.64,187.02,487,40,40
30,1,5,1046,64.882,38,30,414,1391.03,1227.63,163.4,556,38,38
31,2,7,1059,74.388,42,34,445,1506.92,1330.06,176.86,532,41,41
32,3,9,980,121.598,39,32,370,1215.74,1094.72,121.02,532,39,39
33,4,5,1051,44.143,43,34,455,1545.74,1353.83,191.91,512,42,42
34,5,3,1072,52.538,49,35,469,1470.65,1180.85,289.8,521,41,41
35,6,9,998,46.68,38,33,390,1297.59,1189.63,107.96,536,36,36
36,7,3,1042,78.126,39,34,405,1350.79,1244.79,106.0,563,37,37
37,8,9,977,99.418,34,25,310,968.42,817.42,151.0,609,29,29
38,9,8,1016,35.756,39,26,380,1211.8,898.85,312.95,578,29,29
39,10,9,953,116.326,42,34,379,1215.39,1049.28,166.11,488,43,43
40,1,7,1034,79.787,36,27,401,1352.78,1060.69,292.09,567,33,33
41,2,10,1079,111.566,51,37,454,1426.65,1123.62,303.03,531,47,47
42,3,9,944,93.744,35,27,361,1199.74,1005.04,194.7,521,31,31
43,4,9,987,118.294,40,28,390,1293.93,978.67,315.26,531,33,33
44,5,3,1073,69.936,51,38,441,1424.42,1195.33,229.09,546,43,43
45,6,10,1077,63.853,46,33,421,1360.19,1078.7,281.49,578,39,39
46,7,5,1026,149.498,37,24,371,1202.7,801.69,401.01,585,35,35
47,8,5,1026,41.988,44,33,440,1478.45,1219.06,259.39,506,40,40
48,9,7,1052,51.375,42,30,390,1265.87,974.72,291.15,592,35,35
49,10,5,1052,47.225,46,34,432,1423.52,1124.13,299.39,540,40,40
50,1,5,1043,46.854,42,27,407,1309.72,962.24,347.48,572,32,32
51,2,8,1042,74.729,48,34,440,1446.51,1126.92,319.59,526,38,38
52,3,3,1079,113.614,49,35,421,1278.44,1041.64,236.8,574,42,42
53,4,9,1102,95.88,54,38,469,1464.62,1192.86,271.76,527,53,53
54,5,3,1042,104.894,40,28,409,1349.75,1072.87,276.88,557,38,38
55,6,3,1036,55.645,55,36,470,1472.89,1123.1,349.79,476,45,45
56,7,10,1098,108.49,47,34,424,1344.08,1110.97,233.11,586,44,44
57,8,10,1073,46.924,50,34,415,1294.14,1062.43,231.71,578,40,40
58,9,9,982,28.839,45,30,395,1263.53,909.78,353.75,515,36,36
59,10,4,1079,88.653,50,31,438,1368.54,975.27,393.27,567,37,37
60,1,10,1099,36.868,49,32,430,1342.45,1004.29,338.16,593,38,38
61,2,5,1013,50.084,51,35,427,1292.18,970.45,321.73,502,42,42
62,3,6,1011,106.236,50,33,409,1242.89,913.86,329.03,520,41,41
63,4,9,982,25.712,47,30,401,1279.54,892.61,386.93,511,35,35
64,5,9,993,31.111,47,32,386,1207.52,925.22,282.3,529,39,39
65,6,10,1062,63.003,41,29,376,1181.82,958.9,222.92,614,36,36
66,7,10,1039,121.094,44,33,381,1214.7,1000.71,213.99,576,41,41
67,8,10,1083,61.44,53,34,453,1408.45,1044.93,363.52,546,42,42
68,9,10,1085,30.579,50,33,444,1389.78,987.71,402.07,565,38,38
69,10,3,1047,61.301,50,32,423,1263.74,910.63,353.11,546,39,39
