horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.002
20,50,23,23,16,16,4217,15,883410.0,20.005
40,70,26,26,14,30,4203,15,1001790.0,20.003
60,90,31,31,18,48,4185,15,1080370.0,20.004
80,110,37,37,22,70,4163,15,1151050.0,20.004
100,130,43,43,26,96,4137,15,1310900.0,20.005
120,150,73,73,23,119,4114,15,1937570.0,20.006
140,170,132,131,87,206,4026,16,4553330.0,20.301
160,190,110,106,74,280,3949,19,8662950.0,20.314
180,210,96,94,66,346,3881,21,5793700.0,20.063
200,230,80,77,49,395,3829,24,6557320.0,20.164
220,250,71,71,43,438,3786,24,1890670.0,20.005
240,270,115,115,48,486,3738,24,3191840.0,20.265
260,290,180,179,117,603,3620,25,5985070.0,20.009
280,310,174,170,101,704,3515,29,10511370.0,20.01
300,330,169,166,108,812,3404,32,9477120.0,20.01
320,350,142,137,84,896,3317,35,12115400.0,20.009
340,370,125,120,83,979,3229,40,11641580.0,20.995
360,390,88,88,65,1044,3164,40,2643040.0,20.007
380,410,79,79,46,1090,3118,40,2694900.0,20.005
400,430,81,80,53,1143,3065,40,4204930.0,20.049
420,450,68,67,46,1189,3018,41,3982920.0,20.068
440,470,59,59,36,1225,2982,41,1961270.0,20.005
460,490,69,69,40,1265,2942,41,2361790.0,20.007
480,510,89,89,51,1316,2891,41,2797760.0,20.011
500,530,130,130,77,1393,2814,41,3332650.0,20.447
520,550,135,135,89,1482,2725,41,3432540.0,20.214
540,570,131,131,80,1562,2645,41,3410990.0,20.008
560,590,124,121,79,1641,2563,44,7724480.0,20.264
580,610,136,133,82,1723,2479,46,8681910.0,20.208
600,630,162,161,86,1809,2392,47,5995080.0,20.008
620,650,205,201,132,1941,2258,49,12055820.0,20.01
640,670,225,223,125,2066,2131,51,9023680.0,20.013
660,690,284,284,157,2223,1974,51,6862910.0,20.013
680,710,350,344,203,2426,1765,57,17403440.0,20.017
700,730,364,357,211,2637,1548,63,19305420.0,20.019
720,750,318,298,203,2840,1328,80,39167120.0,20.022
740,770,226,218,137,2977,1185,86,19243140.0,20.017
760,790,206,204,130,3107,1053,88,8274800.0,20.012
780,810,176,175,108,3215,944,89,4898090.0,20.009
800,830,176,169,101,3316,836,96,13708780.0,20.009
820,850,191,183,108,3424,720,104,15945030.0,20.01
840,870,168,160,106,3530,606,112,15723830.0,20.011
860,890,140,136,88,3618,514,116,9859030.0,20.008
880,910,111,106,69,3687,440,121,11158370.0,20.089
900,930,114,110,67,3754,369,125,10781760.0,20.391
920,950,112,108,69,3823,298,127,10404790.0,20.446
940,970,110,103,64,3887,230,131,16104650.0,20.315
960,990,97,93,66,3953,160,135,10701900.0,20.065
980,1010,80,79,47,4000,113,135,4425060.0,20.295
1000,1030,69,68,46,4046,66,136,3969120.0,20.096
1020,1050,45,43,34,4080,30,138,4848130.0,20.056
1040,1070,22,21,15,4095,14,139,2575820.0,20.094
1060,1090,14,14,12,4107,2,139,617450.0,20.02
1080,1110,2,2,2,4109,0,139,98330.0,20.003
1100,1130,0,0,0,4109,0,139,,0.0
1120,1150,0,0,0,4109,0,139,,0.0
