vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,7,1056,98.642,32,32,505,1845.84,1845.84,0.0,477,37,37
1,2,10,1098,43.355,32,31,494,1780.06,1768.61,11.45,530,37,37
2,3,3,1112,54.7,37,36,522,1860.24,1855.26,4.98,496,47,47
3,4,9,1085,55.347,35,34,492,1763.09,1758.11,4.98,507,43,43
4,5,9,1033,113.064,30,30,450,1643.39,1643.39,0.0,511,36,36
5,6,10,1085,53.934,36,33,476,1671.09,1627.97,43.12,531,39,39
6,7,9,1057,83.196,35,34,483,1709.52,1698.07,11.45,486,44,44
7,8,9,1080,113.064,34,32,444,1589.76,1545.64,44.12,554,41,41
8,9,9,1081,113.064,31,30,423,1509.1,1505.02,4.08,594,32,32
9,10,9,990,53.732,34,32,457,1622.41,1599.39,23.02,457,38,38
10,1,9,981,68.144,30,28,410,1455.68,1428.03,27.65,501,35,35
11,2,9,1002,52.95,29,28,398,1411.74,1389.68,22.06,540,32,32
12,3,10,1079,132.794,35,33,409,1415.07,1388.03,27.04,590,40,40
13,4,9,971,55.345,24,24,350,1262.89,1262.89,0.0,561,30,30
14,5,7,1057,74.576,38,35,468,1627.31,1590.07,37.24,503,43,43
15,6,9,954,100.358,22,19,262,918.08,868.01,50.07,638,27,27
16,7,9,950,69.261,30,27,344,1166.57,1133.94,32.63,538,34,34
17,8,9,961,53.329,29,28,368,1288.75,1266.69,22.06,527,33,33
18,9,9,964,42.421,23,21,272,953.74,933.53,20.21,642,25,25
19,10,9,958,102.28,26,25,343,1212.66,1194.62,18.04,553,31,31
20,1,9,963,77.76,27,26,352,1221.34,1206.46,14.88,547,32,32
21,2,7,1034,133.588,30,27,348,1202.2,1152.49,49.71,618,34,34
22,3,9,983,59.767,25,23,342,1225.11,1179.66,45.45,583,29,29
23,4,9,941,89.479,28,25,316,1077.91,1028.2,49.71,569,28,28
24,5,9,956,95.062,25,22,286,966.38,916.71,49.67,618,26,26
25,6,9,927,93.744,27,23,283,966.32,880.77,85.55,592,26,26
26,7,9,968,86.436,25,24,275,953.69,931.63,22.06,633,30,30
