horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.014
20,50,23,23,16,16,4217,15,883410.0,20.038
40,70,26,26,14,30,4203,15,1001790.0,20.003
60,90,31,31,18,48,4185,15,1080370.0,20.003
80,110,37,37,22,70,4163,15,1244270.0,20.003
100,130,43,43,26,96,4137,15,1361940.0,20.101
120,150,73,72,22,118,4114,16,3232300.0,20.203
140,170,132,129,84,202,4027,19,7867230.0,20.014
160,190,111,107,73,275,3951,22,8639630.0,20.126
180,210,98,94,64,339,3883,26,8427950.0,20.306
200,230,82,76,48,387,3830,31,10546890.0,20.135
220,250,72,71,44,431,3785,32,3629640.0,20.012
240,270,114,111,46,477,3739,32,10915090.0,20.071
260,290,181,174,110,587,3625,36,18605100.0,20.008
280,310,179,166,97,684,3515,49,24042550.0,20.011
300,330,169,165,107,791,3405,52,11043430.0,20.01
320,350,143,136,83,874,3317,57,14621430.0,20.069
340,370,125,119,83,957,3229,62,13022930.0,20.271
360,390,88,87,65,1022,3163,63,4617010.0,20.145
380,410,78,78,46,1068,3117,63,2612160.0,20.038
400,430,80,79,51,1119,3066,63,4097810.0,20.159
420,450,69,68,47,1166,3018,64,3836470.0,20.144
440,470,59,59,36,1202,2982,64,2053050.0,20.005
460,490,69,68,39,1241,2942,65,3891710.0,20.021
480,510,89,89,51,1292,2891,65,2797760.0,20.327
500,530,130,130,77,1369,2814,65,3338920.0,20.308
520,550,135,134,88,1457,2725,66,5197780.0,20.312
540,570,131,127,75,1532,2647,69,9281410.0,20.764
560,590,126,120,77,1609,2564,75,11925630.0,20.295
580,610,137,135,82,1691,2481,76,7071320.0,20.863
600,630,164,159,81,1772,2396,80,11951930.0,20.007
620,650,209,193,122,1894,2266,88,27942700.0,20.009
640,670,233,215,115,2009,2135,104,28874540.0,20.012
660,690,288,231,122,2131,2001,116,82068860.0,20.013
680,710,377,242,135,2266,1818,164,192040320.0,20.019
700,730,417,228,130,2396,1608,244,271862910.0,20.031
720,750,378,207,130,2526,1383,339,250150460.0,20.021
740,770,281,195,112,2638,1193,417,130053310.0,20.018
760,790,214,202,125,2763,1057,428,22272110.0,20.011
780,810,180,168,106,2869,940,439,20689890.0,20.01
800,830,172,167,97,2966,838,444,10346250.0,20.01
820,850,193,183,104,3070,726,452,17807560.0,20.01
840,870,174,158,105,3175,606,467,25774900.0,20.008
860,890,140,135,88,3263,513,472,10826670.0,20.008
880,910,110,108,69,3332,442,474,7095330.0,20.069
900,930,116,110,68,3400,368,480,13445570.0,20.521
920,950,111,108,71,3471,295,482,8869790.0,20.091
940,970,107,99,61,3532,231,485,17035340.0,20.309
960,990,98,92,64,3596,162,490,13559490.0,20.119
980,1010,82,80,46,3642,115,491,6034590.0,20.193
1000,1030,71,69,50,3692,63,493,5309920.0,20.021
1020,1050,42,41,32,3724,30,494,3100640.0,20.143
1040,1070,22,21,14,3738,15,495,2394440.0,20.042
1060,1090,15,15,13,3751,2,495,672370.0,20.003
1080,1110,2,2,2,3753,0,495,98330.0,20.004
1100,1130,0,0,0,3753,0,495,,0.0
1120,1150,0,0,0,3753,0,495,,0.0
