vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,9,1076,48.197,32,32,523,1921.75,1921.75,0.0,477,38,38
1,2,9,1057,43.537,34,33,481,1725.45,1720.47,4.98,502,37,37
2,3,9,1080,113.064,37,36,502,1789.17,1767.11,22.06,498,40,40
3,4,7,1087,41.515,38,35,504,1789.47,1746.16,43.31,501,41,41
4,5,9,1081,108.798,34,32,476,1680.98,1658.08,22.9,525,40,40
5,6,9,1028,117.332,35,32,442,1550.87,1518.85,32.02,510,38,38
6,7,3,1100,113.614,40,35,497,1707.08,1657.95,49.13,517,43,43
7,8,10,1098,72.046,35,31,467,1635.64,1548.75,86.89,559,36,36
8,9,9,943,53.328,32,28,410,1437.67,1356.75,80.92,465,34,34
9,10,9,985,55.393,38,34,451,1551.47,1490.23,61.24,456,39,39
10,1,9,973,54.521,34,32,455,1616.5,1555.6,60.9,440,39,39
11,2,9,977,50.349,35,29,431,1503.88,1396.71,107.17,474,36,36
12,3,9,989,63.656,34,29,396,1347.28,1247.51,99.77,519,37,37
13,4,3,1089,54.364,45,37,482,1609.99,1480.94,129.05,517,45,45
14,5,10,1098,62.219,38,31,444,1497.2,1401.21,95.99,578,38,38
15,6,9,975,65.158,35,30,415,1430.72,1336.85,93.87,486,37,37
16,7,4,1091,64.87,47,37,459,1498.53,1336.39,162.14,548,42,42
17,8,9,965,61.863,34,30,406,1394.42,1319.26,75.16,491,34,34
18,9,10,1079,117.49,40,33,449,1542.44,1364.8,177.64,552,39,39
19,10,9,966,61.684,34,30,413,1425.65,1305.77,119.88,479,37,37
20,1,9,981,113.064,39,31,442,1485.42,1352.99,132.43,455,42,42
21,2,9,982,50.352,38,31,412,1392.01,1244.25,147.76,498,36,36
22,3,9,1035,30.974,45,38,457,1514.54,1373.17,141.37,488,45,45
23,4,9,981,113.064,35,30,425,1471.08,1394.26,76.82,486,35,35
24,5,10,1089,62.474,43,34,478,1608.83,1387.2,221.63,525,43,43
25,6,7,1047,82.274,44,36,455,1507.54,1318.29,189.25,510,41,41
26,7,9,927,76.833,35,30,357,1170.87,1071.69,99.18,500,35,35
27,8,5,1093,106.752,45,39,498,1696.76,1576.68,120.08,505,45,45
28,9,9,939,75.371,37,28,382,1258.62,1094.86,163.76,481,38,38
29,10,9,1090,102.923,40,34,447,1504.63,1399.02,105.61,561,41,41
30,1,9,962,53.72,47,35,434,1392.21,1143.31,248.9,448,40,40
31,2,9,1110,54.379,43,31,429,1389.61,1156.82,232.79,605,38,38
