time_min,time_hhmm,route_node_id,physical_node_id,physical_address,vehicle_count,vehicle_ids
0,05:40,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
1,05:41,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
2,05:42,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
3,05:43,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
4,05:44,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
5,05:45,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
6,05:46,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
7,05:47,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
8,05:48,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
9,05:49,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
10,05:50,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
11,05:51,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
12,05:52,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
13,05:53,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
14,05:54,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
15,05:55,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
16,05:56,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
17,05:57,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
18,05:58,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
19,05:59,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
20,06:00,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
21,06:01,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
22,06:02,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
23,06:03,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
24,06:04,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
25,06:05,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
26,06:06,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
27,06:07,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
28,06:08,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
29,06:09,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
30,06:10,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
31,06:11,10,10,인천공항,17,"9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
32,06:12,10,10,인천공항,16,"19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
33,06:13,10,10,인천공항,15,"29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
34,06:14,10,10,인천공항,15,"29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
35,06:15,10,10,인천공항,15,"29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
36,06:16,10,10,인천공항,15,"29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
37,06:17,10,10,인천공항,15,"29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
38,06:18,10,10,인천공항,15,"29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
39,06:19,10,10,인천공항,15,"29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
40,06:20,10,10,인천공항,15,"29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
41,06:21,10,10,인천공항,15,"29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
42,06:22,10,10,인천공항,15,"29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
43,06:23,10,10,인천공항,16,"6,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
44,06:24,10,10,인천공항,16,"6,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
45,06:25,10,10,인천공항,16,"6,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169"
