horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.035
20,50,23,23,16,16,4217,15,883410.0,20.004
40,70,26,26,14,30,4203,15,1001790.0,20.004
60,90,31,31,18,48,4185,15,1080370.0,20.06
80,110,37,37,22,70,4163,15,1151050.0,20.005
100,130,43,43,26,96,4137,15,1310900.0,20.227
120,150,73,73,23,119,4114,15,1912050.0,20.122
140,170,132,132,88,207,4026,15,3033900.0,20.007
160,190,110,106,74,281,3949,18,8676590.0,20.301
180,210,96,93,66,347,3880,21,7270800.0,20.091
200,230,79,76,48,395,3829,24,6503900.0,20.185
220,250,71,71,44,439,3785,24,1861940.0,20.006
240,270,114,114,47,486,3738,24,3182860.0,20.069
260,290,180,179,117,603,3620,25,6095380.0,20.01
280,310,174,171,101,704,3516,28,8791500.0,20.012
300,330,170,167,109,813,3404,31,9551540.0,20.01
320,350,142,139,87,900,3314,34,8590090.0,20.01
340,370,122,119,83,983,3228,37,8120160.0,20.647
360,390,87,87,65,1048,3163,37,2636740.0,20.186
380,410,78,78,46,1094,3117,37,2612160.0,20.006
400,430,80,79,51,1145,3066,37,4122690.0,20.227
420,450,69,68,47,1192,3018,38,4002370.0,20.006
440,470,59,59,36,1228,2982,38,2068970.0,20.005
460,490,69,69,40,1268,2942,38,2379230.0,20.006
480,510,89,89,51,1319,2891,38,2797760.0,20.007
500,530,130,130,76,1395,2815,38,3360220.0,20.063
520,550,136,136,90,1485,2725,38,3447680.0,20.008
540,570,131,131,80,1565,2645,38,3351090.0,20.007
560,590,124,122,79,1644,2564,40,6135710.0,20.189
580,610,137,135,82,1726,2481,41,7205150.0,20.302
600,630,164,162,88,1814,2391,43,7756240.0,20.009
620,650,204,203,136,1950,2255,43,6994550.0,20.011
640,670,222,221,123,2073,2131,44,7105940.0,20.013
660,690,284,284,153,2226,1978,44,6542460.0,20.015
680,710,354,348,211,2437,1761,50,16902270.0,20.025
700,730,360,358,222,2659,1537,52,11364870.0,20.033
720,750,307,298,207,2866,1322,60,21133140.0,20.021
740,770,220,217,139,3005,1181,62,10023330.0,20.016
760,790,202,201,126,3131,1054,63,5792980.0,20.012
780,810,177,176,110,3241,943,64,4906470.0,20.012
800,830,175,169,100,3341,837,70,12267400.0,20.016
820,850,192,184,110,3451,719,78,15869620.0,20.01
840,870,167,160,110,3561,602,85,14061650.0,20.01
860,890,136,133,86,3647,513,88,7637020.0,20.876
880,910,110,109,72,3719,440,89,5036120.0,20.065
900,930,114,111,68,3787,369,92,9159000.0,20.579
920,950,112,109,72,3859,295,94,8649450.0,20.485
940,970,107,101,62,3921,230,97,14264720.0,20.313
960,990,97,93,66,3987,160,101,10618350.0,20.089
980,1010,80,79,47,4034,113,101,4393800.0,20.238
1000,1030,69,67,49,4083,63,102,5604440.0,20.067
1020,1050,42,40,31,4114,30,104,4846090.0,20.062
1040,1070,22,21,15,4129,14,105,2484440.0,20.023
1060,1090,14,14,12,4141,2,105,617450.0,20.004
1080,1110,2,2,2,4143,0,105,98330.0,20.005
1100,1130,0,0,0,4143,0,105,,0.0
1120,1150,0,0,0,4143,0,105,,0.0
