horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.002
20,50,23,23,16,16,4217,15,883410.0,20.027
40,70,26,26,14,30,4203,15,1001790.0,20.003
60,90,31,31,18,48,4185,15,1080370.0,20.003
80,110,37,37,22,70,4163,15,1244270.0,20.003
100,130,43,43,26,96,4137,15,1361940.0,20.041
120,150,73,73,23,119,4114,15,2073150.0,20.004
140,170,132,130,85,204,4027,17,6384110.0,20.348
160,190,111,106,72,276,3952,20,10768830.0,20.036
180,210,99,94,66,342,3881,25,10783770.0,20.007
200,230,80,76,48,390,3829,29,7819960.0,20.173
220,250,71,70,43,433,3785,30,3170580.0,20.016
240,270,114,112,47,480,3738,30,8644620.0,20.108
260,290,180,174,111,591,3624,33,16791870.0,20.007
280,310,178,168,98,689,3516,43,20430700.0,20.009
300,330,170,166,108,797,3407,44,11399180.0,20.007
320,350,145,137,86,883,3315,50,17463010.0,20.057
340,370,123,117,81,964,3229,55,13491350.0,20.586
360,390,88,87,64,1028,3164,56,4647110.0,20.121
380,410,79,79,47,1075,3117,56,2658000.0,20.146
400,430,80,79,52,1127,3065,56,4216120.0,20.158
420,450,68,67,44,1171,3020,57,3977460.0,20.229
440,470,61,61,39,1210,2981,57,2194120.0,20.137
460,490,68,68,39,1249,2942,57,2342290.0,20.004
480,510,89,89,51,1300,2891,57,2797760.0,20.032
500,530,130,130,77,1377,2814,57,3375030.0,20.291
520,550,135,134,88,1465,2725,58,5218610.0,20.304
540,570,131,130,79,1544,2646,58,5079770.0,20.144
560,590,125,120,76,1620,2566,62,10683550.0,20.218
580,610,139,135,83,1703,2480,65,10532800.0,20.803
600,630,163,160,83,1786,2395,67,9543520.0,20.008
620,650,208,192,122,1908,2264,76,29339190.0,20.01
640,670,231,202,108,2016,2142,90,44309760.0,20.011
660,690,295,210,117,2133,2004,111,124386200.0,20.014
680,710,380,225,130,2263,1827,158,228203640.0,20.017
700,730,426,228,134,2397,1608,243,297765550.0,20.02
720,750,378,206,125,2522,1387,339,264778090.0,20.018
740,770,285,196,116,2638,1195,415,142444990.0,20.015
760,790,216,200,126,2764,1053,431,28804170.0,20.011
780,810,176,172,107,2871,942,435,9803120.0,20.009
800,830,174,167,95,2966,840,442,14446580.0,20.009
820,850,195,184,107,3073,723,452,20462850.0,20.01
840,870,171,158,105,3178,605,465,23272470.0,20.008
860,890,139,133,86,3264,513,471,12850710.0,20.842
880,910,110,107,69,3333,441,474,8722480.0,20.134
900,930,115,109,66,3399,369,480,13667220.0,20.486
920,950,112,107,71,3470,295,483,11970200.0,20.482
940,970,107,100,63,3533,229,486,16155410.0,20.268
960,990,96,90,61,3594,164,490,14102380.0,20.278
980,1010,84,80,47,3641,114,493,9593840.0,20.183
1000,1030,70,69,50,3691,63,494,4014690.0,20.023
1020,1050,42,42,33,3724,30,494,1680660.0,20.003
1040,1070,22,21,15,3739,14,495,2489070.0,20.079
1060,1090,14,14,12,3751,2,495,617450.0,20.004
1080,1110,2,2,2,3753,0,495,98330.0,20.002
1100,1130,0,0,0,3753,0,495,,0.0
1120,1150,0,0,0,3753,0,495,,0.0
