vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1106,50.536,37,34,545,1965.34,1915.49,49.85,479,41,41
1,2,2,1081,50.314,34,32,503,1804.57,1744.72,59.85,508,35,35
2,3,3,1113,58.694,37,34,527,1895.2,1797.15,98.05,506,40,40
3,4,4,1074,44.947,35,33,489,1754.92,1677.25,77.67,499,43,43
4,5,5,1112,38.164,32,31,504,1826.75,1764.71,62.04,534,37,37
5,6,6,1100,38.274,32,30,468,1695.55,1577.9,117.65,558,37,37
6,7,7,1079,37.092,34,32,490,1769.82,1698.77,71.05,507,41,41
7,8,8,1087,95.024,41,34,482,1640.25,1453.37,186.88,527,39,39
8,9,9,990,66.129,38,35,459,1608.68,1546.52,62.16,451,40,40
9,10,10,1085,32.479,40,35,516,1827.59,1720.03,107.56,473,48,48
10,1,1,1063,77.612,34,32,464,1652.17,1609.71,42.46,529,35,35
11,2,2,1093,74.91,35,33,456,1607.27,1579.03,28.24,557,40,40
12,3,3,1100,120.674,41,35,472,1630.11,1489.75,140.36,538,45,45
13,4,4,1091,89.934,46,38,487,1632.88,1468.98,163.9,518,43,43
14,5,5,1072,40.584,41,34,476,1631.52,1397.56,233.96,524,36,36
15,6,6,984,25.687,37,32,463,1605.85,1469.9,135.95,445,38,38
16,7,7,1063,40.819,41,33,461,1561.63,1438.05,123.58,524,39,39
17,8,8,1093,18.575,43,36,515,1810.49,1595.95,214.54,498,40,40
18,9,9,1039,50.355,38,31,438,1509.34,1374.38,134.96,519,41,41
19,10,10,982,42.034,41,31,450,1525.67,1261.49,264.18,462,35,35
20,1,1,984,42.164,35,30,445,1557.57,1378.18,179.39,467,36,36
21,2,2,1007,52.206,39,31,444,1494.0,1237.77,256.23,489,37,37
22,3,3,1028,56.096,42,33,423,1385.12,1146.99,238.13,529,38,38
23,4,4,1058,127.848,48,36,456,1438.21,1212.56,225.65,516,43,43
24,5,5,1056,38.119,38,31,448,1527.67,1264.02,263.65,540,34,34
25,6,6,992,28.714,38,30,396,1321.2,1124.83,196.37,526,35,35
26,7,7,1086,100.284,45,38,456,1519.13,1394.34,124.79,542,44,44
27,8,8,1027,46.234,42,33,430,1416.39,1269.6,146.79,515,41,41
28,9,9,1016,56.224,38,31,392,1323.05,1145.92,177.13,554,35,35
29,10,10,1076,49.987,42,33,423,1376.94,1214.83,162.11,571,41,41
30,1,1,1067,42.844,39,30,418,1424.71,1146.28,278.43,577,36,36
31,2,2,1058,35.186,52,38,503,1629.22,1384.31,244.91,463,46,46
32,3,3,985,60.285,35,26,348,1150.56,878.13,272.43,575,31,31
33,4,4,1054,73.61,45,35,429,1397.04,1192.64,204.4,541,42,42
34,5,5,1044,101.348,40,29,404,1338.22,1018.72,319.5,570,35,35
35,6,6,996,27.375,44,34,428,1370.51,1138.53,231.98,490,39,39
36,7,7,1057,43.577,37,26,386,1266.13,1017.39,248.74,609,31,31
37,8,8,1054,99.131,50,37,478,1585.96,1243.2,342.76,490,43,43
38,9,9,964,83.87,45,29,392,1209.35,929.27,280.08,510,31,31
39,10,10,1109,43.174,49,36,482,1565.54,1205.17,360.37,541,43,43
40,1,1,1054,79.313,47,35,431,1368.14,1120.5,247.64,539,42,42
41,2,2,960,50.131,35,26,352,1137.22,904.38,232.84,548,30,30
42,3,3,966,50.556,34,25,351,1159.28,962.91,196.37,555,30,30
43,4,4,955,46.808,40,29,394,1264.21,999.58,264.63,491,35,35
44,5,5,1125,38.538,48,34,470,1503.92,1132.46,371.46,563,46,46
45,6,6,1110,36.201,50,32,453,1434.08,1091.74,342.34,581,38,38
46,7,7,1115,42.543,49,34,432,1372.15,1014.62,357.53,603,40,40
47,8,8,1133,39.449,54,42,500,1561.79,1316.59,245.2,545,44,44
48,9,9,987,102.309,43,31,396,1250.86,918.96,331.9,527,32,32
49,10,10,1103,82.814,48,35,433,1363.67,1140.14,223.53,586,42,42
50,1,1,1080,55.884,48,34,456,1487.55,1082.4,405.15,548,38,38
51,2,2,1057,60.322,42,32,402,1310.61,1112.51,198.1,579,38,38
52,3,3,1052,49.663,42,29,381,1218.64,898.24,320.4,607,32,32
53,4,4,1028,45.307,42,30,401,1293.56,1012.8,280.76,559,34,34
54,5,5,1040,41.393,52,34,441,1334.83,921.0,413.83,515,42,42
55,6,6,1032,25.973,53,35,468,1432.04,1096.32,335.72,474,45,45
56,7,7,974,52.083,45,31,394,1242.19,979.26,262.93,498,41,41
57,8,8,997,29.018,44,30,361,1107.99,835.47,272.52,560,38,38
58,9,9,949,48.687,42,29,322,937.79,753.18,184.61,553,37,37
59,10,10,1002,43.174,41,29,377,1158.01,845.58,312.43,547,39,39
60,1,1,1078,56.194,50,32,403,1229.34,869.44,359.9,597,39,39
61,2,2,1060,33.671,51,31,419,1227.55,842.67,384.88,567,37,37
62,3,3,1017,24.388,40,28,379,1242.19,874.29,367.9,568,35,35
63,4,4,1033,20.871,46,33,408,1285.26,1030.0,255.26,549,38,38
64,5,5,1040,39.161,53,34,432,1292.97,1003.96,289.01,536,36,36
65,6,6,1009,34.416,37,26,355,1167.88,882.03,285.85,588,33,33
66,7,7,1078,71.285,46,31,407,1298.6,1010.21,288.39,599,36,36
67,8,8,1058,38.785,41,32,399,1334.78,1057.69,277.09,587,36,36
68,9,9,1056,49.738,51,37,446,1433.64,1176.82,256.82,516,47,47
69,10,10,1063,64.966,48,35,423,1324.98,1109.52,215.46,556,42,42
