horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.017
20,50,23,23,16,16,4217,15,883410.0,20.002
40,70,26,26,14,30,4203,15,1040070.0,20.152
60,90,31,31,18,48,4185,15,1159310.0,20.004
80,110,37,37,22,70,4163,15,1356460.0,20.005
100,130,43,42,25,95,4138,15,3711420.0,20.114
120,150,74,71,21,116,4115,17,7303700.0,20.129
140,170,133,112,66,182,4041,25,30920430.0,20.007
160,190,125,89,54,236,3964,48,52297540.0,20.007
180,210,111,85,55,291,3889,68,38803510.0,20.038
200,230,88,76,47,338,3831,79,18724110.0,20.025
220,250,73,69,41,379,3787,82,8017550.0,20.073
240,270,116,105,41,420,3745,83,21613900.0,20.005
260,290,187,108,61,481,3666,101,119661850.0,20.01
280,310,220,98,55,536,3548,164,180627770.0,20.012
300,330,202,97,51,587,3451,210,155703770.0,20.022
320,350,189,99,59,646,3335,267,136566690.0,20.022
340,370,143,89,52,698,3248,302,83730760.0,20.015
360,390,107,79,55,753,3169,326,43400960.0,20.307
380,410,84,77,44,797,3120,331,13142780.0,20.054
400,430,83,77,47,844,3070,334,12369710.0,20.184
420,450,73,66,43,887,3020,341,13263670.0,20.18
440,470,61,59,34,921,2984,343,5145890.0,20.003
460,490,71,71,41,962,2943,343,2459150.0,20.005
480,510,90,90,51,1013,2892,343,3058010.0,20.009
500,530,131,105,60,1073,2831,344,40387840.0,20.007
520,550,152,88,55,1128,2749,371,96550290.0,20.012
540,570,155,91,47,1175,2670,403,96435070.0,20.012
560,590,149,90,45,1220,2588,440,90171120.0,20.011
580,610,161,101,54,1274,2505,469,92620880.0,20.018
600,630,188,101,51,1325,2421,502,130073570.0,20.016
620,650,234,101,62,1387,2311,550,197902340.0,20.01
640,670,278,94,47,1434,2188,626,272110870.0,20.015
660,690,341,96,50,1484,2054,710,363085850.0,20.031
680,710,430,99,54,1538,1880,830,487548530.0,20.031
700,730,479,86,45,1583,1670,995,581794070.0,20.021
720,750,440,85,48,1631,1448,1169,529013930.0,20.022
740,770,346,92,45,1676,1246,1326,378814370.0,20.027
760,790,267,96,57,1733,1102,1413,251464610.0,20.012
780,810,225,96,54,1787,974,1487,185470880.0,20.011
800,830,206,96,52,1839,864,1545,156258060.0,20.023
820,850,219,99,55,1894,760,1594,169465100.0,20.011
840,870,208,104,53,1947,644,1657,147313500.0,20.022
860,890,178,97,62,2009,536,1703,115777530.0,20.01
880,910,133,85,46,2055,459,1734,70905270.0,20.014
900,930,133,89,50,2105,385,1758,67488540.0,20.007
920,950,128,76,45,2150,318,1780,79924520.0,20.019
940,970,130,77,42,2192,249,1807,83457880.0,20.462
960,990,116,70,43,2235,180,1833,73928690.0,20.277
980,1010,100,67,33,2268,128,1852,54655350.0,20.032
1000,1030,84,57,39,2307,74,1867,44665500.0,20.075
1020,1050,53,39,30,2337,32,1879,23162560.0,20.087
1040,1070,24,21,15,2352,14,1882,5452290.0,20.075
1060,1090,14,14,12,2364,2,1882,630210.0,20.02
1080,1110,2,2,2,2366,0,1882,98330.0,20.006
1100,1130,0,0,0,2366,0,1882,,0.0
1120,1150,0,0,0,2366,0,1882,,0.0
